,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,18918638000.0,21532183000.0,27736157000.0,33656200000.0,35316470000.0
1,0,Current assets,14393651000.0,16800205000.0,20334488000.0,22851847000.0,24303299000.0
2,1,Cash,1231006000.0,1808513000.0,2167442000.0,2741832000.0,2435115000.0
3,2,Cash and cash equivalents,1231006000.0,1808513000.0,2167442000.0,2741832000.0,2435115000.0
4,2,Total cash,1231006000.0,1808513000.0,2167442000.0,2741832000.0,2435115000.0
5,1,Receivables,6051920000.0,6312883000.0,8222951000.0,9175876000.0,10303324000.0
6,1,Inventories,6981494000.0,8593852000.0,9755094000.0,10723920000.0,11461428000.0
7,1,Prepaid expenses,129231000.0,84957000.0,189001000.0,210219000.0,103432000.0
8,1,Total current assets,14393651000.0,16800205000.0,20334488000.0,22851847000.0,24303299000.0
9,0,Non-current assets,4524987000.0,4731978000.0,7401669000.0,10804353000.0,11013171000.0
10,9,"Property, plant and equipment",803561000.0,899582000.0,979251000.0,1530682000.0,1797945000.0
11,10,"Gross property, plant and equipment",1471419000.0,1692429000.0,1902898000.0,2616736000.0,3091205000.0
12,10,Accumulated Depreciation,-667858000.0,-792847000.0,-923647000.0,-1086054000.0,-1293260000.0
13,10,"Net property, plant and equipment",803561000.0,899582000.0,979251000.0,1530682000.0,1797945000.0
14,9,Goodwill,2944970000.0,3292209000.0,4130825000.0,5991497000.0,6044281000.0
15,9,Intangible assets,554743000.0,189535000.0,1993119000.0,2967849000.0,2833281000.0
16,9,Other long-term assets,221713000.0,350652000.0,298474000.0,314325000.0,337664000.0
17,9,Total non-current assets,4524987000.0,4731978000.0,7401669000.0,10804353000.0,11013171000.0
18,0,Total assets,18918638000.0,21532183000.0,27736157000.0,33656200000.0,35316470000.0
19,19,Liabilities and stockholders' equity,18918638000.0,21532183000.0,27736157000.0,33656200000.0,35316470000.0
20,19,Liabilities,16598893000.0,19575284000.0,27102637000.0,31526796000.0,33252009000.0
21,20,Current liabilities,14870635000.0,17250160000.0,22700765000.0,25281308000.0,26818165000.0
22,21,Short-term debt,,,,611149000.0,12121000.0
23,21,Accounts payable,13335792000.0,15592834000.0,20886439000.0,23926320000.0,25404042000.0
24,21,Deferred income taxes,1002279000.0,1095463000.0,1135017000.0,,
25,21,Accrued liabilities,532564000.0,561863000.0,679309000.0,743839000.0,1402002000.0
26,21,Total current liabilities,14870635000.0,17250160000.0,22700765000.0,25281308000.0,26818165000.0
27,20,Non-current liabilities,1728258000.0,2325124000.0,4401872000.0,6245488000.0,6433844000.0
28,27,Long-term debt,1396606000.0,1995632000.0,3493048000.0,3870244000.0,3429934000.0
29,27,Capital leases,,,,,351635000.0
30,27,Deferred taxes liabilities,,,819188000.0,2214774000.0,2492612000.0
31,27,Other long-term liabilities,331652000.0,329492000.0,89636000.0,160470000.0,159663000.0
32,27,Total non-current liabilities,1728258000.0,2325124000.0,4401872000.0,6245488000.0,6433844000.0
33,20,Total liabilities,16598893000.0,19575284000.0,27102637000.0,31526796000.0,33252009000.0
34,19,Stockholders' equity,2319745000.0,1956899000.0,633520000.0,2129404000.0,2064461000.0
35,34,Common stock,2678000.0,2711000.0,2750000.0,2778000.0,2806000.0
36,34,Additional paid-in capital,2360992000.0,2749185000.0,3736477000.0,4333001000.0,4517635000.0
37,34,Retained earnings,1508414000.0,1570429000.0,1181623000.0,2303941000.0,2395218000.0
38,34,Treasury stock,-1516856000.0,-2313380000.0,-4150997000.0,-4396008000.0,-4755348000.0
39,34,Accumulated other comprehensive income,-35483000.0,-52046000.0,-136333000.0,-114308000.0,-95850000.0
40,34,Total stockholders' equity,2319745000.0,1956899000.0,633520000.0,2129404000.0,2064461000.0
41,19,Total liabilities and stockholders' equity,18918638000.0,21532183000.0,27736157000.0,33656200000.0,35316470000.0
