,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,67234944000.0,42953000000.0,41275000000.0,41247000000.0,52666000000.0
1,0,Current assets,31322583000.0,19247000000.0,15261000000.0,14155000000.0,26776000000.0
2,1,Cash,15173984000.0,8098000000.0,4460000000.0,6125000000.0,18775000000.0
3,2,Cash and cash equivalents,10802163000.0,3475000000.0,4063000000.0,5001000000.0,18620000000.0
4,2,Short-term investments,4371821000.0,4623000000.0,397000000.0,1124000000.0,155000000.0
5,2,Total cash,15173984000.0,8098000000.0,4460000000.0,6125000000.0,18775000000.0
6,1,Receivables,7612860000.0,3986000000.0,3586000000.0,3418000000.0,3248000000.0
7,1,Inventories,3792313000.0,2693000000.0,2643000000.0,2599000000.0,2434000000.0
8,1,Deferred income taxes,2986216000.0,2528000000.0,1705000000.0,,
9,1,Prepaid expenses,1757210000.0,1504000000.0,1975000000.0,1908000000.0,1806000000.0
10,1,Other current assets,0.0,438000000.0,892000000.0,105000000.0,513000000.0
11,1,Total current assets,31322583000.0,19247000000.0,15261000000.0,14155000000.0,26776000000.0
12,0,Non-current assets,35912361000.0,23706000000.0,26014000000.0,27092000000.0,25890000000.0
13,12,"Property, plant and equipment",8063047000.0,5905000000.0,5935000000.0,5730000000.0,5705000000.0
14,13,"Gross property, plant and equipment",18928887000.0,12870000000.0,12632000000.0,12383000000.0,12366000000.0
15,13,Accumulated Depreciation,-10865840000.0,-6965000000.0,-6697000000.0,-6653000000.0,-6661000000.0
16,13,"Net property, plant and equipment",8063047000.0,5905000000.0,5935000000.0,5730000000.0,5705000000.0
17,12,Equity and other investments,273595000.0,119000000.0,229000000.0,4041000000.0,2947000000.0
18,12,Goodwill,15774127000.0,9772000000.0,10067000000.0,9638000000.0,7683000000.0
19,12,Intangible assets,8588285000.0,5735000000.0,6198000000.0,5562000000.0,4539000000.0
20,12,Deferred income taxes,3213307000.0,2109000000.0,1651000000.0,2119000000.0,2263000000.0
21,12,Other long-term assets,0.0,66000000.0,1934000000.0,2000000.0,2753000000.0
22,12,Total non-current assets,35912361000.0,23706000000.0,26014000000.0,27092000000.0,25890000000.0
23,0,Total assets,67234944000.0,42953000000.0,41275000000.0,41247000000.0,52666000000.0
24,24,Liabilities and stockholders' equity,67234944000.0,42953000000.0,41275000000.0,41247000000.0,52666000000.0
25,24,Liabilities,40513983000.0,17782000000.0,19749000000.0,20036000000.0,32128000000.0
26,25,Current liabilities,13280176000.0,9507000000.0,10532000000.0,9186000000.0,6660000000.0
27,26,Short-term debt,2390662000.0,3173000000.0,4437000000.0,3130000000.0,1325000000.0
28,26,Accounts payable,1796990000.0,1026000000.0,1064000000.0,1081000000.0,1178000000.0
29,26,Deferred income taxes,,,,808000000.0,
30,26,Taxes payable,655424000.0,175000000.0,270000000.0,430000000.0,188000000.0
31,26,Accrued liabilities,8215760000.0,4406000000.0,3719000000.0,5604000000.0,3333000000.0
32,26,Other current liabilities,221340000.0,727000000.0,1042000000.0,-1867000000.0,636000000.0
33,26,Total current liabilities,13280176000.0,9507000000.0,10532000000.0,9186000000.0,6660000000.0
34,25,Non-current liabilities,27233807000.0,8275000000.0,9217000000.0,10850000000.0,25468000000.0
35,34,Long-term debt,18085302000.0,3388000000.0,3408000000.0,5871000000.0,20681000000.0
36,34,Deferred taxes liabilities,,466000000.0,,,356000000.0
37,34,Pensions and other benefits,9056234000.0,1818000000.0,5588000000.0,2241000000.0,2154000000.0
38,34,Minority interest,92271000.0,96000000.0,113000000.0,115000000.0,179000000.0
39,34,Other long-term liabilities,0.0,2507000000.0,108000000.0,2623000000.0,2098000000.0
40,34,Total non-current liabilities,27233807000.0,8275000000.0,9217000000.0,10850000000.0,25468000000.0
41,25,Total liabilities,40513983000.0,17782000000.0,19749000000.0,20036000000.0,32128000000.0
42,24,Stockholders' equity,26720961000.0,25171000000.0,21526000000.0,21211000000.0,20538000000.0
43,42,Common stock,11754552000.0,,,,
44,42,Additional paid-in capital,,12048000000.0,12383000000.0,12734000000.0,13027000000.0
45,42,Retained earnings,24150996000.0,21979000000.0,22874000000.0,25757000000.0,25565000000.0
46,42,Treasury stock,-5590909000.0,-6844000000.0,-8678000000.0,-10622000000.0,-10791000000.0
47,42,Accumulated other comprehensive income,-3593678000.0,-2012000000.0,-5053000000.0,-6658000000.0,-7263000000.0
48,42,Total stockholders' equity,26720961000.0,25171000000.0,21526000000.0,21211000000.0,20538000000.0
49,24,Total liabilities and stockholders' equity,67234944000.0,42953000000.0,41275000000.0,41247000000.0,52666000000.0
