,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,11310100000.0,12206500000.0,10938500000.0,11667800000.0,12379800000.0,12541700000.0
1,1,Cost of revenue,6649600000.0,7221400000.0,6427600000.0,6840300000.0,7269800000.0,7392600000.0
2,2,Gross profit,4660500000.0,4985100000.0,4510900000.0,4827500000.0,5110000000.0,5149100000.0
3,3,Operating expenses,2663300000.0,2762400000.0,2496900000.0,2637000000.0,2783200000.0,2797900000.0
4,3,"Sales, General and administrative",2620600000.0,2762400000.0,2496900000.0,2637000000.0,2783200000.0,2797900000.0
5,3,Other operating expenses,42700000.0,0.0,0.0,0.0,0.0,0.0
6,3,Total operating expenses,2663300000.0,2762400000.0,2496900000.0,2637000000.0,2783200000.0,2797900000.0
7,7,Operating income,1997200000.0,2222700000.0,2014000000.0,2190500000.0,2326800000.0,2351200000.0
8,8,Interest Expense,9100000.0,6100000.0,6500000.0,56200000.0,80000000.0,88100000.0
9,9,Other income (expense),96200000.0,58000000.0,63200000.0,100400000.0,284300000.0,287500000.0
10,10,Income before taxes,2084300000.0,2274600000.0,2070700000.0,2234700000.0,2531100000.0,2550600000.0
11,11,Provision for income taxes,720200000.0,772000000.0,694200000.0,741300000.0,797700000.0,784400000.0
12,12,Net income from continuing operations,1364100000.0,1502600000.0,1376500000.0,1493400000.0,1733400000.0,1766200000.0
13,13,Net income from discontinuing ops,41700000.0,13300000.0,76000000.0,-900000.0,0.0,
14,14,Net income,1405800000.0,1515900000.0,1452500000.0,1492500000.0,1733400000.0,1766200000.0
15,15,Net income available to common shareholders,1405800000.0,1515900000.0,1452500000.0,1492500000.0,1733400000.0,1766200000.0
16,16,Earnings per share,,,,,,
17,17,Basic,2.91,3.17,3.07,3.27,3.87,3.96
18,18,Diluted,2.89,3.14,3.05,3.25,3.85,3.94
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,482700000.0,478900000.0,472600000.0,457000000.0,447800000.0,445275000.0
21,21,Diluted,487100000.0,483100000.0,475800000.0,459100000.0,450300000.0,447725000.0
22,22,EBITDA,2410400000.0,2616900000.0,2355100000.0,2579500000.0,2927200000.0,2964400000.0
