,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,9.8125,9.9375,9.3125,9.34375,8.704594,2260800
1,1995-01-04,9.3125,9.75,9.3125,9.625,8.966605,2406000
2,1995-01-05,9.5625,9.75,9.5,9.625,8.966605,1402000
3,1995-01-06,9.75,9.8125,9.5625,9.71875,9.053942999999999,523600
4,1995-01-09,9.75,10.0,9.625,10.0,9.330351,1249200
5,1995-01-10,9.9375,10.25,9.625,9.6875,9.038781,1928000
6,1995-01-11,9.875,9.875,9.375,9.625,8.980466,1395600
7,1995-01-12,9.6875,9.6875,9.0625,9.375,8.747208,2690000
8,1995-01-13,9.3125,9.4375,8.53125,9.03125,8.426475,7314000
9,1995-01-16,9.0625,9.4375,9.0625,9.1875,8.572265,2022000
10,1995-01-17,9.125,9.5,9.0,9.375,8.747208,1884400
11,1995-01-18,9.25,9.65625,9.25,9.375,8.747208,1405600
12,1995-01-19,9.4375,9.4375,8.75,8.8125,8.222374,2878800
13,1995-01-20,8.8125,8.875,8.25,8.41405,7.850605000000001,5604400
14,1995-01-23,8.1875,8.5625,8.1875,8.4375,7.872487,2624000
15,1995-01-24,8.5625,8.625,8.4375,8.46875,7.901641000000001,1141200
16,1995-01-25,8.0625,8.5625,8.0625,8.46875,7.901641000000001,2426800
17,1995-01-26,8.5625,8.5625,8.125,8.3125,7.755857000000001,1047600
18,1995-01-27,8.5625,8.5625,8.1875,8.46875,7.901641000000001,1337600
19,1995-01-30,8.4375,8.5,8.0625,8.15625,7.610072,1489600
20,1995-01-31,8.3125,8.5,8.25,8.28125,7.726699000000001,2068400
21,1995-02-01,8.375,8.6875,8.3125,8.5,7.930801,2763600
22,1995-02-02,8.5,8.5625,8.375,8.4375,7.872487,571600
23,1995-02-03,8.6875,8.8125,8.5625,8.75,8.164060000000001,2617600
24,1995-02-06,8.8125,9.1875,8.6875,9.0,8.397317999999999,2276000
25,1995-02-07,9.0,9.0625,8.625,8.6875,8.105744,1442800
26,1995-02-08,8.75,8.875,8.625,8.75,8.164060000000001,1447600
27,1995-02-09,8.75,9.0,8.75,8.8125,8.222374,1240000
28,1995-02-10,8.8125,8.875,8.5,8.75,8.164060000000001,934000
29,1995-02-13,8.625,8.75,8.5,8.75,8.164060000000001,276000
30,1995-02-14,8.625,8.875,8.625,8.71875,8.134905999999999,866000
31,1995-02-15,8.8125,9.21875,8.75,9.09375,8.484793,2745600
32,1995-02-16,9.3125,9.4375,8.875,9.0,8.397317999999999,2226800
33,1995-02-17,9.0,9.0625,8.8125,8.96875,8.368160000000001,1406800
34,1995-02-21,8.9375,9.125,8.875,8.875,8.28069,1223200
35,1995-02-22,8.75,8.9375,8.6875,8.9375,8.339003,1492000
36,1995-02-23,9.375,9.625,9.25,9.53125,8.892994999999999,14269200
37,1995-02-24,9.4375,9.875,9.4375,9.75,9.097092,4908000
38,1995-02-27,9.75,10.0,9.6875,9.6875,9.038781,4528800
39,1995-02-28,9.6875,9.8125,9.5,9.8125,9.155412,2752000
40,1995-03-01,9.75,9.875,9.75,9.8125,9.155412,2030000
41,1995-03-02,9.75,9.875,9.625,9.75,9.097092,2317200
42,1995-03-03,9.75,10.03125,9.6875,9.984375,9.315777,2306000
43,1995-03-06,9.8125,10.0,9.6875,9.8125,9.155412,2123600
44,1995-03-07,9.75,9.9375,9.4375,9.5,8.863835,1983200
45,1995-03-08,9.5625,9.6875,9.4375,9.5,8.863835,1714800
46,1995-03-09,9.4375,9.625,9.4375,9.5625,8.922152,1085600
47,1995-03-10,9.5625,9.75,9.4375,9.75,9.097092,1154800
48,1995-03-13,9.75,9.75,9.625,9.6875,9.038781,2143600
49,1995-03-14,9.6875,9.8125,9.6875,9.8125,9.155412,1241600
50,1995-03-15,9.6875,10.375,9.6875,10.375,9.680242,4055200
51,1995-03-16,10.25,10.625,10.1875,10.375,9.680242,3708000
52,1995-03-17,10.4375,10.5,10.09375,10.1875,9.505297,1841200
53,1995-03-20,10.125,10.234375,10.0,10.0625,9.388668,1773600
54,1995-03-21,10.0625,10.5,10.0625,10.4375,9.738560000000001,2667200
55,1995-03-22,10.4375,10.5625,10.3125,10.4375,9.738560000000001,1170000
56,1995-03-23,10.4375,10.6875,10.3125,10.4375,9.738560000000001,2166000
57,1995-03-24,10.5,10.625,10.4375,10.53125,9.826030000000001,2032400
58,1995-03-27,10.5,10.53125,10.375,10.4375,9.738560000000001,1116000
59,1995-03-28,10.4375,11.0,10.4375,11.0,10.263389,2993600
60,1995-03-29,10.5,11.0,10.375,10.6875,9.971817999999999,6653600
61,1995-03-30,10.75,10.9375,10.4375,10.75,10.030134,2478400
62,1995-03-31,10.4375,10.6875,10.375,10.53125,9.826030000000001,1616000
63,1995-04-03,10.4375,10.5625,10.1875,10.3125,9.635649,2291600
64,1995-04-04,10.25,10.5,10.125,10.1875,9.518854,1426400
65,1995-04-05,10.1875,10.3125,9.875,10.25,9.577253,2190400
66,1995-04-06,10.125,10.4375,10.125,10.25,9.577253,1002000
67,1995-04-07,10.4375,10.625,10.1875,10.375,9.694049,1608800
68,1995-04-10,10.375,10.5625,10.25,10.53125,9.840049,1180800
69,1995-04-11,10.5625,10.6875,10.5,10.53125,9.840049,917200
70,1995-04-12,10.5,10.6875,10.375,10.5,9.810842999999998,473600
71,1995-04-13,10.3125,10.5,10.1875,10.1875,9.518854,1206000
72,1995-04-17,10.3125,10.3125,9.8125,9.8125,9.168467,1676400
73,1995-04-18,9.875,10.0,9.375,9.625,8.993275,2193200
74,1995-04-19,9.5625,9.6875,9.125,9.125,8.526093,3621200
75,1995-04-20,9.125,9.5,9.125,9.1875,8.584489999999999,3696800
76,1995-04-21,9.1875,9.3125,9.0625,9.078125,8.482292999999999,2959200
77,1995-04-24,9.0625,9.4375,8.9375,9.3125,8.701289,5348800
78,1995-04-25,9.0,9.0,8.25,8.6875,8.117308999999999,20826800
79,1995-04-26,8.75,8.9375,8.625,8.875,8.292498,6802000
80,1995-04-27,8.875,9.0,8.6875,8.71875,8.146505,2970000
81,1995-04-28,8.6875,8.8125,8.375,8.515625,7.956716,2986800
82,1995-05-01,8.5625,8.9375,8.5,8.6875,8.117308999999999,5720800
83,1995-05-02,8.8125,9.0,8.6875,9.0,8.409294000000001,3216400
84,1995-05-03,9.0,9.0625,8.75,9.0625,8.467694,3139200
85,1995-05-04,9.0625,9.1875,8.5,8.59375,8.029710000000001,4405600
86,1995-05-05,8.75,8.875,8.5625,8.75,8.175707000000001,3013200
87,1995-05-08,8.5625,9.0,8.5625,8.9375,8.350899,3328800
88,1995-05-09,8.875,9.0,8.875,8.90625,8.321699,1835200
89,1995-05-10,8.9375,8.9375,8.75,8.8125,8.234103999999999,770400
90,1995-05-11,8.75,9.0,8.6875,8.9375,8.350899,1718000
91,1995-05-12,8.9375,9.375,8.8125,9.28125,8.672087,2223600
92,1995-05-15,9.375,9.6875,9.25,9.65625,9.02247,4318000
93,1995-05-16,9.6875,9.6875,9.5,9.625,8.993275,1886400
94,1995-05-17,9.65625,9.875,9.5625,9.75,9.110071000000001,2088000
95,1995-05-18,9.8125,10.125,9.6875,9.703125,9.066272999999999,3265200
96,1995-05-19,9.5625,9.625,9.1875,9.1875,8.584489999999999,3893600
97,1995-05-22,9.1875,9.8125,9.1875,9.625,8.993275,3840000
98,1995-05-23,9.5625,9.9375,9.5625,9.9375,9.285264,4305200
99,1995-05-24,9.9375,10.0,9.625,9.75,9.110071000000001,1987200
100,1995-05-25,9.75,9.75,9.375,9.5625,8.934875,2371200
101,1995-05-26,9.5,9.625,9.4375,9.5,8.876477000000001,1026000
102,1995-05-30,9.4375,9.5625,9.3125,9.34375,8.730483999999999,2190800
103,1995-05-31,9.4375,9.5625,9.25,9.25,8.642888000000001,2458400
104,1995-06-01,9.25,9.5625,9.25,9.5,8.876477000000001,1954400
105,1995-06-02,9.4375,9.6875,9.375,9.5625,8.934875,1184400
106,1995-06-05,9.75,9.9375,9.6875,9.9375,9.285264,3059200
107,1995-06-06,9.9375,10.125,9.8125,9.875,9.226867,3062000
108,1995-06-07,9.875,10.1875,9.8125,10.0,9.343662,3127200
109,1995-06-08,10.0625,10.3125,10.0625,10.25,9.577253,1552800
110,1995-06-09,10.125,10.28125,10.0625,10.1875,9.518854,1689200
111,1995-06-12,10.1875,10.4375,10.125,10.375,9.694049,1268400
112,1995-06-13,10.5,10.5625,10.25,10.40625,9.723248,2677600
113,1995-06-14,10.3125,10.375,10.1875,10.28125,9.60645,1624400
114,1995-06-15,10.3125,10.4375,10.1875,10.25,9.577253,1271600
115,1995-06-16,10.375,10.375,10.1875,10.3125,9.635649,1419600
116,1995-06-19,10.1875,11.0,10.1875,10.9375,10.21963,2939200
117,1995-06-20,11.0,11.0625,10.8125,11.0,10.278031,1584400
118,1995-06-21,11.0,11.0625,10.6875,10.6875,9.98604,1011200
119,1995-06-22,10.8125,11.0625,10.75,11.0,10.278031,962000
120,1995-06-23,10.8125,11.125,10.8125,11.03125,10.307229,838000
121,1995-06-26,10.9375,11.0625,10.6875,10.75,10.044436,1130800
122,1995-06-27,10.625,11.0,10.5625,10.8125,10.102837,1786000
123,1995-06-28,10.75,10.8125,10.375,10.4375,9.752446,1598800
124,1995-06-29,10.5625,10.8125,10.5,10.75,10.044436,1972000
125,1995-06-30,10.75,10.875,10.625,10.75,10.044436,1258800
126,1995-07-03,10.625,10.75,10.625,10.6875,9.98604,302400
127,1995-07-05,10.8125,11.0,10.75,10.75,10.058556,1143200
128,1995-07-06,10.75,11.0,10.75,11.0,10.292473,1050800
129,1995-07-07,10.9375,11.375,10.9375,11.3125,10.584875,1728400
130,1995-07-10,11.25,11.5,11.1875,11.40625,10.672592999999999,1300400
131,1995-07-11,11.3125,11.375,11.125,11.1875,10.467913000000001,2171600
132,1995-07-12,11.3125,11.375,11.1875,11.25,10.526396,855600
133,1995-07-13,11.375,12.0625,11.25,11.875,11.111194,2211600
134,1995-07-14,11.875,12.1875,11.6875,12.1875,11.403592,1373200
135,1995-07-17,12.25,12.5625,12.1875,12.25,11.462076,3289600
136,1995-07-18,12.1875,12.3125,11.5625,11.625,10.877275,2024800
137,1995-07-19,11.0625,11.3125,10.6875,11.1875,10.467913000000001,2839600
138,1995-07-20,11.25,11.3125,10.625,10.90625,10.204753,3248400
139,1995-07-21,10.9375,11.5625,10.875,11.4375,10.701836,3038800
140,1995-07-24,11.5,11.625,11.4375,11.59375,10.848034,1361200
141,1995-07-25,11.5625,11.6875,11.5,11.609375,10.862656,1224800
142,1995-07-26,11.5625,11.8125,11.5625,11.6875,10.935753,1775600
143,1995-07-27,11.75,12.0,11.625,11.9375,11.169677,2300000
144,1995-07-28,11.8125,12.1875,11.8125,11.90625,11.140433,799600
145,1995-07-31,11.875,11.890625,11.25,11.3125,10.584875,2127200
146,1995-08-01,11.375,11.375,10.875,11.28125,10.555636,2504000
147,1995-08-02,11.5625,11.625,11.4375,11.5625,10.818793,3296800
148,1995-08-03,11.125,11.3125,11.0625,11.3125,10.584875,1334000
149,1995-08-04,11.3125,11.375,11.25,11.3125,10.584875,223600
150,1995-08-07,11.3125,11.3125,11.1875,11.25,10.526396,1087200
151,1995-08-08,11.4375,11.5625,11.375,11.4375,10.701836,3214800
152,1995-08-09,11.5625,11.6875,11.25,11.375,10.643353999999999,1800000
153,1995-08-10,11.3125,11.875,11.3125,11.6875,10.935753,1390400
154,1995-08-11,11.875,12.125,11.625,12.0,11.228153,1732400
155,1995-08-14,12.0625,12.6875,12.0625,12.5,11.695993,3807200
156,1995-08-15,12.5625,12.6875,12.3125,12.65625,11.842195,3563200
157,1995-08-16,12.6875,13.25,12.625,13.0,12.163836,10751600
158,1995-08-17,13.25,13.25,12.71875,12.71875,11.900674,2302000
159,1995-08-18,12.3125,12.375,11.8125,11.875,11.111194,8844800
160,1995-08-21,12.1875,12.1875,11.125,11.125,10.409435,4540000
161,1995-08-22,11.3125,11.5,11.125,11.5,10.760313,2961600
162,1995-08-23,11.5,11.6875,11.1875,11.4375,10.701836,2577600
163,1995-08-24,11.5,11.5,10.875,11.0,10.292473,2090400
164,1995-08-25,11.0,11.375,10.96875,11.1875,10.467913000000001,2176800
165,1995-08-28,11.3125,11.3125,10.9375,10.9375,10.233993,1958800
166,1995-08-29,11.0625,11.0625,10.375,11.0625,10.350954,5039200
167,1995-08-30,11.1875,11.4375,11.0625,11.4375,10.701836,3556000
168,1995-08-31,11.5,11.6875,11.375,11.53125,10.789557,1646400
169,1995-09-01,11.5,11.5,11.25,11.3125,10.584875,826800
170,1995-09-05,11.5,11.5,11.3125,11.375,10.643353999999999,1057200
171,1995-09-06,11.4375,11.6875,11.4375,11.5625,10.818793,3492000
172,1995-09-07,11.5625,11.625,11.5,11.5625,10.818793,1904800
173,1995-09-08,11.5625,11.625,11.3125,11.34375,10.614115,1930800
174,1995-09-11,11.3125,11.4375,11.1875,11.375,10.643353999999999,1592400
175,1995-09-12,11.3125,11.625,11.25,11.5,10.760313,920800
176,1995-09-13,11.5,12.0,11.5,11.96875,11.198913000000001,3024400
177,1995-09-14,12.0,12.25,11.75,12.25,11.462076,1934800
178,1995-09-15,12.34375,12.5,11.75,12.3125,11.520555,5063200
179,1995-09-18,12.3125,12.4375,12.125,12.25,11.462076,2980400
180,1995-09-19,12.25,12.4375,12.1875,12.3125,11.520555,2202400
