,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,21835000000.0,21042000000.0,22676000000.0,23640000000.0,24699000000.0
1,0,Current assets,2369000000.0,1972000000.0,2046000000.0,1917000000.0,1593000000.0
2,1,Cash,209000000.0,30000000.0,5000000.0,292000000.0,9000000.0
3,2,Cash and cash equivalents,209000000.0,30000000.0,5000000.0,292000000.0,9000000.0
4,2,Total cash,209000000.0,30000000.0,5000000.0,292000000.0,9000000.0
5,1,Receivables,818000000.0,904000000.0,688000000.0,725000000.0,795000000.0
6,1,Inventories,704000000.0,526000000.0,524000000.0,538000000.0,527000000.0
7,1,Other current assets,638000000.0,512000000.0,829000000.0,362000000.0,262000000.0
8,1,Total current assets,2369000000.0,1972000000.0,2046000000.0,1917000000.0,1593000000.0
9,0,Non-current assets,19466000000.0,19070000000.0,20630000000.0,21723000000.0,23106000000.0
10,9,"Property, plant and equipment",16096000000.0,16205000000.0,17424000000.0,18799000000.0,20113000000.0
11,10,"Gross property, plant and equipment",24919000000.0,24849000000.0,27183000000.0,29146000000.0,31074000000.0
12,10,Accumulated Depreciation,-8823000000.0,-8644000000.0,-9759000000.0,-10347000000.0,-10961000000.0
13,10,"Net property, plant and equipment",16096000000.0,16205000000.0,17424000000.0,18799000000.0,20113000000.0
14,9,Equity and other investments,408000000.0,494000000.0,549000000.0,556000000.0,607000000.0
15,9,Goodwill,411000000.0,411000000.0,411000000.0,411000000.0,411000000.0
16,9,Intangible assets,16000000.0,22000000.0,0.0,0.0,0.0
17,9,Regulatory assets,1786000000.0,1240000000.0,1582000000.0,1382000000.0,1437000000.0
18,9,Other long-term assets,749000000.0,698000000.0,664000000.0,575000000.0,538000000.0
19,9,Total non-current assets,19466000000.0,19070000000.0,20630000000.0,21723000000.0,23106000000.0
20,0,Total assets,21835000000.0,21042000000.0,22676000000.0,23640000000.0,24699000000.0
21,21,Liabilities and stockholders' equity,21835000000.0,21042000000.0,22676000000.0,23640000000.0,24699000000.0
22,21,Liabilities,15219000000.0,14498000000.0,15963000000.0,16694000000.0,17596000000.0
23,22,Current liabilities,1698000000.0,2461000000.0,2249000000.0,2093000000.0,2674000000.0
24,23,Short-term debt,355000000.0,902000000.0,834000000.0,696000000.0,1239000000.0
25,23,Accounts payable,625000000.0,,711000000.0,777000000.0,
26,23,Taxes payable,68000000.0,55000000.0,46000000.0,43000000.0,46000000.0
27,23,Accrued liabilities,99000000.0,86000000.0,85000000.0,89000000.0,93000000.0
28,23,Deferred revenues,108000000.0,105000000.0,,,107000000.0
29,23,Other current liabilities,443000000.0,1313000000.0,573000000.0,488000000.0,1189000000.0
30,23,Total current liabilities,1698000000.0,2461000000.0,2249000000.0,2093000000.0,2674000000.0
31,22,Non-current liabilities,13521000000.0,12037000000.0,13714000000.0,14601000000.0,14922000000.0
32,31,Long-term debt,6626000000.0,5504000000.0,6120000000.0,6880000000.0,6595000000.0
33,31,Deferred taxes liabilities,2792000000.0,3166000000.0,3923000000.0,3885000000.0,4264000000.0
34,31,Pensions and other benefits,1178000000.0,466000000.0,705000000.0,580000000.0,769000000.0
35,31,Regulatory liabilities,1589000000.0,1705000000.0,1850000000.0,1905000000.0,1985000000.0
36,31,Minority interest,151000000.0,142000000.0,142000000.0,142000000.0,142000000.0
37,31,Other long-term liabilities,1185000000.0,1054000000.0,974000000.0,1209000000.0,1167000000.0
38,31,Total non-current liabilities,13521000000.0,12037000000.0,13714000000.0,14601000000.0,14922000000.0
39,22,Total liabilities,15219000000.0,14498000000.0,15963000000.0,16694000000.0,17596000000.0
40,21,stockholders' equity,6616000000.0,6544000000.0,6713000000.0,6946000000.0,7103000000.0
41,40,Common stock,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
42,40,Additional paid-in capital,5616000000.0,5632000000.0,5617000000.0,5616000000.0,5556000000.0
43,40,Retained earnings,1006000000.0,907000000.0,1103000000.0,1331000000.0,1568000000.0
44,40,Accumulated other comprehensive income,-8000000.0,3000000.0,-9000000.0,-3000000.0,-23000000.0
45,40,Total stockholders' equity,6616000000.0,6544000000.0,6713000000.0,6946000000.0,7103000000.0
46,21,Total liabilities and stockholders' equity,21835000000.0,21042000000.0,22676000000.0,23640000000.0,24699000000.0
