,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,41830000000.0,40411000000.0,38966000000.0,36850000000.0,36119000000.0
1,0,Current assets,8465000000.0,7739000000.0,7826000000.0,6866000000.0,6411000000.0
2,1,Cash,2666000000.0,2310000000.0,2248000000.0,1746000000.0,2103000000.0
3,2,Cash and cash equivalents,1970000000.0,1642000000.0,1539000000.0,1262000000.0,1305000000.0
4,2,Short-term investments,696000000.0,668000000.0,709000000.0,484000000.0,798000000.0
5,2,Total cash,2666000000.0,2310000000.0,2248000000.0,1746000000.0,2103000000.0
6,1,Receivables,2712000000.0,2363000000.0,2709000000.0,2473000000.0,2166000000.0
7,1,Inventories,769000000.0,684000000.0,702000000.0,675000000.0,630000000.0
8,1,Prepaid expenses,231000000.0,179000000.0,175000000.0,108000000.0,83000000.0
9,1,Other current assets,2087000000.0,2203000000.0,1992000000.0,1864000000.0,1429000000.0
10,1,Total current assets,8465000000.0,7739000000.0,7826000000.0,6866000000.0,6411000000.0
11,0,Non-current assets,33365000000.0,32672000000.0,31140000000.0,29984000000.0,29708000000.0
12,11,"Property, plant and equipment",25913000000.0,25112000000.0,25151000000.0,22816000000.0,22847000000.0
13,12,"Gross property, plant and equipment",35636000000.0,34716000000.0,35113000000.0,32265000000.0,32375000000.0
14,12,Accumulated Depreciation,-9723000000.0,-9604000000.0,-9962000000.0,-9449000000.0,-9528000000.0
15,12,"Net property, plant and equipment",25913000000.0,25112000000.0,25151000000.0,22816000000.0,22847000000.0
16,11,Equity and other investments,1196000000.0,1010000000.0,537000000.0,610000000.0,621000000.0
17,11,Goodwill,1999000000.0,1622000000.0,1458000000.0,1157000000.0,1157000000.0
18,11,Intangible assets,429000000.0,297000000.0,281000000.0,214000000.0,1804000000.0
19,11,Deferred income taxes,996000000.0,666000000.0,662000000.0,543000000.0,781000000.0
20,11,Other long-term assets,2832000000.0,3965000000.0,3051000000.0,4644000000.0,2498000000.0
21,11,Total non-current assets,33365000000.0,32672000000.0,31140000000.0,29984000000.0,29708000000.0
22,0,Total assets,41830000000.0,40411000000.0,38966000000.0,36850000000.0,36119000000.0
23,23,Liabilities and stockholders' equity,41830000000.0,40411000000.0,38966000000.0,36850000000.0,36119000000.0
24,23,Liabilities,37261000000.0,36081000000.0,34694000000.0,33701000000.0,33325000000.0
25,24,Current liabilities,8319000000.0,7653000000.0,6997000000.0,6950000000.0,5272000000.0
26,25,Short-term debt,2854000000.0,2180000000.0,151000000.0,0.0,1303000000.0
27,25,Accounts payable,2638000000.0,2259000000.0,2278000000.0,1721000000.0,1656000000.0
28,25,Accrued liabilities,2827000000.0,2377000000.0,2586000000.0,2687000000.0,2313000000.0
29,25,Other current liabilities,0.0,837000000.0,1982000000.0,2542000000.0,0.0
30,25,Total current liabilities,8319000000.0,7653000000.0,6997000000.0,6950000000.0,5272000000.0
31,24,Non-current liabilities,28942000000.0,28428000000.0,27697000000.0,26751000000.0,28053000000.0
32,31,Long-term debt,18519000000.0,18869000000.0,5107000000.0,5015000000.0,19160000000.0
33,31,Deferred taxes liabilities,1238000000.0,1119000000.0,1277000000.0,1090000000.0,804000000.0
34,31,Pensions and other benefits,2456000000.0,1310000000.0,1342000000.0,927000000.0,1396000000.0
35,31,Minority interest,2945000000.0,3321000000.0,3053000000.0,3022000000.0,2906000000.0
36,31,Other long-term liabilities,3784000000.0,3809000000.0,16918000000.0,16697000000.0,3787000000.0
37,31,Total non-current liabilities,28942000000.0,28428000000.0,27697000000.0,26751000000.0,28053000000.0
38,24,Total liabilities,37261000000.0,36081000000.0,34694000000.0,33701000000.0,33325000000.0
39,23,stockholders' equity,4569000000.0,4330000000.0,4272000000.0,3149000000.0,2794000000.0
40,39,Common stock,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0
41,39,Additional paid-in capital,8525000000.0,8443000000.0,8409000000.0,8718000000.0,8592000000.0
42,39,Retained earnings,-264000000.0,-150000000.0,512000000.0,143000000.0,-1146000000.0
43,39,Treasury stock,-780000000.0,-1089000000.0,-1371000000.0,-1837000000.0,-1904000000.0
44,39,Accumulated other comprehensive income,-2920000000.0,-2882000000.0,-3286000000.0,-3883000000.0,-2756000000.0
45,39,Total stockholders' equity,4569000000.0,4330000000.0,4272000000.0,3149000000.0,2794000000.0
46,23,Total liabilities and stockholders' equity,41830000000.0,40411000000.0,38966000000.0,36850000000.0,36119000000.0
