,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,41494500000.0,49871800000.0,53402100000.0,53424100000.0,69146000000.0
1,0,Short-term investments,2221900000.0,2063800000.0,2595200000.0,3014800000.0,3046000000.0
2,0,Cash and cash equivalents,2579200000.0,1412300000.0,1420400000.0,2524300000.0,17996000000.0
3,0,Premiums and other receivables,1799700000.0,3973800000.0,4061600000.0,4456700000.0,4624000000.0
4,0,Property and equipment,540000000.0,721900000.0,669800000.0,629700000.0,587000000.0
5,0,Goodwill,6214400000.0,12321600000.0,12561500000.0,12325100000.0,12079000000.0
6,0,Other assets,28139300000.0,29378400000.0,32093600000.0,30473500000.0,30814000000.0
7,0,Total assets,41494500000.0,49871800000.0,53402100000.0,53424100000.0,69146000000.0
8,8,Liabilities and stockholders' equity,41494500000.0,49871800000.0,53402100000.0,53424100000.0,69146000000.0
9,8,Liabilities,31088700000.0,35846300000.0,38919500000.0,37309800000.0,51265000000.0
10,9,Short-term debt,0.0,387300000.0,729300000.0,0.0,1634000000.0
11,9,Long-term debt,6481300000.0,7865300000.0,7852000000.0,7828000000.0,19027000000.0
12,9,Deferred income taxes,473500000.0,864200000.0,867500000.0,177400000.0,4000000.0
13,9,Other liabilities,24133900000.0,26729500000.0,29470700000.0,29304400000.0,30600000000.0
14,9,Total liabilities,31088700000.0,35846300000.0,38919500000.0,37309800000.0,51265000000.0
15,8,Stockholders' equity,10405800000.0,14025500000.0,14482600000.0,16114300000.0,17881000000.0
16,15,Common stock,1095300000.0,4382200000.0,4542200000.0,4647200000.0,4716000000.0
17,15,Retained earnings,10343900000.0,10555400000.0,11051700000.0,12797400000.0,14717000000.0
18,15,Accumulated other comprehensive income,-1033400000.0,-912100000.0,-1111300000.0,-1330300000.0,-1552000000.0
19,15,Total stockholders' equity,10405800000.0,14025500000.0,14482600000.0,16114300000.0,17881000000.0
20,8,Total liabilities and stockholders' equity,41494500000.0,49871800000.0,53402100000.0,53424100000.0,69146000000.0
