,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,3676000000.0,5865000000.0,5007000000.0,2877000000.0,2383000000.0,-8565000000.0
1,0,Net income,3700000000.0,9092000000.0,7524000000.0,2222000000.0,-349000000.0,-1890000000.0
2,0,Investments (gains) losses,-3219000000.0,-2741000000.0,-764000000.0,-1111000000.0,-2033000000.0,-1312000000.0
3,0,Equity in (income) loss from equity method investments,-911000000.0,-1484000000.0,-1394000000.0,-481000000.0,-54000000.0,-442000000.0
4,0,Depreciation & amortization,5307000000.0,4713000000.0,4448000000.0,4629000000.0,4090000000.0,4082000000.0
5,0,Investment/asset impairment charges,1524000000.0,1332000000.0,610000000.0,1500000000.0,1116000000.0,913000000.0
6,0,(Gain) Loss from discontinued operations,4052000000.0,-84000000.0,50000000.0,,90000000.0,29000000.0
7,0,(Gains) loss on disposition of businesses,2000000.0,48000000.0,-2197000000.0,11000000.0,-545000000.0,-21000000.0
8,0,Capitalization of deferred policy acquisition costs,-5613000000.0,-5834000000.0,-5880000000.0,-5808000000.0,-5216000000.0,-5211000000.0
9,0,Other assets and liabilities,2004000000.0,328000000.0,1567000000.0,1681000000.0,3745000000.0,-5027000000.0
10,0,Other operating activities,-3170000000.0,495000000.0,1043000000.0,234000000.0,1539000000.0,314000000.0
11,0,Net cash provided by operating activities,3676000000.0,5865000000.0,5007000000.0,2877000000.0,2383000000.0,-8565000000.0
12,12,Cash Flows From Investing Activities,16612000000.0,7099000000.0,14284000000.0,8462000000.0,4744000000.0,19193000000.0
13,12,Sales/maturities of fixed maturity and equity securities,97633000000.0,73674000000.0,59900000000.0,67512000000.0,69570000000.0,78283000000.0
14,12,Payments from loans,3266000000.0,3420000000.0,3856000000.0,5104000000.0,6074000000.0,5571000000.0
15,12,Acquisitions and dispositions,0.0,0.0,2348000000.0,0.0,2809000000.0,3414000000.0
16,12,Purchases of investments,-79530000000.0,-72621000000.0,-41342000000.0,-55125000000.0,-62423000000.0,-58973000000.0
17,12,Loans issued,-3256000000.0,-5266000000.0,-8008000000.0,-10140000000.0,-10651000000.0,-9384000000.0
18,12,Other investing activities,-1501000000.0,7892000000.0,-2470000000.0,1111000000.0,-635000000.0,282000000.0
19,12,Net cash used for investing activities,16612000000.0,7099000000.0,14284000000.0,8462000000.0,4744000000.0,19193000000.0
20,20,Cash Flows From Financing Activities,-20564000000.0,-11758000000.0,-19788000000.0,-11429000000.0,-6833000000.0,-10662000000.0
21,20,Long-term debt issued,4844000000.0,5235000000.0,6687000000.0,6867000000.0,5954000000.0,-3071000000.0
22,20,Long-term debt repayment,-7276000000.0,-14197000000.0,-16160000000.0,-9805000000.0,-4082000000.0,850000000.0
23,20,Redemption of preferred stock,-8636000000.0,0.0,0.0,,,
24,20,Repurchases of treasury stock,-13000000000.0,-597000000.0,-4902000000.0,-10691000000.0,-11460000000.0,-9229000000.0
25,20,Cash dividends paid,,-294000000.0,-712000000.0,-1028000000.0,-1372000000.0,-1205000000.0
26,20,Other financing activities,3504000000.0,-1905000000.0,-4701000000.0,3228000000.0,4127000000.0,1993000000.0
27,20,Net cash provided by (used for) financing activities,-20564000000.0,-11758000000.0,-19788000000.0,-11429000000.0,-6833000000.0,-10662000000.0
28,28,Effect of exchange rate changes,16000000.0,-92000000.0,-74000000.0,-39000000.0,52000000.0,-57000000.0
29,29,Net change in cash,-260000000.0,1114000000.0,-571000000.0,-129000000.0,346000000.0,-91000000.0
30,30,Cash at beginning of period,1474000000.0,1151000000.0,2241000000.0,1758000000.0,1629000000.0,2498000000.0
31,31,Cash at end of period,1214000000.0,2265000000.0,1670000000.0,1629000000.0,1975000000.0,2407000000.0
32,32,Supplemental schedule of cash flow data,,,,,,
33,33,Cash paid for income taxes,447000000.0,,,511000000.0,,
34,34,Cash paid for interest,4037000000.0,,,1368000000.0,,
