,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,28946607000.0,29714689000.0,31562466000.0,30043128000.0,29709128000.0
1,0,Fixed maturity securities,12171638000.0,11291875000.0,11263174000.0,10215328000.0,9572145000.0
2,0,Equity securities,475806000.0,458358000.0,499407000.0,500057000.0,421361000.0
3,0,"Loans, total",1364620000.0,1338710000.0,1320888000.0,1195114000.0,662566000.0
4,0,Short-term investments,300925000.0,470458000.0,345246000.0,508950000.0,227740000.0
5,0,Cash and cash equivalents,909404000.0,1717184000.0,1318656000.0,1288305000.0,1031971000.0
6,0,Accrued investment income,149032000.0,145189000.0,138868000.0,129743000.0,110075000.0
7,0,Premiums and other receivables,862767000.0,1080171000.0,1445630000.0,1260717000.0,1217969000.0
8,0,Deferred policy acquisition costs,2861163000.0,3128931000.0,2957740000.0,3150934000.0,3267394000.0
9,0,Property and equipment,250796000.0,253630000.0,277645000.0,298414000.0,343572000.0
10,0,Goodwill,965817000.0,1192746000.0,1268661000.0,1151829000.0,1103431000.0
11,0,Separate account assets,1731873000.0,1941747000.0,1906237000.0,1798104000.0,1692287000.0
12,0,Other assets,6902766000.0,6695690000.0,8820314000.0,8545633000.0,10058617000.0
13,0,Total assets,28946607000.0,29714689000.0,31562466000.0,30043128000.0,29709128000.0
14,14,Liabilities and stockholders' equity,28946607000.0,29714689000.0,31562466000.0,30043128000.0,29709128000.0
15,14,Liabilities,23761241000.0,24881210000.0,26381159000.0,25519161000.0,25611028000.0
16,15,Future policy benefits,8513505000.0,8646572000.0,9483672000.0,9466694000.0,10112878000.0
17,15,Policyholder funds,61413000.0,76778000.0,75161000.0,94417000.0,111721000.0
18,15,Unearned premiums,6192260000.0,6662672000.0,6529675000.0,6423720000.0,6626525000.0
19,15,Long-term debt,972399000.0,1638118000.0,1171079000.0,1171382000.0,1067020000.0
20,15,Deferred income taxes,161288000.0,129148000.0,0.0,0.0,0.0
21,15,Taxes payable,0.0,3371000.0,0.0,,
22,15,Separate account liabilities,1731873000.0,1941747000.0,1906237000.0,1798104000.0,1692287000.0
23,15,Other liabilities,6128503000.0,5782804000.0,7215335000.0,6564844000.0,6000597000.0
24,15,Total liabilities,23761241000.0,24881210000.0,26381159000.0,25519161000.0,25611028000.0
25,14,Stockholders' equity,5185366000.0,4833479000.0,5181307000.0,4523967000.0,4098100000.0
26,25,Common stock,1474000.0,1482000.0,1490000.0,1497000.0,1504000.0
27,25,Additional paid-in capital,3052454000.0,3087533000.0,3131274000.0,3148409000.0,3175867000.0
28,25,Retained earnings,4001096000.0,4415875000.0,4809287000.0,4856674000.0,5296678000.0
29,25,Treasury stock,-2700061000.0,-3098241000.0,-3316511000.0,-3601162000.0,-4470551000.0
30,25,Accumulated other comprehensive income,830403000.0,426830000.0,555767000.0,118549000.0,94602000.0
31,25,Total stockholders' equity,5185366000.0,4833479000.0,5181307000.0,4523967000.0,4098100000.0
32,14,Total liabilities and stockholders' equity,28946607000.0,29714689000.0,31562466000.0,30043128000.0,29709128000.0
