,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,1373947000.0,1577922000.0,1963874000.0,2197448000.0,2340049000.0,2455668000.0
1,1,Cost of revenue,431911000.0,511087000.0,610943000.0,725620000.0,809001000.0,849296000.0
2,2,Gross profit,942036000.0,1066835000.0,1352931000.0,1471828000.0,1531048000.0,1606372000.0
3,3,Operating expenses,627549000.0,652867000.0,863412000.0,1005678000.0,1071454000.0,1194526000.0
4,3,Research and development,74744000.0,93879000.0,125286000.0,148591000.0,167628000.0,209516000.0
5,3,"Sales, General and administrative",531437000.0,535598000.0,704880000.0,772974000.0,866883000.0,942450000.0
6,3,"Restructuring, merger and acquisition",406000.0,1843000.0,1189000.0,767000.0,10301000.0,3368000.0
7,3,Other operating expenses,20962000.0,21547000.0,32057000.0,83346000.0,26642000.0,39192000.0
8,3,Total operating expenses,627549000.0,652867000.0,863412000.0,1005678000.0,1071454000.0,1194526000.0
9,9,Operating income,314487000.0,413968000.0,489519000.0,466150000.0,459594000.0,411846000.0
10,10,Interest Expense,0.0,,15463000.0,18525000.0,18638000.0,18669000.0
11,11,Other income (expense),7104000.0,5586000.0,5720000.0,8999000.0,18490000.0,20746000.0
12,12,Income before taxes,321591000.0,419554000.0,479776000.0,456624000.0,459446000.0,413923000.0
13,13,Provision for income taxes,117602000.0,126067000.0,145828000.0,135218000.0,143314000.0,123070000.0
14,14,Net income from continuing operations,203989000.0,293487000.0,333948000.0,321406000.0,316132000.0,290853000.0
15,15,Net income,203989000.0,293487000.0,333948000.0,321406000.0,316132000.0,290853000.0
16,16,Net income available to common shareholders,203989000.0,293487000.0,333948000.0,321406000.0,316132000.0,290853000.0
17,17,Earnings per share,,,,,,
18,18,Basic,1.15,1.65,1.87,1.8,1.81,1.69
19,19,Diluted,1.12,1.61,1.84,1.78,1.79,1.67
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,177900000.0,178196000.0,178279000.0,178391000.0,174917000.0,172535750.0
22,22,Diluted,181749000.0,181783000.0,181186000.0,180415000.0,176215000.0,173849500.0
23,23,EBITDA,525754000.0,598399000.0,742645000.0,774712000.0,812386000.0,789517000.0
