,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,2745420000.0,2616416000.0,2445548000.0,3651335000.0,2677203000.0,2910842000.0
1,1,Cost of revenue,1835425000.0,1755011000.0,1674700000.0,2454463000.0,1706627000.0,1866905000.0
2,2,Gross profit,909995000.0,861405000.0,770848000.0,1196872000.0,970576000.0,1043937000.0
3,3,Operating expenses,503831000.0,278496000.0,499550000.0,754437000.0,396025000.0,550306000.0
4,3,Research and development,78919000.0,82246000.0,88310000.0,102871000.0,80475000.0,82514000.0
5,3,"Sales, General and administrative",313227000.0,162889000.0,355135000.0,512274000.0,380464000.0,454745000.0
6,3,"Restructuring, merger and acquisition",111685000.0,33361000.0,25947000.0,-6804000.0,0.0,
7,3,Other operating expenses,0.0,0.0,30158000.0,146096000.0,-64914000.0,13047000.0
8,3,Total operating expenses,503831000.0,278496000.0,499550000.0,754437000.0,396025000.0,550306000.0
9,9,Operating income,406164000.0,582909000.0,271298000.0,442435000.0,574551000.0,493631000.0
10,10,Interest Expense,32800000.0,31559000.0,41358000.0,132722000.0,65181000.0,117216000.0
11,11,Other income (expense),1229000.0,-6923000.0,-16761000.0,48474000.0,5894000.0,-1358000.0
12,12,Income before taxes,374593000.0,544427000.0,213179000.0,358187000.0,515264000.0,375057000.0
13,13,Provision for income taxes,82533000.0,136322000.0,18484000.0,29122000.0,96263000.0,88324000.0
14,14,Other income,38067000.0,31729000.0,35742000.0,30999000.0,0.0,10473000.0
15,15,Net income from continuing operations,330127000.0,439834000.0,230437000.0,360064000.0,419001000.0,297206000.0
16,16,Net income from discontinuing ops,,,-69531000.0,,202131000.0,559974000.0
17,17,Extraordinary items,,,,,59637000.0,
18,18,Other,-18591000.0,-26663000.0,-27590000.0,-25158000.0,82180000.0,18126000.0
19,19,Net income,311536000.0,413171000.0,133316000.0,334906000.0,643675000.0,875306000.0
20,20,Net income available to common shareholders,311536000.0,413171000.0,133316000.0,334906000.0,643675000.0,875306000.0
21,21,Earnings per share,,,,,,
22,22,Basic,3.49,4.93,1.69,3.01,5.73,7.82
23,23,Diluted,3.47,4.9,1.69,3.0,5.68,7.74
24,24,Weighted average shares outstanding,,,,,,
25,25,Basic,89189000.0,83839000.0,78696000.0,111182000.0,112379000.0,111408500.0
26,26,Diluted,89884000.0,84322000.0,79102000.0,111556000.0,113239000.0,112732750.0
27,27,EBITDA,506413000.0,683356000.0,358109000.0,750985000.0,806614000.0,686030000.0
