Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,,,,16.0,11.49,14.41,8.74,13.9,13.68
Accounts Receivable,,,,,,14.53,13.44,12.89,13.74,12.1,12.37
Inventory,,,,,,8.39,7.87,8.9,8.93,9.82,10.51
Other Current Assets,,,,,,6.95,13.83,12.1,0.76,1.09,1.22
Total Current Assets,,,,,,45.87,46.63,48.31,32.17,36.9,37.78
Net PP&E,,,,,,11.69,10.25,10.48,9.84,10.08,10.06
Intangibles,,,,,,39.74,32.88,31.34,47.54,47.8,46.95
Other Long-Term Assets,,,,,,2.7,10.24,9.88,10.45,5.22,5.21
Total Assets,,,,,,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,,,11.45,10.67,12.38,7.66,8.0,7.26
Short-Term Debt,,,,,,0.11,3.63,2.46,2.87,2.14,1.43
Taxes Payable,,,,,,,,,0.4,0.12,
Accrued Liabilities,,,,,,7.72,9.26,9.64,8.63,8.85,8.97
Other Short-Term Liabilities,,,,,,0.01,1.21,1.88,,,
Total Current Liabilities,,,,,,19.29,24.77,26.36,19.56,19.12,17.66
Long-Term Debt,,,,,,0.14,64.25,60.27,64.75,62.99,57.7
Other Long-Term Liabilities,,,,,,12.86,15.36,13.61,14.56,12.85,9.64
Total Liabilities,,,,,,32.29,104.38,100.24,98.88,94.96,85.0
Total Stockholders' Equity,,,,,,67.71,-4.38,-0.24,1.12,5.04,15.0
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
