Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,288.0,255.0,276.0,491.0,479.0,530.0,559.0,543.0,657.0,603.0,641.0
Gross Margin %,41.8,68.9,19.8,42.4,58.0,60.6,57.0,25.0,63.8,59.4,58.3
Operating Income EUR Mil,58.0,126.0,13.0,109.0,28.0,61.0,65.0,41.0,148.0,101.0,108.0
Operating Margin %,20.1,49.5,4.6,22.2,5.8,11.5,11.7,7.5,22.5,16.7,16.9
Net Income EUR Mil,35.0,5.0,-11.0,62.0,23.0,52.0,55.0,37.0,118.0,77.0,88.0
Earnings Per Share EUR,0.17,0.03,-0.06,0.3,0.11,0.25,0.27,0.18,0.57,0.38,0.43
Dividends EUR,0.03,0.03,,,0.02,0.02,0.03,0.04,0.08,0.25,0.25
Payout Ratio % *,14.7,125.0,,,11.1,8.0,9.2,24.7,16.7,56.8,57.6
Shares Mil,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0
Book Value Per Share * EUR,0.58,0.42,0.28,0.56,0.68,0.9,1.11,1.25,1.66,1.6,1.79
Operating Cash Flow EUR Mil,,,,,,,,,,,
Cap Spending EUR Mil,-94.0,-258.0,-128.0,-46.0,-19.0,-15.0,-15.0,-38.0,-37.0,-31.0,-70.0
Free Cash Flow EUR Mil,-37.0,-209.0,-45.0,105.0,35.0,91.0,98.0,75.0,169.0,70.0,65.0
Free Cash Flow Per Share * EUR,-0.18,-1.02,-0.22,0.51,0.29,0.44,0.54,0.35,0.58,0.53,
Working Capital EUR Mil,-11.0,-80.0,-57.0,-71.0,-148.0,-47.0,1.0,-94.0,168.0,190.0,
