,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,134729000000.0,144576000000.0,148810000000.0,145342000000.0,139821000000.0
1,0,Cash and cash equivalents,2950000000.0,2632000000.0,2638000000.0,2357000000.0,2318000000.0
2,0,Receivables,4315000000.0,4610000000.0,5027000000.0,5274000000.0,5310000000.0
3,0,Investments,31472000000.0,30310000000.0,30027000000.0,28673000000.0,30719000000.0
4,0,Loans,4363000000.0,4284000000.0,4246000000.0,4183000000.0,3817000000.0
5,0,Other assets,91629000000.0,102740000000.0,106872000000.0,104855000000.0,97657000000.0
6,0,Total assets,134729000000.0,144576000000.0,148810000000.0,145342000000.0,139821000000.0
7,7,Liabilities and stockholders' equity,134729000000.0,144576000000.0,148810000000.0,145342000000.0,139821000000.0
8,7,Liabilities,125637000000.0,136384000000.0,140686000000.0,138125000000.0,133529000000.0
9,8,Deposits,6526000000.0,7062000000.0,7664000000.0,8634000000.0,10036000000.0
10,8,Short-term borrowing,501000000.0,500000000.0,200000000.0,200000000.0,200000000.0
11,8,Payables and accrued expenses,1324000000.0,1429000000.0,1523000000.0,1606000000.0,1727000000.0
12,8,Long-term debt,7384000000.0,8456000000.0,9929000000.0,10246000000.0,5236000000.0
13,8,Minority Interest,620000000.0,1040000000.0,1181000000.0,1188000000.0,0.0
14,8,Other liabilities,109282000000.0,117897000000.0,120189000000.0,116251000000.0,116330000000.0
15,8,Total liabilities,125637000000.0,136384000000.0,140686000000.0,138125000000.0,133529000000.0
16,7,Stockholders' equity,9092000000.0,8192000000.0,8124000000.0,7217000000.0,6292000000.0
17,16,Common stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
18,16,Additional paid-in capital,6503000000.0,6929000000.0,7345000000.0,7611000000.0,7765000000.0
19,16,Retained earnings,6717000000.0,7626000000.0,8703000000.0,9688000000.0,10351000000.0
20,16,Treasury stock,-5325000000.0,-6961000000.0,-8589000000.0,-10338000000.0,-12027000000.0
21,16,Accumulated other comprehensive income,1194000000.0,595000000.0,662000000.0,253000000.0,200000000.0
22,16,Total stockholders' equity,9092000000.0,8192000000.0,8124000000.0,7217000000.0,6292000000.0
23,7,Total liabilities and stockholders' equity,134729000000.0,144576000000.0,148810000000.0,145342000000.0,139821000000.0
