,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,2744600000.0,3052300000.0,3369300000.0,4116000000.0,3204500000.0,5697100000.0
1,0,Net income,2655500000.0,2489700000.0,2569700000.0,2560000000.0,2469800000.0,2980500000.0
2,0,Investments (gains) losses,-334900000.0,-271900000.0,-177000000.0,-157500000.0,-4900000.0,-166900000.0
3,0,Depreciation & amortization,740700000.0,908800000.0,851000000.0,907900000.0,911800000.0,895300000.0
4,0,Investment/asset impairment charges,104600000.0,146600000.0,56900000.0,85200000.0,160200000.0,77500000.0
5,0,(Gain) Loss from discontinued operations,,221800000.0,,,,
6,0,Deferred tax (benefit) expense,127500000.0,59100000.0,30700000.0,-65900000.0,126900000.0,-192200000.0
7,0,Stock based compensation,146500000.0,146000000.0,168900000.0,148200000.0,164600000.0,171000000.0
8,0,Receivable,189900000.0,-418300000.0,-1899700000.0,-42900000.0,-1380500000.0,-592700000.0
9,0,Payables,,,,,178800000.0,124400000.0
10,0,Income taxes payable,,,,,178800000.0,124400000.0
11,0,Other assets and liabilities,-861100000.0,-348600000.0,1739000000.0,770100000.0,448000000.0,2276100000.0
12,0,Other operating activities,-24100000.0,119100000.0,29800000.0,-89100000.0,-49000000.0,-300000.0
13,0,Net cash provided by operating activities,2744600000.0,3052300000.0,3369300000.0,4116000000.0,3204500000.0,5697100000.0
14,14,Cash Flows From Investing Activities,-4551600000.0,-2234400000.0,-974900000.0,-1151500000.0,-513900000.0,-790800000.0
15,14,Sales/maturities of fixed maturity and equity securities,15915600000.0,13662800000.0,10255900000.0,11779800000.0,11952300000.0,13328900000.0
16,14,Acquisitions and dispositions,-4597000000.0,0.0,740000000.0,-638900000.0,0.0,-33900000.0
17,14,Purchases of investments,-15636700000.0,-14886100000.0,-10798500000.0,-11895700000.0,-12101600000.0,-13955600000.0
18,14,"Property, and equipments, net",-544500000.0,-607300000.0,-626600000.0,-602900000.0,-583600000.0,-680900000.0
19,14,Other investing activities,311000000.0,-403800000.0,-545700000.0,206200000.0,219000000.0,550700000.0
20,14,Net cash used for investing activities,-4551600000.0,-2234400000.0,-974900000.0,-1151500000.0,-513900000.0,-790800000.0
21,21,Cash Flows From Financing Activities,2088900000.0,-1717800000.0,-1822500000.0,-2997400000.0,-732900000.0,-1361200000.0
22,21,Change in short-term borrowing,-79000000.0,-41700000.0,-206200000.0,578400000.0,360600000.0,762600000.0
23,21,Long-term debt issued,6468900000.0,1250000000.0,2700000000.0,1226500000.0,0.0,
24,21,Long-term debt repayment,-1251300000.0,-1801900000.0,-1730100000.0,-2697200000.0,0.0,-929900000.0
25,21,Excess tax benefit from stock based compensation,28800000.0,30100000.0,46400000.0,95800000.0,53500000.0,4800000.0
26,21,Common stock issued,,,301300000.0,186000000.0,119400000.0,205800000.0
27,21,Repurchases of treasury stock,-2496800000.0,-1620100000.0,-2998800000.0,-1515800000.0,0.0,-1635400000.0
28,21,Cash dividends paid,-367100000.0,-448000000.0,-480700000.0,-656600000.0,-684000000.0,-696700000.0
29,21,Other financing activities,-214600000.0,913800000.0,545600000.0,-214500000.0,-582400000.0,927600000.0
30,21,Net cash provided by (used for) financing activities,2088900000.0,-1717800000.0,-1822500000.0,-2997400000.0,-732900000.0,-1361200000.0
31,31,Effect of exchange rate changes,1100000.0,2200000.0,-7100000.0,-5300000.0,4100000.0,6100000.0
32,32,Net change in cash,283000000.0,-897700000.0,564800000.0,-38200000.0,1961800000.0,3551200000.0
33,33,Cash at beginning of period,2201600000.0,2484600000.0,1586900000.0,2151700000.0,2113500000.0,2546000000.0
34,34,Cash at end of period,2484600000.0,1586900000.0,2151700000.0,2113500000.0,4075300000.0,6097200000.0
