,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,11514000000.0,11815000000.0,12045000000.0,11682000000.0,11627000000.0,11957000000.0
1,1,Gross profit,11514000000.0,11815000000.0,12045000000.0,11682000000.0,11627000000.0,11957000000.0
2,2,Operating expenses,9918000000.0,10144000000.0,10079000000.0,9834000000.0,9721000000.0,10736000000.0
3,2,"Sales, General and administrative",9918000000.0,10144000000.0,10079000000.0,9834000000.0,9721000000.0,10219000000.0
4,2,Other operating expenses,0.0,0.0,0.0,0.0,0.0,517000000.0
5,2,Total operating expenses,9918000000.0,10144000000.0,10079000000.0,9834000000.0,9721000000.0,10736000000.0
6,6,Operating income,1596000000.0,1671000000.0,1966000000.0,1848000000.0,1906000000.0,1221000000.0
7,7,Interest Expense,228000000.0,210000000.0,255000000.0,273000000.0,282000000.0,281000000.0
8,8,Other income (expense),13000000.0,77000000.0,54000000.0,114000000.0,45000000.0,12000000.0
9,9,Income before taxes,1381000000.0,1538000000.0,1765000000.0,1689000000.0,1669000000.0,952000000.0
10,10,Provision for income taxes,360000000.0,390000000.0,334000000.0,267000000.0,239000000.0,-27000000.0
11,11,Net income from continuing operations,1021000000.0,1148000000.0,1431000000.0,1422000000.0,1430000000.0,979000000.0
12,12,Net income from discontinuing ops,-1000000.0,,,,,
13,13,Other,-27000000.0,-35000000.0,-34000000.0,-37000000.0,-34000000.0,718000000.0
14,14,Net income,993000000.0,1113000000.0,1397000000.0,1385000000.0,1396000000.0,1697000000.0
15,15,Net income available to common shareholders,993000000.0,1113000000.0,1397000000.0,1385000000.0,1396000000.0,1697000000.0
16,16,Earnings per share,,,,,,
17,17,Basic,3.03,3.57,4.73,4.93,5.21,6.47
18,18,Diluted,2.99,3.53,4.66,4.88,5.16,6.42
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,328500000.0,311400000.0,295500000.0,280800000.0,268100000.0,261950000.0
21,21,Diluted,332600000.0,315400000.0,299600000.0,283800000.0,270300000.0,264225000.0
22,22,EBITDA,2264000000.0,2383000000.0,2614000000.0,2505000000.0,2460000000.0,2259000000.0
