Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,27.14,27.18,27.1,29.73,25.31,24.07,26.93,27.47,25.43,20.55,18.19
Accounts Receivable,11.36,12.53,10.51,12.03,12.2,14.79,13.77,13.81,13.42,15.35,16.88
Inventory,,,,,,,,,,,
Other Current Assets,4.98,4.09,5.65,4.95,5.18,5.07,5.63,5.47,5.81,3.49,4.32
Total Current Assets,43.48,43.8,43.26,46.71,42.69,43.94,46.33,46.75,44.66,39.4,39.39
Net PP&E,6.53,6.92,6.46,5.36,5.57,5.98,5.59,5.57,5.81,6.22,6.36
Intangibles,41.26,39.24,40.82,38.51,41.69,40.54,40.1,40.62,43.23,46.76,45.25
Other Long-Term Assets,8.73,10.03,9.46,9.43,10.04,9.54,7.98,7.06,6.3,7.62,9.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.43,3.44,1.99,3.49,2.74,3.61,2.69,2.75,2.1,2.56,3.33
Short-Term Debt,0.05,0.04,,4.15,5.39,4.31,4.06,4.05,4.13,3.75,
Taxes Payable,,,,,,,,,,0.72,0.71
Accrued Liabilities,9.22,9.67,7.61,9.4,10.09,11.26,11.19,9.35,4.27,4.58,4.61
Other Short-Term Liabilities,8.74,4.98,4.52,4.2,3.59,3.76,3.87,7.01,15.1,14.0,13.59
Total Current Liabilities,22.44,18.13,14.11,21.25,21.81,22.94,21.81,23.16,25.61,25.62,22.24
Long-Term Debt,10.36,9.83,0.02,,,,,,,,
Other Long-Term Liabilities,7.36,10.78,11.63,11.76,12.99,11.76,11.71,11.35,10.41,9.6,10.1
Total Liabilities,40.15,38.74,25.77,33.01,34.79,34.7,33.52,34.51,36.02,35.22,32.34
Total Stockholders' Equity,59.85,61.26,74.23,66.99,65.21,65.3,66.48,65.49,63.98,64.78,67.66
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
