,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,2265200000.0,2391500000.0,2515300000.0,2646500000.0,2891000000.0
1,0,Current assets,1107200000.0,1205600000.0,1319000000.0,1455300000.0,1562000000.0
2,1,Cash,462900000.0,486000000.0,541900000.0,645200000.0,754600000.0
3,2,Cash and cash equivalents,266900000.0,380700000.0,319400000.0,323600000.0,330400000.0
4,2,Short-term investments,196000000.0,105300000.0,222500000.0,321600000.0,424200000.0
5,2,Total cash,462900000.0,486000000.0,541900000.0,645200000.0,754600000.0
6,1,Receivables,425400000.0,458700000.0,475400000.0,501400000.0,518700000.0
7,1,Inventories,163400000.0,193400000.0,208300000.0,222900000.0,251100000.0
8,1,Deferred income taxes,33200000.0,40100000.0,40500000.0,39900000.0,
9,1,Other current assets,22300000.0,27400000.0,52900000.0,45900000.0,37600000.0
10,1,Total current assets,1107200000.0,1205600000.0,1319000000.0,1455300000.0,1562000000.0
11,0,Non-current assets,1158000000.0,1185900000.0,1196300000.0,1191200000.0,1329000000.0
12,11,"Property, plant and equipment",345700000.0,391300000.0,427700000.0,442700000.0,461900000.0
13,12,"Gross property, plant and equipment",680600000.0,758800000.0,815900000.0,866800000.0,932500000.0
14,12,Accumulated Depreciation,-334900000.0,-367500000.0,-388200000.0,-424100000.0,-470600000.0
15,12,"Net property, plant and equipment",345700000.0,391300000.0,427700000.0,442700000.0,461900000.0
16,11,Goodwill,435400000.0,433500000.0,428800000.0,420900000.0,491500000.0
17,11,Intangible assets,338700000.0,324800000.0,308500000.0,291000000.0,308300000.0
18,11,Deferred income taxes,2000000.0,,,,
19,11,Other long-term assets,36200000.0,36300000.0,31300000.0,36600000.0,67300000.0
20,11,Total non-current assets,1158000000.0,1185900000.0,1196300000.0,1191200000.0,1329000000.0
21,0,Total assets,2265200000.0,2391500000.0,2515300000.0,2646500000.0,2891000000.0
22,22,Liabilities and stockholders' equity,2265200000.0,2391500000.0,2515300000.0,2646500000.0,2891000000.0
23,22,Liabilities,1071100000.0,1062800000.0,1134000000.0,1204200000.0,1375700000.0
24,23,Current liabilities,499000000.0,590900000.0,605200000.0,653200000.0,765600000.0
25,24,Short-term debt,18600000.0,14200000.0,13700000.0,12900000.0,7200000.0
26,24,Accounts payable,328900000.0,387100000.0,393800000.0,424900000.0,528600000.0
27,24,Accrued liabilities,105200000.0,142900000.0,155400000.0,171700000.0,185300000.0
28,24,Other current liabilities,46300000.0,46700000.0,42300000.0,43700000.0,44500000.0
29,24,Total current liabilities,499000000.0,590900000.0,605200000.0,653200000.0,765600000.0
30,23,Non-current liabilities,572100000.0,471900000.0,528800000.0,551000000.0,610100000.0
31,30,Long-term debt,225100000.0,177700000.0,210100000.0,236100000.0,316400000.0
32,30,Deferred taxes liabilities,0.0,21000000.0,21400000.0,21300000.0,
33,30,Pensions and other benefits,200700000.0,120700000.0,142700000.0,140400000.0,109000000.0
34,30,Other long-term liabilities,146300000.0,152500000.0,154600000.0,153200000.0,184700000.0
35,30,Total non-current liabilities,572100000.0,471900000.0,528800000.0,551000000.0,610100000.0
36,23,Total liabilities,1071100000.0,1062800000.0,1134000000.0,1204200000.0,1375700000.0
37,22,Stockholders' equity,1194100000.0,1328700000.0,1381300000.0,1442300000.0,1515300000.0
38,37,Common stock,74300000.0,148500000.0,148200000.0,148100000.0,296000000.0
39,37,Additional paid-in capital,654800000.0,589700000.0,600100000.0,617400000.0,477600000.0
40,37,Retained earnings,855100000.0,982200000.0,1135500000.0,1350700000.0,1593000000.0
41,37,Treasury stock,-69600000.0,-132600000.0,-230500000.0,-360500000.0,-488100000.0
42,37,Accumulated other comprehensive income,-320500000.0,-259100000.0,-272000000.0,-313400000.0,-363200000.0
43,37,Total stockholders' equity,1194100000.0,1328700000.0,1381300000.0,1442300000.0,1515300000.0
44,22,Total liabilities and stockholders' equity,2265200000.0,2391500000.0,2515300000.0,2646500000.0,2891000000.0
