,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,1939300000.0,2153800000.0,2356000000.0,2536500000.0,2685900000.0,2926200000.0
1,1,Cost of revenue,1287300000.0,1380000000.0,1496700000.0,1526700000.0,1566600000.0,1721700000.0
2,2,Gross profit,652000000.0,773800000.0,859300000.0,1009800000.0,1119300000.0,1204500000.0
3,3,Operating expenses,446600000.0,524500000.0,572100000.0,610700000.0,658900000.0,710000000.0
4,3,"Sales, General and administrative",450500000.0,524500000.0,572100000.0,610700000.0,658900000.0,710000000.0
5,3,"Restructuring, merger and acquisition",-3900000.0,,,,,
6,3,Total operating expenses,446600000.0,524500000.0,572100000.0,610700000.0,658900000.0,710000000.0
7,7,Operating income,205400000.0,249300000.0,287200000.0,399100000.0,460400000.0,494500000.0
8,8,Interest Expense,9200000.0,5700000.0,5700000.0,7400000.0,7300000.0,8800000.0
9,9,Other income (expense),37600000.0,-7200000.0,5200000.0,10800000.0,9400000.0,10700000.0
10,10,Income before taxes,233800000.0,236400000.0,286700000.0,402500000.0,462500000.0,496400000.0
11,11,Provision for income taxes,71200000.0,66700000.0,78900000.0,119600000.0,136000000.0,139900000.0
12,12,Net income from continuing operations,162600000.0,169700000.0,207800000.0,282900000.0,326500000.0,356500000.0
13,13,Net income from discontinuing ops,-3900000.0,0.0,0.0,,,
14,14,Net income,158700000.0,169700000.0,207800000.0,282900000.0,326500000.0,356500000.0
15,15,Net income available to common shareholders,158700000.0,169700000.0,207800000.0,282900000.0,326500000.0,356500000.0
16,16,Earnings per share,,,,,,
17,17,Basic,0.86,0.92,1.15,1.595,1.87,2.06
18,18,Diluted,0.8525,0.915,1.14,1.58,1.85,2.04
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,184790432.0,184236306.0,180587008.0,177622280.0,174712683.0,173150170.0
21,21,Diluted,186216244.0,185575340.0,181973962.0,179009180.0,176825280.0,175151102.0
22,22,EBITDA,297600000.0,301800000.0,352200000.0,472900000.0,534900000.0,573500000.0
