,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,52589000000.0,55781000000.0,61689000000.0,46414000000.0,45564000000.0
1,0,Current assets,6795000000.0,7108000000.0,11221000000.0,3982000000.0,5266000000.0
2,1,Cash,2471000000.0,3698000000.0,7369000000.0,939000000.0,3184000000.0
3,2,Cash and cash equivalents,2471000000.0,3698000000.0,7369000000.0,939000000.0,3184000000.0
4,2,Total cash,2471000000.0,3698000000.0,7369000000.0,939000000.0,3184000000.0
5,1,Receivables,2747000000.0,2722000000.0,2527000000.0,2469000000.0,1728000000.0
6,1,Inventories,176000000.0,210000000.0,243000000.0,216000000.0,313000000.0
7,1,Other current assets,1401000000.0,478000000.0,1082000000.0,358000000.0,41000000.0
8,1,Total current assets,6795000000.0,7108000000.0,11221000000.0,3982000000.0,5266000000.0
9,0,Non-current assets,45794000000.0,48673000000.0,50468000000.0,42432000000.0,40298000000.0
10,9,"Property, plant and equipment",38398000000.0,40929000000.0,41589000000.0,33751000000.0,32168000000.0
11,10,"Gross property, plant and equipment",63598000000.0,71244000000.0,75107000000.0,70683000000.0,69013000000.0
12,10,Accumulated Depreciation,-25200000000.0,-30315000000.0,-33518000000.0,-36932000000.0,-36845000000.0
13,10,"Net property, plant and equipment",38398000000.0,40929000000.0,41589000000.0,33751000000.0,32168000000.0
14,9,Goodwill,5492000000.0,5492000000.0,5576000000.0,5395000000.0,5000000000.0
15,9,Intangible assets,188000000.0,170000000.0,993000000.0,936000000.0,904000000.0
16,9,Other long-term assets,1716000000.0,2082000000.0,2310000000.0,2350000000.0,2226000000.0
17,9,Total non-current assets,45794000000.0,48673000000.0,50468000000.0,42432000000.0,40298000000.0
18,0,Total assets,52589000000.0,55781000000.0,61689000000.0,46414000000.0,45564000000.0
19,19,Liabilities and stockholders' equity,52589000000.0,55781000000.0,61689000000.0,46414000000.0,45564000000.0
20,19,Liabilities,31960000000.0,33924000000.0,41964000000.0,33595000000.0,33352000000.0
21,20,Current liabilities,3994000000.0,5703000000.0,10234000000.0,4181000000.0,3328000000.0
22,21,Accounts payable,2989000000.0,3530000000.0,3683000000.0,2850000000.0,2288000000.0
23,21,Short-term debt,0.0,500000000.0,0.0,33000000.0,42000000.0
24,21,Accrued liabilities,1005000000.0,1264000000.0,994000000.0,671000000.0,630000000.0
25,21,Other current liabilities,0.0,409000000.0,5557000000.0,627000000.0,368000000.0
26,21,Total current liabilities,3994000000.0,5703000000.0,10234000000.0,4181000000.0,3328000000.0
27,20,Non-current liabilities,27966000000.0,28221000000.0,31730000000.0,29414000000.0,30024000000.0
28,27,Long-term debt,13269000000.0,13065000000.0,15092000000.0,15718000000.0,15281000000.0
29,27,Deferred taxes liabilities,8759000000.0,9245000000.0,9249000000.0,5400000000.0,4324000000.0
30,27,Minority interest,1253000000.0,1793000000.0,2593000000.0,2638000000.0,3285000000.0
31,27,Other long-term liabilities,4685000000.0,4118000000.0,4796000000.0,5658000000.0,7134000000.0
32,27,Total non-current liabilities,27966000000.0,28221000000.0,31730000000.0,29414000000.0,30024000000.0
33,20,Total liabilities,31960000000.0,33924000000.0,41964000000.0,33595000000.0,33352000000.0
34,19,Stockholders' equity,20629000000.0,21857000000.0,19725000000.0,12819000000.0,12212000000.0
35,34,Common stock,51000000.0,52000000.0,52000000.0,52000000.0,57000000.0
36,34,Additional paid-in capital,8230000000.0,8629000000.0,9005000000.0,9265000000.0,11875000000.0
37,34,Retained earnings,13829000000.0,14356000000.0,12125000000.0,4880000000.0,1704000000.0
38,34,Treasury stock,-841000000.0,-895000000.0,-940000000.0,-995000000.0,-1033000000.0
39,34,Accumulated other comprehensive income,-640000000.0,-285000000.0,-517000000.0,-383000000.0,-391000000.0
40,34,Total Stockholders' equity,20629000000.0,21857000000.0,19725000000.0,12819000000.0,12212000000.0
41,19,Total liabilities and stockholders' equity,52589000000.0,55781000000.0,61689000000.0,46414000000.0,45564000000.0
