,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,9.71875,9.8125,9.71875,9.78125,8.369114,358800
1,1995-01-04,9.78125,9.96875,9.75,9.90625,8.476075,582400
2,1995-01-05,9.875,9.875,9.625,9.71875,8.315646000000001,828400
3,1995-01-06,9.6875,9.6875,9.34375,9.34375,7.994783,1026800
4,1995-01-09,9.40625,9.46875,9.25,9.25,7.914567,948000
5,1995-01-10,9.25,9.25,8.90625,8.96875,7.673922,2073200
6,1995-01-11,9.03125,9.125,8.96875,9.0625,7.754138,2626400
7,1995-01-12,9.09375,9.375,9.0625,9.375,8.021521,4654400
8,1995-01-13,9.375,9.5,9.375,9.5,8.128473,2424800
9,1995-01-16,9.40625,9.53125,9.25,9.34375,7.994783,2144400
10,1995-01-17,9.3125,9.4375,9.21875,9.21875,7.887824,1153200
11,1995-01-18,9.3125,9.65625,9.28125,9.59375,8.208689,1968400
12,1995-01-19,9.59375,9.59375,9.375,9.375,8.021521,343600
13,1995-01-20,9.40625,9.5625,9.40625,9.53125,8.15521,556800
14,1995-01-23,9.46875,9.65625,9.4375,9.65625,8.262172,1074800
15,1995-01-24,9.59375,9.6875,9.25,9.4375,8.074997,1534800
16,1995-01-25,9.4375,9.4375,9.25,9.34375,7.994783,1228800
17,1995-01-26,9.40625,9.5625,9.375,9.5625,8.181954,809200
18,1995-01-27,9.5625,9.5625,9.46875,9.5,8.128473,606400
19,1995-01-30,9.5,9.59375,9.5,9.5625,8.181954,1010800
20,1995-01-31,9.53125,9.625,9.40625,9.5625,8.181954,1676000
21,1995-02-01,9.5625,9.65625,9.375,9.59375,8.208689,987600
22,1995-02-02,9.59375,9.59375,9.375,9.59375,8.208689,884800
23,1995-02-03,9.59375,10.03125,9.59375,10.0,8.556293,1443600
24,1995-02-06,10.0,10.6875,10.0,10.6875,9.144533000000001,2817600
25,1995-02-07,10.625,10.625,10.125,10.125,8.663243,1596400
26,1995-02-08,10.15625,10.28125,10.0,10.03125,8.583024,808000
27,1995-02-09,10.0625,10.125,10.0,10.0625,8.609765,514400
28,1995-02-10,10.125,10.21875,10.09375,10.15625,8.689981,774400
29,1995-02-13,10.15625,10.15625,10.03125,10.0625,8.609765,153200
30,1995-02-14,10.0625,10.0625,9.90625,9.96875,8.529552,893600
31,1995-02-15,10.0,10.21875,10.0,10.21875,8.743459,859200
32,1995-02-16,10.15625,10.1875,10.0625,10.0625,8.609765,568000
33,1995-02-17,10.0,10.40625,10.0,10.3125,8.823672,1328800
34,1995-02-21,10.3125,10.46875,10.28125,10.375,8.877151,1026800
35,1995-02-22,10.34375,10.65625,10.34375,10.65625,9.117794,1429600
36,1995-02-23,10.65625,10.78125,10.59375,10.59375,9.064323,1804000
37,1995-02-24,10.625,10.8125,10.59375,10.8125,9.251494000000001,1358800
38,1995-02-27,10.8125,10.875,10.625,10.71875,9.171272,1238400
39,1995-02-28,10.71875,10.96875,10.6875,10.96875,9.385178,632800
40,1995-03-01,11.0,11.0,10.71875,10.75,9.198008999999999,633200
41,1995-03-02,10.6875,10.75,10.625,10.71875,9.187292,1291200
42,1995-03-03,10.75,10.8125,10.59375,10.75,9.214084,1118400
43,1995-03-06,10.6875,10.75,10.65625,10.75,9.214084,1224800
44,1995-03-07,10.75,10.75,10.71875,10.75,9.214084,6222800
45,1995-03-08,10.78125,11.3125,10.78125,11.25,9.642641000000001,1766800
46,1995-03-09,11.25,11.4375,11.125,11.34375,9.723,1697600
47,1995-03-10,11.3125,11.3125,10.96875,11.0,9.428364,1267200
48,1995-03-13,11.03125,11.0625,10.90625,10.9375,9.374791,778800
49,1995-03-14,10.96875,10.96875,10.65625,10.6875,9.160513,1330400
50,1995-03-15,10.6875,10.6875,10.5,10.53125,9.026581,1153600
51,1995-03-16,10.59375,10.90625,10.5625,10.875,9.321223,2422000
52,1995-03-17,10.75,10.75,10.59375,10.59375,9.080155,1376400
53,1995-03-20,10.625,10.625,10.46875,10.46875,8.973016000000001,864800
54,1995-03-21,10.5,10.5625,10.375,10.40625,8.919443,1052000
55,1995-03-22,10.46875,10.65625,10.40625,10.59375,9.080155,2460800
56,1995-03-23,10.53125,10.625,10.4375,10.5,8.9998,870400
57,1995-03-24,10.5,10.8125,10.5,10.8125,9.267652,582400
58,1995-03-27,10.78125,10.9375,10.75,10.875,9.321223,818000
59,1995-03-28,10.875,10.9375,10.5625,10.75,9.214084,536400
60,1995-03-29,10.6875,10.96875,10.6875,10.96875,9.401574,1302000
61,1995-03-30,11.0,11.0625,10.84375,10.90625,9.348005,3232000
62,1995-03-31,10.875,11.09375,10.8125,10.9375,9.374791,1807600
63,1995-04-03,10.96875,10.96875,10.84375,10.84375,9.294437,591600
64,1995-04-04,10.875,10.90625,10.71875,10.71875,9.187292,1071600
65,1995-04-05,10.78125,10.78125,10.53125,10.71875,9.187292,1380400
66,1995-04-06,10.65625,10.71875,10.625,10.65625,9.133724,486800
67,1995-04-07,10.59375,10.59375,10.40625,10.4375,8.946233,823200
68,1995-04-10,10.40625,10.46875,10.34375,10.40625,8.919443,424800
69,1995-04-11,10.40625,10.5625,10.40625,10.5625,9.053371,968000
70,1995-04-12,10.53125,10.59375,10.53125,10.59375,9.080155,573600
71,1995-04-13,10.5625,10.59375,10.46875,10.5,8.9998,540000
72,1995-04-17,10.53125,10.6875,10.3125,10.4375,8.946233,1608000
73,1995-04-18,10.40625,10.4375,9.84375,10.03125,8.598019,1966000
74,1995-04-19,10.09375,10.1875,10.0,10.15625,8.705162,1136400
75,1995-04-20,10.1875,10.5,10.15625,10.46875,8.973016000000001,2227200
76,1995-04-21,10.4375,10.53125,10.40625,10.46875,8.973016000000001,1071600
77,1995-04-24,10.5625,10.71875,10.5625,10.71875,9.187292,1190400
78,1995-04-25,10.71875,10.71875,10.0,10.25,8.785523,7162400
79,1995-04-26,10.28125,10.3125,10.03125,10.0625,8.624808,1829200
80,1995-04-27,10.0625,10.25,10.0625,10.21875,8.758733,664800
81,1995-04-28,10.21875,10.28125,10.15625,10.28125,8.812302,352800
82,1995-05-01,10.375,10.4375,10.21875,10.375,8.892657,1860000
83,1995-05-02,10.375,10.40625,10.15625,10.1875,8.731947,1034000
84,1995-05-03,10.28125,10.40625,10.0625,10.1875,8.731947,1434000
85,1995-05-04,10.28125,10.6875,10.25,10.59375,9.080155,1604400
86,1995-05-05,10.5,10.5,10.375,10.375,8.892657,968800
87,1995-05-08,10.3125,10.375,10.15625,10.1875,8.731947,797200
88,1995-05-09,10.15625,10.28125,10.15625,10.25,8.785523,1571200
89,1995-05-10,10.3125,10.34375,10.1875,10.25,8.785523,1024000
90,1995-05-11,10.3125,10.3125,10.09375,10.125,8.678377000000001,449600
91,1995-05-12,10.03125,10.15625,10.0,10.125,8.678377000000001,675200
92,1995-05-15,10.125,10.34375,10.125,10.25,8.785523,605600
93,1995-05-16,10.21875,10.375,10.1875,10.28125,8.812302,824800
94,1995-05-17,10.21875,10.25,10.125,10.21875,8.758733,852800
95,1995-05-18,10.21875,10.3125,10.171875,10.1875,8.731947,1166800
96,1995-05-19,10.15625,10.375,10.15625,10.28125,8.812302,1772000
97,1995-05-22,10.25,10.4375,10.25,10.375,8.892657,1298400
98,1995-05-23,10.46875,10.59375,10.40625,10.5,8.9998,1876800
99,1995-05-24,10.5625,10.59375,10.46875,10.53125,9.026581,2918400
100,1995-05-25,10.53125,10.6875,10.5,10.59375,9.080155,974000
101,1995-05-26,10.53125,10.59375,10.5,10.53125,9.026581,1114400
102,1995-05-30,10.59375,10.65625,10.53125,10.59375,9.080155,684400
103,1995-05-31,10.5625,10.84375,10.5625,10.84375,9.294437,893600
104,1995-06-01,10.78125,10.9375,10.78125,10.875,9.321223,862800
105,1995-06-02,10.90625,10.90625,10.71875,10.8125,9.267652,652000
106,1995-06-05,10.875,11.125,10.75,11.125,9.535503,1272000
107,1995-06-06,11.0,11.21875,10.96875,11.15625,9.562285000000001,1402800
108,1995-06-07,11.09375,11.25,11.09375,11.125,9.535503,741600
109,1995-06-08,11.125,11.28125,11.09375,11.25,9.642641000000001,1723600
110,1995-06-09,11.25,11.25,11.15625,11.1875,9.589072999999999,1626000
111,1995-06-12,11.1875,11.21875,11.1875,11.1875,9.60517,1082000
112,1995-06-13,11.21875,11.34375,11.21875,11.3125,9.712489,945600
113,1995-06-14,11.34375,11.34375,11.21875,11.25,9.658828,851600
114,1995-06-15,11.21875,11.5625,11.21875,11.53125,9.900302,1131600
115,1995-06-16,11.53125,11.65625,11.53125,11.53125,9.900302,649600
116,1995-06-19,11.5625,11.625,11.375,11.625,9.980795,953200
117,1995-06-20,11.53125,11.59375,11.28125,11.3125,9.712489,1301600
118,1995-06-21,11.3125,11.3125,10.75,10.78125,9.256381,1318400
119,1995-06-22,10.84375,10.9375,10.84375,10.9375,9.390533999999999,663600
120,1995-06-23,11.0,11.0,10.875,11.0,9.444188,450400
121,1995-06-26,10.96875,10.96875,10.84375,10.90625,9.363702,745600
122,1995-06-27,10.875,11.0,10.875,10.984375,9.430769999999999,578400
123,1995-06-28,11.0625,11.09375,10.96875,11.03125,9.471025,726800
124,1995-06-29,11.0625,11.0625,10.84375,10.875,9.33687,821600
125,1995-06-30,10.875,10.96875,10.78125,10.8125,9.283208,816000
126,1995-07-03,10.78125,10.90625,10.78125,10.875,9.33687,194400
127,1995-07-05,10.84375,10.875,10.75,10.8125,9.283208,709200
128,1995-07-06,10.875,10.90625,10.75,10.84375,9.310045,1460400
129,1995-07-07,10.90625,10.96875,10.875,10.9375,9.390533999999999,885600
130,1995-07-10,10.90625,10.90625,10.375,10.46875,8.988078999999999,2781600
131,1995-07-11,10.5,10.5,10.3125,10.34375,8.880759,2695200
132,1995-07-12,10.375,10.5,10.3125,10.375,8.907588,4516000
133,1995-07-13,10.40625,10.8125,10.3125,10.5625,9.068572999999999,3900400
134,1995-07-14,10.59375,10.71875,10.4375,10.46875,8.988078999999999,708000
135,1995-07-17,10.5625,10.5625,10.375,10.46875,8.988078999999999,434400
136,1995-07-18,10.40625,10.5625,10.40625,10.5,9.014908,509600
137,1995-07-19,10.46875,10.53125,10.3125,10.375,8.907588,922400
138,1995-07-20,10.3125,10.46875,10.3125,10.4375,8.961248,800800
