,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,7150116000.0,7529764000.0,8136036000.0,8911120000.0,10354888000.0
1,0,Real estate properties,7299613000.0,7729020000.0,8346261000.0,8958943000.0,10624770000.0
2,0,Accumulated depreciation,-875035000.0,-952106000.0,-1120245000.0,-1315339000.0,-1546798000.0
3,0,"Real estate properties, net",6424578000.0,6776914000.0,7226016000.0,7643604000.0,9077972000.0
4,0,Cash and cash equivalents,140971000.0,57696000.0,86011000.0,125098000.0,125032000.0
5,0,Receivables,8449000.0,9918000.0,10548000.0,27115000.0,9744000.0
6,0,Other assets,576118000.0,685236000.0,813461000.0,1115303000.0,1142140000.0
7,0,Total assets,7150116000.0,7529764000.0,8136036000.0,8911120000.0,10354888000.0
8,8,Liabilities and stockholders' equity,7150116000.0,7529764000.0,8136036000.0,8911120000.0,10354888000.0
9,8,Liabilities,3708265000.0,3612975000.0,4307597000.0,4936033000.0,5459092000.0
10,9,Short-term borrowing,1115805000.0,204000000.0,2051370000.0,2197578000.0,2406262000.0
11,9,Long-term debt,2066144000.0,2857061000.0,1627209000.0,1768217000.0,1757763000.0
12,9,Payables and accrued expenses,465109000.0,230555000.0,277752000.0,327861000.0,502597000.0
13,9,Other liabilities,61207000.0,321359000.0,351266000.0,642377000.0,792470000.0
14,9,Total liabilities,3708265000.0,3612975000.0,4307597000.0,4936033000.0,5459092000.0
15,8,Stockholders' equity,3441851000.0,3916789000.0,3828439000.0,3975087000.0,4895796000.0
16,15,Preferred stock,380000000.0,380000000.0,130000000.0,367163000.0,216914000.0
17,15,Common stock,632000.0,712000.0,715000.0,725000.0,877000.0
18,15,Additional paid-in capital,3086052000.0,3572281000.0,3461189000.0,3558008000.0,4672650000.0
19,15,Accumulated other comprehensive income,-24833000.0,-36204000.0,236535000.0,49191000.0,5355000.0
20,15,Total stockholders' equity,3441851000.0,3916789000.0,3828439000.0,3975087000.0,4895796000.0
21,8,Total liabilities and stockholders' equity,7150116000.0,7529764000.0,8136036000.0,8911120000.0,10354888000.0
