,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,,,12542000000.0,12413000000.0,12394000000.0,12656000000.0
1,1,Cost of revenue,,,10349000000.0,10104000000.0,9811000000.0,10076000000.0
2,2,Gross profit,0.0,0.0,2193000000.0,2309000000.0,2583000000.0,2580000000.0
3,3,Operating expenses,,,893000000.0,934000000.0,1074000000.0,971000000.0
4,3,Research and development,,,123000000.0,169000000.0,132000000.0,122000000.0
5,3,"Sales, General and administrative",,,770000000.0,765000000.0,942000000.0,849000000.0
6,3,Total operating expenses,,,893000000.0,934000000.0,1074000000.0,971000000.0
7,7,Operating income,0.0,0.0,1300000000.0,1375000000.0,1509000000.0,1609000000.0
8,8,Interest Expense,,,442000000.0,473000000.0,499000000.0,526000000.0
9,9,Other income (expense),,,-745000000.0,-719000000.0,-596000000.0,-203000000.0
10,10,Income before taxes,,,113000000.0,183000000.0,414000000.0,880000000.0
11,11,Provision for income taxes,,,174000000.0,339000000.0,1476000000.0,1518000000.0
12,12,Net income from continuing operations,,,-61000000.0,-156000000.0,-1062000000.0,-638000000.0
13,13,Net income from discontinuing ops,,,238000000.0,-41000000.0,184000000.0,38000000.0
14,14,Other,,,91000000.0,-125000000.0,-63000000.0,-5000000.0
15,15,Net income,,,268000000.0,-322000000.0,-941000000.0,-605000000.0
16,16,Preferred dividend,,,21000000.0,69000000.0,69000000.0,70000000.0
17,17,Net income available to common shareholders,0.0,0.0,247000000.0,-391000000.0,-1010000000.0,-675000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,,,0.64,-0.93,-2.31,-1.5269
20,20,Diluted,,,0.63,-0.93,-2.31,-1.526872
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,,,387000000.0,420000000.0,438000000.0,442080224.0
23,23,Diluted,,,393000000.0,420000000.0,438000000.0,442080224.0
24,24,EBITDA,,,1927000000.0,1936000000.0,2045000000.0,2010000000.0
