Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,2898.0,3026.0,4279.0,4447.0,4755.0,4856.0,4583.0,4408.0,4664.0,6608.0,6988.0
Gross Margin %,43.2,39.2,46.1,52.0,62.7,65.8,66.6,65.4,66.0,63.8,64.6
Operating Income USD Mil,480.0,-233.0,-26.0,469.0,1328.0,1451.0,1372.0,1183.0,1319.0,1412.0,1513.0
Operating Margin %,16.5,-7.7,-0.6,10.5,27.9,29.9,29.9,26.8,28.3,21.4,21.7
Net Income USD Mil,345.0,-107.0,113.0,418.0,1085.0,1149.0,1010.0,835.0,892.0,966.0,1111.0
Earnings Per Share USD,0.55,-0.11,0.09,0.33,0.92,1.01,0.95,1.13,1.19,1.28,1.46
Dividends USD,,,,0.15,0.17,0.18,0.19,0.2,0.23,0.26,0.3
Payout Ratio % *,,,,,,17.8,18.2,23.3,15.7,22.6,20.5
Shares Mil,629.0,946.0,1311.0,1236.0,1156.0,1118.0,1035.0,726.0,739.0,754.0,762.0
Book Value Per Share * USD,,,,,,132.72,225.67,142.83,189.09,245.23,252.97
Operating Cash Flow USD Mil,574.0,379.0,1183.0,1376.0,952.0,1345.0,1264.0,1292.0,1192.0,2155.0,1914.0
Cap Spending USD Mil,-29.0,-46.0,-69.0,-97.0,-72.0,-73.0,-74.0,-107.0,-111.0,-136.0,-123.0
Free Cash Flow USD Mil,544.0,333.0,1114.0,1279.0,880.0,1272.0,1190.0,1185.0,1081.0,2019.0,1791.0
Free Cash Flow Per Share * USD,,,,,,14.83,14.83,17.51,29.5,60.04,
Working Capital USD Mil,1423.0,3175.0,2822.0,2478.0,2824.0,3622.0,3836.0,4195.0,776.0,2174.0,
