,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,540819000.0,724501000.0,886641000.0,1056754000.0,1143484000.0,1200330000.0
1,0,Net income,423562000.0,352771000.0,697327000.0,741733000.0,1033708000.0,881357000.0
2,0,Depreciation & amortization,260094000.0,573715000.0,442682000.0,477923000.0,531434000.0,567070000.0
3,0,Amortization of debt discount/premium and issuance costs,15134000.0,-7787000.0,-14651000.0,-2069000.0,3877000.0,13710000.0
4,0,Investment/asset impairment charges,,,,-17303000.0,-3935000.0,8568000.0
5,0,Other working capital,205000.0,-23149000.0,3573000.0,24059000.0,-2805000.0,12128000.0
6,0,Other non-cash items,-158176000.0,-171049000.0,-242290000.0,-167589000.0,-418795000.0,-282503000.0
7,0,Net cash provided by operating activities,540819000.0,724501000.0,886641000.0,1056754000.0,1143484000.0,1200330000.0
8,8,Cash Flows From Investing Activities,-623386000.0,-1181174000.0,-816760000.0,-1199517000.0,-1037352000.0,-846992000.0
9,8,"Investments in property, plant, and equipment",-738531000.0,-1250936000.0,-1241832000.0,-1569326000.0,-1594342000.0,-1302370000.0
10,8,"Property, plant, and equipment reductions",,,,282163000.0,532717000.0,464528000.0
11,8,"Acquisitions, net",-155755000.0,-839469000.0,156945000.0,-6582000.0,-9750000.0,-21861000.0
12,8,Purchases of investments,0.0,0.0,-5662000.0,,,
13,8,Sales/Maturities of investments,16824000.0,,,,,
14,8,Other investing activities,254076000.0,909231000.0,273789000.0,94228000.0,34023000.0,12711000.0
15,8,Net cash used for investing activities,-623386000.0,-1181174000.0,-816760000.0,-1199517000.0,-1037352000.0,-846992000.0
16,16,Cash Flows From Financing Activities,2199332000.0,-1995404000.0,158224000.0,33810000.0,-291645000.0,-383195000.0
17,16,Debt issued,700000000.0,834928000.0,603000000.0,873088000.0,1122488000.0,1853366000.0
18,16,Debt repayment,-545944000.0,-2261347000.0,-182859000.0,-850963000.0,-165012000.0,-1310236000.0
19,16,Common stock issued,2430190000.0,4703000.0,346134000.0,690184000.0,15526000.0,111496000.0
20,16,Cash dividends paid,-365871000.0,-526367000.0,-593905000.0,-655658000.0,-727197000.0,-762413000.0
21,16,Other financing activities,-19043000.0,-47321000.0,-14146000.0,-22841000.0,-537450000.0,-275408000.0
22,16,Net cash provided by (used for) financing activities,2199332000.0,-1995404000.0,158224000.0,33810000.0,-291645000.0,-383195000.0
23,23,Net change in cash,2116765000.0,-2452077000.0,228105000.0,-108953000.0,-185513000.0,-29857000.0
24,24,Cash at beginning of period,616853000.0,2733618000.0,281355000.0,509460000.0,400507000.0,65899000.0
25,25,Cash at end of period,2733618000.0,281541000.0,509460000.0,400507000.0,214994000.0,36042000.0
26,26,Free Cash Flow,,,,,,
27,27,Operating cash flow,540819000.0,724501000.0,886641000.0,1056754000.0,1143484000.0,1200330000.0
28,28,Capital expenditure,-765059000.0,-1277551000.0,-1294657000.0,-1625191000.0,-1667194000.0,-1373806000.0
29,29,Free cash flow,-224240000.0,-553050000.0,-408016000.0,-568437000.0,-523710000.0,-173476000.0
30,30,Supplemental schedule of cash flow data,,,,,,
31,31,Cash paid for interest,119268000.0,179325000.0,191966000.0,188782000.0,194059000.0,180924000.0
