Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,1.14,1.75,2.76,2.5,3.58,4.61,7.63,5.21,3.84,4.44,4.41
Accounts Receivable,17.84,16.38,18.36,19.53,17.64,19.05,22.05,21.97,23.34,23.46,22.48
Inventory,10.1,9.67,9.54,10.2,9.55,9.27,10.72,11.28,11.58,11.81,11.76
Other Current Assets,3.88,4.18,3.98,6.05,13.85,14.3,4.98,5.61,4.19,3.62,4.67
Total Current Assets,32.96,31.98,34.64,38.28,44.62,47.24,45.37,44.06,42.95,43.33,43.33
Net PP&E,25.48,24.74,27.08,24.77,21.71,19.89,20.01,20.07,20.51,20.82,19.87
Intangibles,31.99,33.47,24.25,22.94,18.51,17.42,18.37,18.1,17.71,19.57,21.77
Other Long-Term Assets,9.57,9.81,14.03,14.02,15.16,15.45,16.25,17.77,18.83,16.29,15.04
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,10.88,11.15,13.79,14.67,14.81,15.75,19.29,18.3,19.71,19.15,18.01
Short-Term Debt,17.79,11.02,10.71,7.47,4.57,,,,,,
Taxes Payable,,,,,,,,,,0.86,
Accrued Liabilities,10.51,10.94,12.02,12.73,8.99,10.27,11.68,12.17,12.19,12.41,4.29
Other Short-Term Liabilities,0.5,0.99,0.82,1.04,4.75,14.61,2.74,6.17,3.4,13.17,16.09
Total Current Liabilities,39.67,34.1,37.33,35.92,33.12,40.63,33.71,36.65,35.3,45.59,38.39
Long-Term Debt,18.34,25.59,21.76,18.75,19.19,13.66,20.55,21.64,,,
Other Long-Term Liabilities,10.13,11.31,13.67,13.05,14.34,14.74,13.38,17.26,41.34,33.36,40.07
Total Liabilities,68.14,71.01,72.76,67.73,66.65,69.03,67.64,75.54,76.64,78.95,78.46
Total Stockholders' Equity,31.86,28.99,27.24,32.27,33.35,30.97,32.36,24.46,23.36,21.05,21.54
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
