Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,6308.0,6710.0,5952.0,5782.0,5844.0,5864.0,6140.0,6330.0,5966.0,6087.0,6429.0
Gross Margin %,27.3,25.7,26.7,26.2,25.2,26.1,26.7,26.1,27.6,27.9,27.6
Operating Income USD Mil,539.0,422.0,-514.0,334.0,335.0,379.0,464.0,492.0,538.0,602.0,655.0
Operating Margin %,8.6,6.3,-8.6,5.8,5.7,6.5,7.5,7.8,9.0,9.9,10.2
Net Income USD Mil,304.0,266.0,-747.0,316.0,190.0,215.0,213.0,245.0,274.0,320.0,403.0
Earnings Per Share USD,3.07,2.7,-7.21,2.97,1.78,2.08,2.13,2.56,2.95,3.54,4.48
Dividends USD,1.61,1.64,1.22,0.8,1.0,1.08,1.14,1.34,1.46,1.6,1.72
Payout Ratio % *,52.4,60.7,,26.9,36.0,66.3,47.5,54.9,46.0,45.2,38.4
Shares Mil,99.0,99.0,103.0,106.0,106.0,104.0,100.0,96.0,93.0,91.0,90.0
Book Value Per Share * USD,20.22,16.47,12.94,15.04,16.45,15.82,16.36,14.34,11.58,11.8,12.89
Operating Cash Flow USD Mil,499.0,540.0,569.0,486.0,422.0,513.0,320.0,374.0,473.0,585.0,612.0
Cap Spending USD Mil,-255.0,-191.0,-102.0,-108.0,-131.0,-154.0,-181.0,-175.0,-152.0,-206.0,-220.0
Free Cash Flow USD Mil,244.0,348.0,466.0,378.0,291.0,359.0,138.0,199.0,322.0,378.0,392.0
Free Cash Flow Per Share * USD,2.47,3.53,4.5,3.54,1.75,3.47,2.22,2.41,3.37,4.19,
Working Capital USD Mil,-419.0,-127.0,-135.0,120.0,572.0,337.0,538.0,324.0,316.0,-100.0,
