Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,,,,,14099.0,17672.0,19876.0,21033.0,23113.0,24692.0,24640.0
Gross Margin %,,,,,23.4,25.5,24.4,16.5,21.1,22.7,11.9
Operating Income THB Mil,,,,,589.0,2291.0,1130.0,386.0,3706.0,4530.0,1528.0
Operating Margin %,,,,,4.2,13.0,5.7,1.8,16.0,18.3,6.2
Net Income THB Mil,,,,,282.0,1771.0,932.0,351.0,1797.0,1768.0,-462.0
Earnings Per Share THB,,,,,0.23,1.46,0.62,0.21,0.86,0.84,-0.22
Dividends THB,,,,,,,,,0.45,0.7,0.5
Payout Ratio % *,,,,,,,,,47.4,68.6,
Shares Mil,,,,,1200.0,1210.0,1511.0,1673.0,2100.0,2100.0,2100.0
Book Value Per Share * THB,,,,,,,,6.56,13.0,14.83,13.47
Operating Cash Flow THB Mil,,,,,2466.0,3040.0,1899.0,-167.0,1792.0,3495.0,1939.0
Cap Spending THB Mil,,,,,-690.0,-444.0,-652.0,-845.0,-1167.0,-1936.0,-2334.0
Free Cash Flow THB Mil,,,,,1776.0,2596.0,1247.0,-1012.0,624.0,1558.0,-395.0
Free Cash Flow Per Share * THB,,,,,,,,-0.47,0.52,-0.06,
Working Capital THB Mil,,,,,-2394.0,347.0,-1880.0,9827.0,9321.0,6865.0,
