Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,3.49,9.78,6.86,15.27,9.72,5.63,10.65,8.82,6.29,3.94,4.26
Accounts Receivable,13.3,10.56,12.36,13.36,13.66,15.11,13.87,13.9,13.36,12.04,15.13
Inventory,20.12,18.76,19.24,17.43,20.48,22.81,21.5,22.73,25.2,27.46,27.3
Other Current Assets,5.84,6.19,6.68,7.17,6.44,6.67,7.04,8.3,8.53,7.39,6.77
Total Current Assets,42.76,45.29,45.14,53.23,50.3,50.22,53.06,53.76,53.38,50.83,53.46
Net PP&E,14.71,13.9,13.83,10.59,11.48,12.41,12.82,13.98,15.04,15.42,14.87
Intangibles,40.73,39.17,39.46,34.89,36.96,35.44,31.61,29.05,28.33,30.14,28.43
Other Long-Term Assets,1.79,1.64,1.57,1.29,1.27,1.93,2.51,3.22,3.25,3.61,3.25
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,11.16,9.38,10.11,3.39,3.45,3.67,3.27,2.93,2.89,2.96,
Short-Term Debt,17.3,14.1,5.65,6.87,0.2,0.14,0.19,10.49,6.48,9.95,9.74
Taxes Payable,,,,0.86,0.29,2.07,3.12,0.29,1.84,1.51,0.22
Accrued Liabilities,0.44,,0.12,7.7,7.65,6.98,5.9,7.66,5.69,6.55,
Other Short-Term Liabilities,,0.58,0.27,0.22,0.03,0.19,1.19,1.48,2.01,,11.17
Total Current Liabilities,28.9,24.06,16.14,19.05,11.62,13.04,13.67,22.85,18.91,20.97,21.13
Long-Term Debt,12.25,14.65,15.02,13.58,14.47,27.5,24.3,17.84,29.4,36.52,34.53
Other Long-Term Liabilities,8.19,9.04,12.83,11.88,14.41,14.56,12.5,13.88,14.34,12.89,11.25
Total Liabilities,49.34,47.74,43.98,44.5,40.49,55.1,50.48,54.57,62.66,70.38,66.91
Total Stockholders' Equity,50.66,52.26,56.02,55.5,59.51,44.9,49.52,45.43,37.34,29.62,33.09
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
