,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,2849000000.0,2991000000.0,3134000000.0,3089000000.0,2994000000.0,3140000000.0
1,1,Cost of revenue,894000000.0,913000000.0,951000000.0,945000000.0,973000000.0,1021000000.0
2,2,Gross profit,1955000000.0,2078000000.0,2183000000.0,2144000000.0,2021000000.0,2119000000.0
3,3,Operating expenses,1057000000.0,1107000000.0,1156000000.0,611000000.0,1032000000.0,1044000000.0
4,3,"Sales, General and administrative",1058000000.0,1122000000.0,1134000000.0,1105000000.0,1050000000.0,1058000000.0
5,3,Other operating expenses,-1000000.0,-15000000.0,22000000.0,-494000000.0,-18000000.0,-14000000.0
6,3,Total operating expenses,1057000000.0,1107000000.0,1156000000.0,611000000.0,1032000000.0,1044000000.0
7,7,Operating income,898000000.0,971000000.0,1027000000.0,1533000000.0,989000000.0,1075000000.0
8,8,Interest Expense,36000000.0,26000000.0,27000000.0,46000000.0,59000000.0,63000000.0
9,9,Other income (expense),3000000.0,2000000.0,2000000.0,2000000.0,3000000.0,4000000.0
10,10,Income before taxes,865000000.0,947000000.0,1002000000.0,1489000000.0,933000000.0,1016000000.0
11,11,Provision for income taxes,274000000.0,288000000.0,318000000.0,422000000.0,264000000.0,272000000.0
12,12,Net income from continuing operations,591000000.0,659000000.0,684000000.0,1067000000.0,669000000.0,744000000.0
13,13,Net income,591000000.0,659000000.0,684000000.0,1067000000.0,669000000.0,744000000.0
14,14,Net income available to common shareholders,591000000.0,659000000.0,684000000.0,1067000000.0,669000000.0,744000000.0
15,15,Earnings per share,,,,,,
16,16,Basic,1.385,1.54,1.615,2.63,1.72,1.93
17,17,Diluted,1.375,1.53,1.605,2.61,1.71,1.92
18,18,Weighted average shares outstanding,,,,,,
19,19,Basic,426738000.0,426908000.0,423186000.0,405954000.0,387708000.0,384249000.0
20,20,Diluted,429972000.0,430164000.0,426166000.0,408560000.0,390461000.0,386768500.0
21,21,EBITDA,952000000.0,1023000000.0,1080000000.0,1591000000.0,1050000000.0,1140000000.0
