,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,2240000000.0,3642000000.0,3081000000.0,3004000000.0,2154000000.0,3678000000.0
1,0,Net income,2440000000.0,2951000000.0,3264000000.0,3352000000.0,3170000000.0,3548000000.0
2,0,Depreciation & amortization,295000000.0,291000000.0,278000000.0,247000000.0,229000000.0,221000000.0
3,0,Amortization of debt discount/premium and issuance costs,55000000.0,52000000.0,56000000.0,48000000.0,34000000.0,0.0
4,0,Deferred tax (benefit) expense,-61000000.0,-193000000.0,-104000000.0,-156000000.0,-14000000.0,167000000.0
5,0,Investments (gains) losses,-12000000.0,145000000.0,100000000.0,-44000000.0,0.0,
6,0,(Gains) loss on disposition of businesses,,,41000000.0,,,
7,0,Stock based compensation,451000000.0,448000000.0,453000000.0,514000000.0,521000000.0,530000000.0
8,0,Receivable,-296000000.0,14000000.0,78000000.0,-154000000.0,-86000000.0,-526000000.0
9,0,Accrued liabilities,138000000.0,203000000.0,101000000.0,98000000.0,-86000000.0,131000000.0
10,0,Other operating activities,-770000000.0,-269000000.0,-1186000000.0,-901000000.0,-1614000000.0,-393000000.0
11,0,Net cash provided by operating activities,2240000000.0,3642000000.0,3081000000.0,3004000000.0,2154000000.0,3678000000.0
12,12,Cash Flows From Investing Activities,-266000000.0,-483000000.0,239000000.0,-465000000.0,-188000000.0,-435000000.0
13,12,Sales/maturity of investments,768000000.0,369000000.0,654000000.0,456000000.0,378000000.0,284000000.0
14,12,Purchases of investments,-617000000.0,-412000000.0,-369000000.0,-330000000.0,-377000000.0,-485000000.0
15,12,"Property, and equipments, net",-150000000.0,-94000000.0,-66000000.0,-221000000.0,-119000000.0,-131000000.0
16,12,Acquisitions and dispositions,-267000000.0,-298000000.0,0.0,-273000000.0,-30000000.0,-102000000.0
17,12,Other investing activities,0.0,-48000000.0,20000000.0,-97000000.0,-40000000.0,-1000000.0
18,12,Net cash used for investing activities,-266000000.0,-483000000.0,239000000.0,-465000000.0,-188000000.0,-435000000.0
19,19,Cash Flows From Financing Activities,-944000000.0,-3392000000.0,-1855000000.0,-2064000000.0,-1685000000.0,-2588000000.0
20,19,Debt issued,1495000000.0,0.0,997000000.0,787000000.0,0.0,697000000.0
21,19,Debt repayment,-500000000.0,-850000000.0,-1000000000.0,-750000000.0,0.0,-700000000.0
22,19,Common stock issued,7000000.0,7000000.0,,,,
23,19,Repurchases of treasury stock,-1645000000.0,-1243000000.0,-1344000000.0,-1331000000.0,-1399000000.0,-1414000000.0
24,19,Dividend paid,-1060000000.0,-1168000000.0,-1338000000.0,-1476000000.0,-1545000000.0,-1633000000.0
25,19,Other financing activities,759000000.0,-138000000.0,830000000.0,706000000.0,1259000000.0,462000000.0
26,19,Net cash provided by (used for) financing activities,-944000000.0,-3392000000.0,-1855000000.0,-2064000000.0,-1685000000.0,-2588000000.0
27,27,Effect of exchange rate changes,70000000.0,17000000.0,-132000000.0,-115000000.0,-273000000.0,56000000.0
28,28,Net change in cash,1100000000.0,-216000000.0,1333000000.0,360000000.0,8000000.0,711000000.0
29,29,Cash at beginning of period,3506000000.0,4606000000.0,4390000000.0,5723000000.0,6083000000.0,5454000000.0
30,30,Cash at end of period,4606000000.0,4390000000.0,5723000000.0,6083000000.0,6091000000.0,6165000000.0
31,31,Free Cash Flow,,,,,,
32,32,Operating cash flow,2240000000.0,3642000000.0,3081000000.0,3004000000.0,2154000000.0,3678000000.0
33,33,Capital expenditure,-150000000.0,-94000000.0,-66000000.0,-221000000.0,-119000000.0,-131000000.0
34,34,Free cash flow,2090000000.0,3548000000.0,3015000000.0,2783000000.0,2035000000.0,3547000000.0
35,35,Supplemental schedule of cash flow data,,,,,,
36,36,Cash paid for income taxes,,1064000000.0,1227000000.0,1276000000.0,1365000000.0,1371000000.0
37,37,Cash paid for interest,,304000000.0,358000000.0,194000000.0,198000000.0,204000000.0
