,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,642949000.0,777926000.0,695553000.0,799411000.0,1036874000.0,885801000.0
1,0,Net income,332139000.0,841440000.0,526057000.0,799918000.0,569977000.0,595172000.0
2,0,Depreciation & amortization,454044000.0,565397000.0,628573000.0,639542000.0,694403000.0,641320000.0
3,0,Amortization of debt discount/premium and issuance costs,,,-94963000.0,,,
4,0,Investment/asset impairment charges,,11547000.0,0.0,,1783000.0,0.0
5,0,Investments losses (gains),-1389000.0,-2911000.0,-1038000.0,653000.0,-2273000.0,-3276000.0
6,0,Stock based compensation,29679000.0,45155000.0,28099000.0,,,
7,0,Prepaid expenses,6990000.0,12966000.0,20238000.0,-16877000.0,52923000.0,34407000.0
8,0,Accrued liabilities,3356000.0,21302000.0,-3991000.0,26854000.0,53547000.0,-135528000.0
9,0,Interest payable,3356000.0,21302000.0,-3991000.0,26854000.0,53547000.0,-135528000.0
10,0,Other working capital,-118905000.0,-122649000.0,-190652000.0,-296086000.0,-262168000.0,-62962000.0
11,0,Other non-cash items,-66321000.0,-615623000.0,-212779000.0,-381447000.0,-124865000.0,-47804000.0
12,0,Net cash provided by operating activities,642949000.0,777926000.0,695553000.0,799411000.0,1036874000.0,885801000.0
13,13,Cash Flows From Investing Activities,-1278032000.0,-532640000.0,-665124000.0,-280226000.0,-1329057000.0,-847100000.0
14,13,"Investments in property, plant, and equipment",-1194392000.0,-993556000.0,-599094000.0,-631991000.0,-959288000.0,-1055348000.0
15,13,"Property, plant, and equipment reductions",61963000.0,250078000.0,-13689000.0,1036153000.0,122750000.0,16640000.0
16,13,"Acquisitions, net",-2657000.0,0.0,-52052000.0,-13680000.0,76147000.0,327147000.0
17,13,Purchases of investments,-2049000.0,-1558000.0,,-667335000.0,0.0,
18,13,Other investing activities,-140897000.0,212396000.0,-289000.0,-3373000.0,-568666000.0,-135539000.0
19,13,Net cash used for investing activities,-1278032000.0,-532640000.0,-665124000.0,-280226000.0,-1329057000.0,-847100000.0
20,20,Cash Flows From Financing Activities,-146147000.0,1077873000.0,-632487000.0,-1558546000.0,-74621000.0,35031000.0
21,20,Debt issued,997790000.0,1194753000.0,0.0,,2014790000.0,2795000000.0
22,20,Debt repayment,-985572000.0,-473779000.0,-1290295000.0,-58260000.0,-1352610000.0,-2190013000.0
23,20,Common stock issued,226000.0,,0.0,,,
24,20,Preferred stock issued,,193623000.0,0.0,,,
25,20,Redemption of preferred stock,-18329000.0,-43070000.0,-17373000.0,-633000.0,0.0,
26,20,Cash dividends paid,-372899000.0,-451118000.0,-840264000.0,-1226199000.0,-671626000.0,-509264000.0
27,20,Other financing activities,232637000.0,657464000.0,1515445000.0,-273454000.0,-65175000.0,-60692000.0
28,20,Net cash provided by (used for) financing activities,-146147000.0,1077873000.0,-632487000.0,-1558546000.0,-74621000.0,35031000.0
29,29,Net change in cash,-781230000.0,1323159000.0,-602058000.0,-1039361000.0,-366804000.0,73732000.0
30,30,Cash at beginning of period,1823208000.0,1041978000.0,2365137000.0,1763079000.0,723718000.0,419323000.0
31,31,Cash at end of period,1041978000.0,2365137000.0,1763079000.0,723718000.0,356914000.0,493055000.0
32,32,Free Cash Flow,,,,,,
33,33,Operating cash flow,642949000.0,777926000.0,695553000.0,799411000.0,1036874000.0,885801000.0
34,34,Capital expenditure,-1194392000.0,-993556000.0,-599094000.0,-631991000.0,-959288000.0,-1055348000.0
35,35,Free cash flow,-551443000.0,-215630000.0,96459000.0,167420000.0,77586000.0,-169547000.0
36,36,Supplemental schedule of cash flow data,,,,,,
37,37,Cash paid for interest,525144000.0,616125000.0,698992000.0,516039000.0,472828000.0,637294000.0
