,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,92545000000.0,94510000000.0,98248000000.0,102366000000.0,159786000000.0
1,0,Fixed maturity securities,54576000000.0,55352000000.0,56726000000.0,52017000000.0,90759000000.0
2,0,Equity securities,744000000.0,837000000.0,510000000.0,497000000.0,814000000.0
3,0,Short-term investments,2228000000.0,1763000000.0,2322000000.0,10446000000.0,3002000000.0
4,0,Cash and cash equivalents,615000000.0,579000000.0,655000000.0,1775000000.0,985000000.0
5,0,Accrued investment income,552000000.0,556000000.0,552000000.0,513000000.0,918000000.0
6,0,Premiums and other receivables,4147000000.0,5026000000.0,5426000000.0,5323000000.0,8970000000.0
7,0,Deferred policy acquisition costs,1873000000.0,2313000000.0,2601000000.0,2873000000.0,4314000000.0
8,0,Deferred income tax assets,453000000.0,616000000.0,295000000.0,318000000.0,0.0
9,0,Goodwill,4975000000.0,5404000000.0,5724000000.0,5683000000.0,22095000000.0
10,0,Other assets,22382000000.0,22064000000.0,23437000000.0,22921000000.0,27929000000.0
11,0,Total assets,92545000000.0,94510000000.0,98248000000.0,102366000000.0,159786000000.0
12,12,Liabilities and stockholders' equity,92545000000.0,94510000000.0,98248000000.0,102366000000.0,159786000000.0
13,12,Liabilities,65014000000.0,65685000000.0,68661000000.0,73231000000.0,111511000000.0
14,13,Future policy benefits,4470000000.0,4615000000.0,4754000000.0,4807000000.0,5036000000.0
15,13,Unearned premiums,6864000000.0,7539000000.0,8222000000.0,8439000000.0,14779000000.0
16,13,Short-term debt,1401000000.0,1901000000.0,2552000000.0,,500000000.0
17,13,Long-term debt,3360000000.0,3807000000.0,3357000000.0,9447000000.0,12610000000.0
18,13,Taxes payable,20000000.0,,,,
19,13,Other liabilities,48899000000.0,47823000000.0,49776000000.0,50538000000.0,78586000000.0
20,13,Total liabilities,65014000000.0,65685000000.0,68661000000.0,73231000000.0,111511000000.0
21,12,Stockholders' equity,27531000000.0,28825000000.0,29587000000.0,29135000000.0,48275000000.0
22,21,Common stock,9591000000.0,8899000000.0,8055000000.0,7833000000.0,11121000000.0
23,21,Additional paid-in capital,5179000000.0,5238000000.0,5145000000.0,4481000000.0,15335000000.0
24,21,Retained earnings,10033000000.0,13791000000.0,16644000000.0,19478000000.0,23613000000.0
25,21,Treasury stock,-159000000.0,-255000000.0,-1448000000.0,-1922000000.0,-1480000000.0
26,21,Accumulated other comprehensive income,2887000000.0,1152000000.0,1191000000.0,-735000000.0,-314000000.0
27,21,Total stockholders' equity,27531000000.0,28825000000.0,29587000000.0,29135000000.0,48275000000.0
28,12,Total liabilities and stockholders' equity,92545000000.0,94510000000.0,98248000000.0,102366000000.0,159786000000.0
