,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,338858000.0,441589000.0,383901000.0,384788000.0,476615000.0
1,0,Cash and cash equivalents,135597000.0,221341000.0,147927000.0,102253000.0,97298000.0
2,0,Receivables,62599000.0,80796000.0,90586000.0,96118000.0,130295000.0
3,0,Investments,14270000.0,14581000.0,12351000.0,48430000.0,72923000.0
4,0,Property and equipment,78958000.0,72208000.0,71770000.0,65274000.0,60849000.0
5,0,Goodwill,,,,7655000.0,26468000.0
6,0,Other intangible assets,42721000.0,45939000.0,55673000.0,59311000.0,71646000.0
7,0,Other assets,4713000.0,6724000.0,5594000.0,5747000.0,17136000.0
8,0,Total assets,338858000.0,441589000.0,383901000.0,384788000.0,476615000.0
9,9,Liabilities and stockholders' equity,338858000.0,441589000.0,383901000.0,384788000.0,476615000.0
10,9,Liabilities,99736000.0,157072000.0,133834000.0,125143000.0,158669000.0
11,10,Payables and accrued expenses,51066000.0,106358000.0,71677000.0,67978000.0,86736000.0
12,10,Taxes payable,,,1774000.0,1633000.0,18000.0
13,10,Deferred taxes,20989000.0,13745000.0,13677000.0,5309000.0,0.0
14,10,Other liabilities,27681000.0,36969000.0,46706000.0,50223000.0,71915000.0
15,10,Total liabilities,99736000.0,157072000.0,133834000.0,125143000.0,158669000.0
16,9,Stockholders' equity,239122000.0,284517000.0,250067000.0,259645000.0,317946000.0
17,16,Common stock,913000.0,919000.0,926000.0,927000.0,929000.0
18,16,Additional paid-in capital,67812000.0,90985000.0,110112000.0,123577000.0,139249000.0
19,16,Retained earnings,275491000.0,349290000.0,472005000.0,603597000.0,710779000.0
20,16,Treasury stock,-104201000.0,-155627000.0,-332287000.0,-467632000.0,-532249000.0
21,16,Accumulated other comprehensive income,-893000.0,-1050000.0,-689000.0,-824000.0,-762000.0
22,16,Total stockholders' equity,239122000.0,284517000.0,250067000.0,259645000.0,317946000.0
23,9,Total liabilities and stockholders' equity,338858000.0,441589000.0,383901000.0,384788000.0,476615000.0
