Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,0.0,,,,,0.0,0.0,,0.0,0.0,0.0
Gross Margin %,,,,,,-6.3,,,,,
Operating Income AUD Mil,-3.0,-3.0,-2.0,-1.0,-1.0,-1.0,-1.0,-5.0,-7.0,-12.0,-12.0
Operating Margin %,,,,,,,,,,,
Net Income AUD Mil,-2.0,-3.0,-2.0,-1.0,-1.0,-1.0,-1.0,-5.0,-7.0,-9.0,-9.0
Earnings Per Share AUD,-1.67,-1.71,-1.64,-0.29,-0.14,-0.23,-0.2,-0.15,-0.08,-0.04,-0.04
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,6.0,6.0,4.0,9.0,16.0,16.0,16.0,130.0,329.0,816.0,816.0
Book Value Per Share * AUD,0.31,0.08,-0.08,0.12,0.09,0.04,,,,,0.04
Operating Cash Flow AUD Mil,-2.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-2.0,-6.0,-5.0,-5.0
Cap Spending AUD Mil,-0.0,,,,,,,-0.0,-0.0,,
Free Cash Flow AUD Mil,-2.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-2.0,-6.0,-5.0,-5.0
Free Cash Flow Per Share * AUD,-0.16,-0.09,-0.16,-0.06,-0.04,-0.02,,,,,
Working Capital AUD Mil,-0.0,-0.0,-0.0,1.0,1.0,0.0,-1.0,4.0,1.0,1.0,
