,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,14089000000.0,15284000000.0,13806000000.0,13886000000.0,13166000000.0,13289000000.0
1,1,Cost of revenue,7967000000.0,8813000000.0,8089000000.0,8324000000.0,7956000000.0,8078000000.0
2,2,Gross profit,6122000000.0,6471000000.0,5717000000.0,5562000000.0,5210000000.0,5211000000.0
3,3,Operating expenses,3139000000.0,3212000000.0,2821000000.0,3145000000.0,2589000000.0,2647000000.0
4,3,"Sales, General and administrative",2634000000.0,2735000000.0,2462000000.0,2455000000.0,2335000000.0,2386000000.0
5,3,"Restructuring, merger and acquisition",19000000.0,20000000.0,26000000.0,81000000.0,38000000.0,
6,3,Other operating expenses,486000000.0,457000000.0,333000000.0,609000000.0,216000000.0,261000000.0
7,3,Total operating expenses,3139000000.0,3212000000.0,2821000000.0,3145000000.0,2589000000.0,2647000000.0
8,8,Operating income,2983000000.0,3259000000.0,2896000000.0,2417000000.0,2621000000.0,2564000000.0
9,9,Interest Expense,402000000.0,376000000.0,363000000.0,392000000.0,411000000.0,443000000.0
10,10,Other income (expense),-20000000.0,14000000.0,-369000000.0,-2000000.0,20000000.0,54000000.0
11,11,Income before taxes,2561000000.0,2897000000.0,2164000000.0,2023000000.0,2230000000.0,2175000000.0
12,12,Provision for income taxes,892000000.0,978000000.0,762000000.0,587000000.0,628000000.0,583000000.0
13,13,Other income,-35000000.0,-46000000.0,-48000000.0,-33000000.0,-50000000.0,-52000000.0
14,14,Net income from continuing operations,1634000000.0,1873000000.0,1354000000.0,1403000000.0,1552000000.0,1540000000.0
15,15,Net income from discontinuing ops,-60000000.0,6000000.0,1605000000.0,10000000.0,-291000000.0,-1255000000.0
16,16,Net income,1574000000.0,1879000000.0,2959000000.0,1413000000.0,1261000000.0,285000000.0
17,17,Net income available to common shareholders,1574000000.0,1879000000.0,2959000000.0,1413000000.0,1261000000.0,285000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,2.45,3.09,5.38,2.92,2.84,0.77
20,20,Diluted,2.39,3.01,5.27,2.89,2.81,0.76
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,642000000.0,608000000.0,550000000.0,484000000.0,444000000.0,409500000.0
23,23,Diluted,659000000.0,624000000.0,561000000.0,489000000.0,448000000.0,414250000.0
24,24,EBITDA,3438000000.0,3730000000.0,2808000000.0,2679000000.0,2866000000.0,2841000000.0
