Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,6.43,14.0,12.07,7.44,7.61,8.71,14.07,16.75,8.14,7.1,8.6
Accounts Receivable,19.59,23.95,21.33,22.8,21.6,21.24,19.92,21.63,18.75,16.21,14.81
Inventory,25.38,31.17,25.8,27.23,28.2,27.89,27.44,25.31,26.55,18.23,20.51
Other Current Assets,1.85,2.93,3.9,4.28,4.05,4.59,5.16,6.14,2.45,3.6,4.9
Total Current Assets,53.26,72.05,63.11,61.76,61.46,62.43,66.6,69.82,55.9,45.14,48.82
Net PP&E,12.19,14.09,16.93,15.54,14.45,14.92,14.82,13.28,12.99,12.15,11.26
Intangibles,32.0,12.62,18.35,20.37,18.86,17.27,15.35,13.7,24.55,41.72,38.76
Other Long-Term Assets,2.55,1.24,1.61,2.33,5.23,5.39,3.23,3.2,6.57,0.99,1.15
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,12.13,16.06,10.18,13.08,12.8,11.32,9.71,12.02,9.6,5.7,7.25
Short-Term Debt,0.03,0.11,3.27,13.09,1.36,1.09,0.99,1.16,,,0.57
Taxes Payable,,,,0.01,0.77,0.45,1.26,0.43,1.27,0.5,
Accrued Liabilities,13.89,15.74,11.63,11.94,12.14,12.81,11.51,11.99,7.9,6.6,7.46
Other Short-Term Liabilities,2.6,3.26,,,,,,,2.45,1.55,
Total Current Liabilities,28.65,35.16,25.08,38.11,27.07,25.67,23.47,25.59,21.22,14.34,15.27
Long-Term Debt,3.24,2.13,8.78,0.11,13.33,8.84,5.84,0.73,13.51,30.61,30.04
Other Long-Term Liabilities,5.97,5.97,3.79,3.87,6.44,6.58,5.06,5.5,5.44,5.78,3.29
Total Liabilities,37.86,43.26,37.66,42.09,46.84,41.09,34.37,31.82,40.17,50.73,48.59
Total Stockholders' Equity,62.14,56.74,62.34,57.91,53.16,58.91,65.63,68.18,59.83,49.27,51.41
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
