Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,75.84,49.99,55.61,25.56,26.47,33.24,42.51,43.52,24.22,28.38,37.05
Accounts Receivable,4.63,7.02,8.14,6.94,9.45,8.19,7.93,6.73,5.25,5.92,5.72
Inventory,1.36,2.25,1.87,2.56,1.89,2.21,2.54,2.27,1.64,1.77,1.69
Other Current Assets,3.58,4.65,5.73,7.62,5.7,3.52,3.45,3.5,3.64,2.62,2.11
Total Current Assets,85.41,63.92,71.34,42.68,43.51,47.16,56.44,56.01,34.75,38.69,46.58
Net PP&E,5.47,5.6,5.53,5.01,5.06,4.93,4.44,3.71,3.01,3.31,3.16
Intangibles,3.65,23.03,17.21,50.55,47.29,43.83,36.48,36.09,58.17,54.33,47.27
Other Long-Term Assets,5.48,7.45,5.92,1.76,4.14,4.08,2.64,4.19,4.07,3.67,2.99
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.05,1.21,0.68,0.93,1.21,1.24,1.17,1.14,0.89,0.88,0.83
Short-Term Debt,5.44,,,,5.26,2.63,4.07,3.49,,1.78,4.41
Taxes Payable,,1.15,0.87,0.11,0.3,0.1,0.18,0.45,0.33,0.15,0.17
Accrued Liabilities,4.41,6.89,5.86,5.82,7.01,6.61,7.43,5.85,5.27,7.53,7.14
Other Short-Term Liabilities,1.09,2.61,1.77,3.66,1.6,3.82,1.7,1.24,0.79,0.2,0.21
Total Current Liabilities,11.99,11.86,9.18,10.52,15.39,14.4,14.54,12.18,7.28,10.54,12.76
Long-Term Debt,0.63,,,12.26,12.75,23.62,31.37,36.13,52.68,49.09,40.57
Other Long-Term Liabilities,8.63,9.6,9.28,18.43,16.77,13.45,12.31,14.06,18.17,16.87,15.64
Total Liabilities,21.25,21.46,18.46,41.2,44.91,51.47,58.22,62.37,78.12,76.5,68.96
Total Stockholders' Equity,78.75,78.54,81.54,58.8,55.09,48.53,41.78,37.63,21.88,23.5,31.04
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
