,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,2665436000.0,2910748000.0,3402703000.0,4425267000.0,4796473000.0,5086306000.0
1,1,Cost of revenue,608197000.0,514722000.0,604377000.0,750781000.0,779116000.0,839957000.0
2,2,Gross profit,2057239000.0,2396026000.0,2798326000.0,3674486000.0,4017357000.0,4246349000.0
3,3,Operating expenses,1485577000.0,1820014000.0,2035242000.0,2893350000.0,3106344000.0,3292901000.0
4,3,Research and development,219639000.0,338786000.0,289358000.0,539799000.0,551418000.0,588537000.0
5,3,"Sales, General and administrative",1184207000.0,1481228000.0,1642437000.0,2262024000.0,2464380000.0,2613796000.0
6,3,Other operating expenses,81731000.0,0.0,103447000.0,91527000.0,90546000.0,90568000.0
7,3,Total operating expenses,1485577000.0,1820014000.0,2035242000.0,2893350000.0,3106344000.0,3292901000.0
8,8,Operating income,571662000.0,576012000.0,763084000.0,781136000.0,911013000.0,953448000.0
9,9,Interest Expense,5068000.0,4226000.0,3993000.0,,4479000.0,
10,10,Other income (expense),21114000.0,16268000.0,15083000.0,244000.0,11900000.0,7741000.0
11,11,Income before taxes,587708000.0,588054000.0,774174000.0,781380000.0,918434000.0,961189000.0
12,12,Provision for income taxes,190476000.0,189700000.0,248741000.0,242018000.0,281950000.0,281178000.0
13,13,Net income from continuing operations,397232000.0,398354000.0,525433000.0,539362000.0,636484000.0,680011000.0
14,14,Net income,397232000.0,398354000.0,525433000.0,539362000.0,636484000.0,680011000.0
15,15,Net income available to common shareholders,397232000.0,398354000.0,525433000.0,539362000.0,636484000.0,680011000.0
16,16,Earnings per share,,,,,,
17,17,Basic,1.16,1.16,1.54,1.57,1.88,2.04
18,18,Diluted,1.13,1.13,1.5,1.54,1.85,2.01
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,341862000.0,343636000.0,342150000.0,343178000.0,337740000.0,332223000.0
21,21,Diluted,351394000.0,352281000.0,350386000.0,350908000.0,343653000.0,338424750.0
22,22,EBITDA,815356000.0,855818000.0,1080520000.0,1233361000.0,1427149000.0,1523440000.0
