,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,11359113000.0,12752076000.0,13470067000.0,13476084000.0,13144413000.0,14324569000.0
1,1,Cost of revenue,9641542000.0,10915981000.0,11462415000.0,11207604000.0,10866885000.0,12026852000.0
2,2,Gross profit,1717571000.0,1836095000.0,2007652000.0,2268480000.0,2277528000.0,2297717000.0
3,3,Operating expenses,1042251000.0,1153445000.0,1259234000.0,1410170000.0,1439997000.0,1539909000.0
4,3,"Sales, General and administrative",1042251000.0,1153445000.0,1259234000.0,1410170000.0,1439997000.0,1539909000.0
5,3,Total operating expenses,1042251000.0,1153445000.0,1259234000.0,1410170000.0,1439997000.0,1539909000.0
6,6,Operating income,675320000.0,682650000.0,748418000.0,858310000.0,837531000.0,757808000.0
7,7,Interest Expense,,,,35529000.0,25581000.0,32272000.0
8,8,Other income (expense),283142000.0,-9289000.0,-24987000.0,0.0,0.0,0.0
9,9,Income before income taxes,958462000.0,673361000.0,723431000.0,822781000.0,811950000.0,725536000.0
10,10,Provision for income taxes,364658000.0,257457000.0,273720000.0,313082000.0,298566000.0,250896000.0
11,11,Net income from continuing ops,593804000.0,415904000.0,449711000.0,509699000.0,513384000.0,474640000.0
12,12,Net income,593804000.0,415904000.0,449711000.0,509699000.0,513384000.0,474640000.0
13,13,Net income available to common shareholders,593804000.0,415904000.0,449711000.0,509699000.0,513384000.0,474640000.0
14,14,Earnings per share,,,,,,
15,15,Basic,3.68,2.65,3.06,3.52,3.6,3.37
16,16,Diluted,3.67,2.65,3.05,3.51,3.59,3.35
17,17,Weighted average shares outstanding,,,,,,
18,18,Basic,161557000.0,156915000.0,147202000.0,144967000.0,142706000.0,141147500.0
19,19,Diluted,161946000.0,157080000.0,147542000.0,145349000.0,142991000.0,141609500.0
20,20,EBITDA,713410000.0,739532000.0,805427000.0,924719000.0,912200000.0,849101000.0
