,Date,Open,High,Low,Close,Adj Close,Volume
0,1997-10-16,5.8125,5.8125,5.5625,5.6875,4.147261,7436400
1,1997-10-17,5.65625,5.75,5.40625,5.59375,4.078897,3390400
2,1997-10-20,5.5,5.625,5.46875,5.53125,4.033322,3068000
3,1997-10-21,5.5625,5.6875,5.5,5.59375,4.078897,2382400
4,1997-10-22,5.6875,5.75,5.59375,5.71875,4.170047,1525200
5,1997-10-23,5.6875,5.6875,5.53125,5.59375,4.078897,1622400
6,1997-10-24,5.65625,5.71875,5.5625,5.71875,4.170047,813600
7,1997-10-27,5.65625,5.75,5.375,5.421875,3.9535699999999996,1507200
8,1997-10-28,5.25,5.6875,4.9375,5.59375,4.078897,2955600
9,1997-10-29,5.6875,5.71875,5.59375,5.65625,4.124474,1859200
10,1997-10-30,5.53125,5.5625,5.375,5.5,4.010537,856000
11,1997-10-31,5.4375,5.640625,5.4375,5.5,4.010537,561600
12,1997-11-03,5.625,5.84375,5.53125,5.734375,4.181441,1004000
13,1997-11-04,5.75,5.875,5.6875,5.78125,4.215622,364000
14,1997-11-05,5.8125,6.0625,5.78125,5.90625,4.306771,324400
15,1997-11-06,5.875,6.25,5.875,6.25,4.557429,361600
16,1997-11-07,6.1875,6.625,6.03125,6.4375,4.694151000000001,662400
17,1997-11-10,6.3125,6.5,6.15625,6.15625,4.489069000000001,266800
18,1997-11-11,5.9375,6.0,5.75,6.0,4.375131,618000
19,1997-11-12,6.0,6.0,5.5625,5.6875,4.147261,314800
20,1997-11-13,5.5625,5.625,5.46875,5.5,4.010537,500000
21,1997-11-14,5.4375,5.5,5.3125,5.4375,3.9649629999999996,438000
22,1997-11-17,5.5,5.84375,5.5,5.8125,4.238409,284000
23,1997-11-18,5.875,5.875,5.6875,5.71875,4.170047,1429600
24,1997-11-19,5.71875,5.8125,5.5625,5.5625,4.056113,148400
25,1997-11-20,5.625,5.625,5.3125,5.5625,4.056113,1268000
26,1997-11-21,5.5625,5.625,5.5,5.53125,4.033322,640800
27,1997-11-24,5.5,5.59375,5.5,5.53125,4.033322,64400
28,1997-11-25,5.5625,5.625,5.5,5.515625,4.021929,326800
29,1997-11-26,5.5,5.53125,5.234375,5.2539,3.831083,463200
30,1997-11-28,5.28125,5.3125,5.25,5.25,3.828239,212800
31,1997-12-01,5.25,5.375,5.25,5.265625,3.839632,475200
32,1997-12-02,5.375,5.5,5.28125,5.34375,3.8966010000000004,1280800
33,1997-12-03,5.4375,5.5,5.34375,5.5,4.010537,934400
34,1997-12-04,5.5,5.625,5.40625,5.546875,4.044718,681600
35,1997-12-05,5.5,5.75,5.4375,5.6875,4.147261,282800
36,1997-12-08,5.6875,5.75,5.65625,5.71875,4.170047,227600
37,1997-12-09,5.75,5.8125,5.59375,5.59375,4.078897,124000
38,1997-12-10,5.625,5.625,5.3125,5.375,3.9299239999999998,269600
39,1997-12-11,5.25,5.375,5.15625,5.3125,3.884229,400800
40,1997-12-12,5.375,5.375,5.15625,5.15625,3.7699879999999997,412400
41,1997-12-15,5.25,5.375,5.171875,5.21875,3.8156830000000004,289200
42,1997-12-16,5.125,5.3125,5.125,5.21875,3.8156830000000004,190800
43,1997-12-17,5.15625,5.1875,5.03125,5.03125,3.6785940000000004,584800
44,1997-12-18,5.09375,5.09375,4.96875,5.0,3.6557459999999997,272400
45,1997-12-19,5.03125,5.03125,4.9375,4.9375,3.6100489999999996,921600
46,1997-12-22,4.9375,5.3125,4.9375,5.0625,3.7014410000000004,924000
47,1997-12-23,5.1875,5.1875,4.9375,5.0,3.6557459999999997,2331200
48,1997-12-24,5.03125,5.03125,4.9375,4.9375,3.6100489999999996,50400
49,1997-12-26,5.0,5.0625,4.96875,5.0625,3.7014410000000004,1248400
50,1997-12-29,5.0625,5.28125,5.0,5.28125,3.861382,430800
51,1997-12-30,5.0625,5.34375,5.0625,5.28125,3.861382,662800
52,1997-12-31,5.40625,5.6875,5.25,5.59375,4.0898639999999995,911600
53,1998-01-02,5.53125,5.78125,5.53125,5.78125,4.2269559999999995,112400
54,1998-01-05,6.03125,6.09375,5.625,5.625,4.112712999999999,629600
55,1998-01-06,5.59375,5.59375,5.25,5.421875,3.964199,915200
56,1998-01-07,5.421875,5.75,5.421875,5.5625,4.067018,164800
57,1998-01-08,5.5,5.78125,5.5,5.75,4.204109,236000
58,1998-01-09,5.65625,5.75,5.5,5.5,4.0213209999999995,140400
59,1998-01-12,5.375,5.53125,5.34375,5.34375,3.907076,927200
60,1998-01-13,5.5,5.5,5.3125,5.4375,3.975623,100400
61,1998-01-14,5.4375,5.5625,5.34375,5.359375,3.9185019999999997,585600
62,1998-01-15,5.4375,5.4375,5.34375,5.375,3.9299239999999998,417200
63,1998-01-16,5.4375,5.59375,5.34375,5.5625,4.067018,69200
64,1998-01-20,5.5,5.78125,5.5,5.78125,4.2269559999999995,348800
65,1998-01-21,5.75,5.78125,5.71875,5.75,4.204109,141600
66,1998-01-22,5.71875,5.75,5.65625,5.65625,4.135562999999999,92400
67,1998-01-23,5.65625,5.875,5.65625,5.8125,4.249807,211200
68,1998-01-26,5.875,5.875,5.625,5.71875,4.181259,497200
69,1998-01-27,5.75,5.75,5.625,5.625,4.112712999999999,96400
70,1998-01-28,5.625,5.6875,5.625,5.65625,4.135562999999999,154800
71,1998-01-29,5.65625,5.8125,5.65625,5.71875,4.181259,108400
72,1998-01-30,5.796875,5.796875,5.65625,5.71875,4.181259,130400
73,1998-02-02,5.78125,6.15625,5.78125,6.0,4.386897,580800
74,1998-02-03,5.9375,6.125,5.9375,6.0,4.386897,159200
75,1998-02-04,6.0,6.09375,5.90625,5.90625,4.3183489999999995,557600
76,1998-02-05,5.875,5.96875,5.875,5.875,4.2955,73200
77,1998-02-06,5.96875,6.09375,5.875,5.9375,4.3412,246800
78,1998-02-09,5.90625,6.1875,5.90625,6.0625,4.432592,724800
79,1998-02-10,6.0625,6.3125,6.0625,6.25,4.569683,401600
80,1998-02-11,6.15625,6.25,5.53125,5.75,4.204109,2063200
81,1998-02-12,5.8125,5.90625,5.75,5.90625,4.3183489999999995,464400
82,1998-02-13,5.96875,5.96875,5.8125,5.9375,4.3412,163200
83,1998-02-17,6.03125,6.03125,5.875,5.90625,4.3183489999999995,697200
84,1998-02-18,6.0,6.0,5.90625,5.90625,4.3183489999999995,2071200
85,1998-02-19,6.0,6.0,5.84375,5.84375,4.272653,184800
86,1998-02-20,5.84375,5.90625,5.78125,5.78125,4.2269559999999995,89200
87,1998-02-23,5.78125,5.84375,5.71875,5.71875,4.181259,621600
88,1998-02-24,5.71875,5.828125,5.5,5.5,4.0213209999999995,417600
89,1998-02-25,5.5,5.625,5.46875,5.59375,4.0898639999999995,201200
90,1998-02-26,5.5625,5.5625,5.46875,5.46875,3.998471,149200
91,1998-02-27,5.53125,5.6875,5.46875,5.6875,4.158412,278000
92,1998-03-02,5.60155,5.6875,5.40625,5.40625,3.952775,360400
93,1998-03-03,5.5,5.5,5.34375,5.375,3.9299239999999998,414000
94,1998-03-04,5.5,5.5,5.375,5.40625,3.952775,489600
95,1998-03-05,5.34375,5.4375,5.34375,5.40625,3.952775,228000
96,1998-03-06,5.375,5.5,5.375,5.4375,3.975623,424400
97,1998-03-09,5.5,5.5,5.375,5.4375,3.975623,106400
98,1998-03-10,5.4375,5.4375,5.375,5.375,3.9407970000000003,232400
99,1998-03-11,5.4375,5.5625,5.375,5.515625,4.043901,1950800
100,1998-03-12,5.5,5.625,5.5,5.53125,4.055357,297200
101,1998-03-13,5.53125,5.78125,5.5,5.6875,4.169916000000001,247200
102,1998-03-16,5.75,5.96875,5.625,5.90625,4.330294,792400
103,1998-03-17,5.8125,5.84375,5.6875,5.75,4.215736,916400
104,1998-03-18,5.6875,5.78125,5.6875,5.78125,4.238649,1550000
105,1998-03-19,5.8125,5.921875,5.75,5.875,4.3073809999999995,597200
106,1998-03-20,5.8125,5.90625,5.8125,5.875,4.3073809999999995,258000
107,1998-03-23,5.8125,5.90625,5.8125,5.8125,4.26156,368000
108,1998-03-24,5.84375,6.03125,5.8125,6.0,4.3990290000000005,906800
109,1998-03-25,6.0,6.15625,5.875,5.875,4.3073809999999995,408400
110,1998-03-26,6.0625,6.0625,5.875,5.875,4.3073809999999995,344800
111,1998-03-27,5.875,6.0,5.875,5.953125,4.364664,220800
112,1998-03-30,5.96875,6.03125,5.96875,6.0,4.3990290000000005,136000
113,1998-03-31,6.0,6.5625,6.0,6.5,4.765617,1022400
114,1998-04-01,6.15625,6.25,6.078125,6.1875,4.536497,1616800
115,1998-04-02,6.15625,6.75,6.0625,6.6875,4.903086,1160000
116,1998-04-03,6.40625,6.484375,6.25,6.28125,4.6052349999999995,1657600
117,1998-04-06,6.25,6.5,6.1875,6.328125,4.639605,317200
118,1998-04-07,6.28125,6.28125,6.1875,6.1875,4.536497,139600
119,1998-04-08,6.1875,6.21875,6.125,6.125,4.490677,496000
120,1998-04-09,6.125,6.1875,5.9375,6.0,4.3990290000000005,221600
121,1998-04-13,6.0,6.0,5.6875,5.8125,4.26156,314000
122,1998-04-14,5.84375,5.90625,5.71875,5.78125,4.238649,233600
123,1998-04-15,5.71875,5.75,5.59375,5.75,4.215736,2683200
124,1998-04-16,5.6875,5.9375,5.6875,5.828125,4.273015,126400
125,1998-04-17,5.84375,5.9375,5.75,5.828125,4.273015,326400
126,1998-04-20,5.71875,5.8125,5.6875,5.8125,4.26156,279600
127,1998-04-21,5.8125,5.8125,5.71875,5.75,4.215736,226000
128,1998-04-22,5.8125,5.84375,5.71875,5.8125,4.26156,903600
129,1998-04-23,5.84375,5.84375,5.6875,5.78125,4.238649,685200
130,1998-04-24,5.75,5.78125,5.71875,5.75,4.215736,143200
131,1998-04-27,5.75,5.75,5.59375,5.625,4.124091,1390000
132,1998-04-28,5.65625,5.65625,5.59375,5.59375,4.101179,403200
133,1998-04-29,5.65625,5.71875,5.59375,5.625,4.124091,731200
134,1998-04-30,5.625,5.71875,5.625,5.71875,4.192826,145200
135,1998-05-01,5.625,5.75,5.59375,5.734375,4.204280000000001,276400
136,1998-05-04,5.734375,5.75,5.65625,5.6875,4.169916000000001,112800
137,1998-05-05,5.75,5.78125,5.65625,5.6875,4.169916000000001,100000
138,1998-05-06,5.75,5.75,5.6875,5.71875,4.192826,24800
139,1998-05-07,5.71875,5.734375,5.625,5.6875,4.169916000000001,128400
140,1998-05-08,5.6875,5.6875,5.625,5.6875,4.169916000000001,150400
141,1998-05-11,5.625,5.65625,5.625,5.648425,4.141265,108000
142,1998-05-12,5.65625,5.65625,5.609375,5.640625,4.135549,118400
143,1998-05-13,5.640625,5.640625,5.59375,5.59375,4.101179,142800
144,1998-05-14,5.625,5.625,5.53125,5.53125,4.055357,138400
145,1998-05-15,5.59375,5.609375,5.515625,5.59375,4.101179,66400
146,1998-05-18,5.625,5.625,5.375,5.4375,3.986622,634400
147,1998-05-19,5.5625,5.65625,5.46875,5.53125,4.055357,296800
148,1998-05-20,5.65625,5.65625,5.59375,5.625,4.124091,202400
149,1998-05-21,5.65625,5.6875,5.625,5.65625,4.147003,398400
150,1998-05-22,5.625,5.71875,5.625,5.6875,4.169916000000001,301600
151,1998-05-26,5.71875,5.75,5.640625,5.6875,4.169916000000001,558800
152,1998-05-27,5.625,5.75,5.625,5.703125,4.1813709999999995,295600
153,1998-05-28,5.6875,5.734375,5.6875,5.71875,4.192826,112400
154,1998-05-29,5.71875,5.78125,5.6875,5.78125,4.238649,208400
155,1998-06-01,5.78125,5.9375,5.75,5.890625,4.318839,540800
156,1998-06-02,5.875,6.03125,5.875,5.96875,4.376118,541600
157,1998-06-03,5.921875,5.96875,5.890625,5.96875,4.376118,277600
158,1998-06-04,5.890625,6.0,5.875,5.890625,4.318839,420000
159,1998-06-05,5.90625,5.90625,5.625,5.8125,4.26156,706000
160,1998-06-08,5.75,5.9375,5.75,5.9375,4.364471,446000
161,1998-06-09,5.90625,6.0,5.90625,5.921875,4.352984999999999,665600
162,1998-06-10,5.90625,5.9375,5.6875,5.71875,4.203675,330800
163,1998-06-11,5.71875,5.84375,5.40625,5.5625,4.08882,698000
164,1998-06-12,5.65625,5.65625,5.46875,5.53125,4.065848,1443200
165,1998-06-15,5.4375,5.5625,5.375,5.5,4.042879,454000
166,1998-06-16,5.625,5.875,5.46875,5.875,4.318527,194400
167,1998-06-17,5.875,5.875,5.6875,5.71875,4.203675,1214400
168,1998-06-18,5.75,5.875,5.65625,5.765625,4.238131,403600
169,1998-06-19,5.78125,6.0,5.75,5.96875,4.38744,1246000
170,1998-06-22,5.90625,6.03125,5.8125,6.0,4.410412,280800
171,1998-06-23,6.03125,6.03125,5.96875,5.984375,4.398927,479200
172,1998-06-24,6.0,6.0,5.875,5.96875,4.38744,369200
173,1998-06-25,5.953125,6.0,5.953125,5.96875,4.38744,356400
174,1998-06-26,6.0,6.1875,5.96875,6.109375,4.490809,1744000
175,1998-06-29,6.1875,6.25,6.125,6.171875,4.536752,410400
176,1998-06-30,6.125,6.28125,6.125,6.21875,4.571208,1802400
177,1998-07-01,6.21875,6.25,6.21875,6.234375,4.582694,732400
178,1998-07-02,6.25,6.28125,6.234375,6.28125,4.61715,801200
179,1998-07-06,6.3125,6.40625,6.265625,6.34375,4.6630910000000005,186400
180,1998-07-07,6.28125,6.453125,6.28125,6.453125,4.743491000000001,510800
181,1998-07-08,6.40625,6.40625,6.09375,6.15625,4.5252669999999995,239600
182,1998-07-09,6.0625,6.28125,6.0625,6.25,4.594178,265600
183,1998-07-10,6.25,6.25,6.0625,6.09375,4.479325,146400
184,1998-07-13,6.15625,6.375,6.09375,6.125,4.502294999999999,444800
185,1998-07-14,6.03125,6.1875,6.03125,6.1875,4.548237,167600
186,1998-07-15,6.09375,6.34375,6.09375,6.265625,4.605665,365600
187,1998-07-16,6.21875,6.3125,6.09375,6.28125,4.61715,412800
188,1998-07-17,6.25,6.3125,6.21875,6.3125,4.64012,197200
189,1998-07-20,6.28125,6.359375,6.25,6.34375,4.6630910000000005,279200
190,1998-07-21,6.34375,6.375,6.28125,6.3125,4.64012,347600
191,1998-07-22,6.375,6.375,6.21875,6.3125,4.64012,564800
192,1998-07-23,6.25,6.34375,6.234375,6.3125,4.64012,134000
193,1998-07-24,6.25,6.28125,6.21875,6.265625,4.605665,146400
194,1998-07-27,6.125,6.15625,5.546875,5.90625,4.341499,242800
195,1998-07-28,5.90625,6.03125,5.8125,6.03125,4.433383,64400
196,1998-07-29,6.09375,6.15625,6.03125,6.09375,4.479325,158800
197,1998-07-30,6.15625,6.15625,6.09375,6.09375,4.479325,61200
198,1998-07-31,6.078125,6.28125,6.078125,6.15625,4.5252669999999995,113200
199,1998-08-03,6.15625,6.25,6.03125,6.046875,4.444869000000001,253600
200,1998-08-04,6.09375,6.125,5.71875,5.75,4.2266449999999995,312000
201,1998-08-05,5.8125,6.0,5.71875,5.9375,4.364471,428800
202,1998-08-06,5.875,5.90625,5.75,5.84375,4.295557,324400
203,1998-08-07,5.78125,6.09375,5.78125,5.8203,4.278323,165200
204,1998-08-10,5.78125,5.796875,5.421875,5.53125,4.065848,905600
205,1998-08-11,5.3125,5.71875,5.21875,5.625,4.13476,264000
206,1998-08-12,5.75,5.78125,5.6875,5.703125,4.192189,82800
207,1998-08-13,5.625,5.625,5.46875,5.5625,4.08882,229200
208,1998-08-14,5.5625,5.5625,5.46875,5.515625,4.054364,81600
209,1998-08-17,5.5,5.8125,5.5,5.75,4.2266449999999995,251600
210,1998-08-18,5.8125,5.984375,5.75,5.984375,4.398927,376800
211,1998-08-19,5.96875,6.125,5.78125,5.890625,4.3300160000000005,640400
212,1998-08-20,5.875,6.09375,5.875,6.03125,4.433383,178000
213,1998-08-21,6.09375,6.09375,5.84375,6.0625,4.456355,157600
214,1998-08-24,5.96875,6.0625,5.875,5.9375,4.364471,19600
215,1998-08-25,5.875,6.046875,5.875,6.03125,4.433383,354400
216,1998-08-26,5.84375,6.03905,5.84375,6.03125,4.433383,362800
217,1998-08-27,5.96875,6.03125,5.6875,6.0,4.410412,203600
218,1998-08-28,6.03125,6.03125,5.625,5.6875,4.180705000000001,424800
219,1998-08-31,5.71875,5.71875,4.984375,5.0,3.6753440000000004,837600
220,1998-09-01,5.125,5.5,5.03125,5.28125,3.882082,941600
221,1998-09-02,5.28125,5.75,5.28125,5.5,4.042879,239600
222,1998-09-03,5.40625,5.484375,4.8125,4.96875,3.652374,3759200
223,1998-09-04,4.96875,4.96875,3.90625,4.625,3.399692,783600
224,1998-09-08,4.75,5.25,4.6875,5.109375,3.767961,495600
225,1998-09-09,4.96875,4.96875,4.75,4.75,3.502935,392800
226,1998-09-10,4.6875,4.6875,4.375,4.375,3.2263900000000003,479200
227,1998-09-11,4.484375,4.53125,4.484375,4.515625,3.3300949999999996,282800
228,1998-09-14,4.5625,4.5625,4.390625,4.46875,3.295526,222800
229,1998-09-15,4.53125,4.53125,4.375,4.46875,3.295526,2077600
230,1998-09-16,4.53125,4.59375,4.46875,4.5625,3.3646629999999997,484000
231,1998-09-17,4.34375,4.5,4.34375,4.5,3.318571,182400
232,1998-09-18,4.65625,4.71875,4.5625,4.671875,3.445323,196000
233,1998-09-21,4.5625,4.84375,4.5625,4.804675,3.5432589999999995,69600
234,1998-09-22,4.9375,5.0,4.875,4.984375,3.675779,158800
235,1998-09-23,5.0,5.21875,4.96875,5.109375,3.767961,270400
236,1998-09-24,5.125,5.21875,5.09375,5.125,3.779486,80400
237,1998-09-25,5.0625,5.125,5.0625,5.0625,3.733392,137200
238,1998-09-28,5.0,5.125,5.0,5.09375,3.756439,355600
239,1998-09-29,5.0,5.125,5.0,5.0625,3.733392,84000
240,1998-09-30,5.0,5.03125,4.9375,5.03125,3.710348,183600
241,1998-10-01,5.03125,5.03125,4.72655,4.75,3.502935,1542800
242,1998-10-02,4.75,4.8125,4.71875,4.71875,3.4798910000000003,1077200
243,1998-10-05,4.8125,4.8125,4.3125,4.34375,3.203344,944800
244,1998-10-06,4.4375,4.5,4.234375,4.234375,3.122684,525600
245,1998-10-07,4.34375,4.34375,3.875,4.125,3.042025,1106400
246,1998-10-08,3.921875,4.03125,3.59375,3.6875,2.719385,619200
247,1998-10-09,3.9375,3.96875,3.765625,3.921875,2.892227,794400
248,1998-10-12,3.921875,4.625,3.8125,4.5625,3.3646629999999997,1529200
249,1998-10-13,4.46875,4.59375,4.4375,4.515625,3.3300949999999996,724400
250,1998-10-14,4.5,4.5,4.375,4.5,3.318571,144400
251,1998-10-15,4.5,5.3125,4.46875,5.0,3.687302,604400
252,1998-10-16,4.96875,5.125,4.59375,4.75,3.502935,166800
253,1998-10-19,4.75,4.90625,4.59375,4.828125,3.56055,154000
254,1998-10-20,4.9375,5.109375,4.875,5.0,3.687302,619600
255,1998-10-21,5.1875,5.40625,5.0625,5.25,3.871668,1560400
256,1998-10-22,5.25,5.375,5.15625,5.234375,3.860144,338400
257,1998-10-23,5.1875,5.21875,5.125,5.1875,3.8255760000000003,997200
258,1998-10-26,5.1875,5.296875,5.125,5.296875,3.9062360000000003,425200
259,1998-10-27,5.25,5.375,5.234375,5.25,3.871668,1124400
260,1998-10-28,5.1875,5.3125,5.171875,5.265625,3.8831910000000005,102800
261,1998-10-29,5.25,5.375,5.234375,5.34375,3.940803,130800
262,1998-10-30,5.375,5.59375,5.3125,5.546875,4.0906,1484800
263,1998-11-02,5.609375,5.6875,5.5,5.6875,4.194308,791600
264,1998-11-03,5.625,5.75,5.59375,5.703125,4.2058279999999995,644800
265,1998-11-04,5.75,5.953125,5.671875,5.953125,4.390193,816000
266,1998-11-05,5.859375,5.9375,5.78125,5.859375,4.321054,352400
267,1998-11-06,5.8125,5.96875,5.8125,5.921875,4.3671489999999995,452000
268,1998-11-09,5.90625,6.015625,5.90625,5.984375,4.413239,806400
269,1998-11-10,6.0,6.03125,5.96875,6.015625,4.436287,306000
270,1998-11-11,6.015625,6.03125,5.96875,5.992175,4.418993,670400
271,1998-11-12,5.96875,6.03125,5.96875,6.0,4.424762,322000
