Key Balance Sheet Items (in %),2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cash & Short-Term Investments,,0.51,6.92,0.03,0.01,0.04,0.12,0.01,0.01,1.03,1.46
Accounts Receivable,,1.53,1.6,1.57,1.74,1.5,1.35,1.16,0.71,0.96,1.11
Inventory,,,,,,,,,,,
Other Current Assets,,0.25,0.26,0.48,0.62,0.59,0.39,0.34,0.16,0.22,0.21
Total Current Assets,,2.29,8.77,2.08,2.37,2.13,1.86,1.51,0.88,2.21,2.79
Net PP&E,,34.79,35.92,43.41,44.2,46.2,46.15,34.11,21.23,22.11,22.47
Intangibles,,60.97,53.19,52.26,50.92,49.13,49.58,34.59,20.42,74.75,73.85
Other Long-Term Assets,,1.94,2.11,2.25,2.51,2.54,2.41,29.79,57.47,0.92,0.9
Total Assets,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,0.87,0.71,1.07,1.12,0.69,0.53,0.57,0.34,0.3,0.39
Short-Term Debt,,,1.12,,,,,,,1.36,1.4
Taxes Payable,,,,,,,,,,0.36,0.4
Accrued Liabilities,,8.22,8.72,5.61,6.27,5.33,7.44,5.74,4.43,4.16,4.58
Other Short-Term Liabilities,,,,,,1.83,0.52,0.35,0.24,0.24,0.27
Total Current Liabilities,,9.08,10.55,6.68,7.39,7.85,8.48,6.66,5.02,6.42,7.03
Long-Term Debt,,136.19,155.5,78.35,82.38,82.11,81.99,85.63,90.86,40.06,44.57
Other Long-Term Liabilities,,8.54,9.63,5.56,7.61,9.09,8.65,7.11,4.24,26.59,25.98
Total Liabilities,,153.81,175.68,90.59,97.38,99.04,99.13,99.41,100.12,73.07,77.58
Total Stockholders' Equity,,-53.81,-75.68,9.41,2.62,0.96,0.87,0.59,-0.12,26.93,22.42
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
