Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,4259.0,3824.0,3903.0,3772.0,3803.0,4111.0,4531.0,4945.0,5142.0,5449.0,5633.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,1192.0,540.0,582.0,498.0,173.0,566.0,714.0,721.0,881.0,812.0,661.0
Operating Margin %,28.0,14.1,14.9,13.2,4.5,13.8,15.8,14.6,17.1,14.9,11.7
Net Income USD Mil,855.0,429.0,432.0,375.0,164.0,421.0,517.0,525.0,634.0,591.0,503.0
Earnings Per Share USD,4.97,2.62,2.65,2.3,1.01,2.57,3.12,3.18,3.83,3.55,3.02
Dividends USD,1.42,1.56,1.57,1.59,1.6,1.62,1.66,1.76,1.84,1.92,1.98
Payout Ratio % *,28.6,59.5,59.3,68.8,163.5,63.0,46.1,60.0,46.7,48.8,65.6
Shares Mil,172.0,163.0,163.0,163.0,163.0,163.0,165.0,165.0,165.0,167.0,166.0
Book Value Per Share * USD,35.72,25.75,29.38,31.06,29.54,33.45,29.37,38.95,38.74,43.32,45.85
Operating Cash Flow USD Mil,705.0,484.0,525.0,531.0,247.0,638.0,796.0,873.0,1064.0,1103.0,1014.0
Cap Spending USD Mil,-70.0,-36.0,-42.0,-17.0,-7.0,-6.0,-7.0,-9.0,-10.0,-13.0,-18.0
Free Cash Flow USD Mil,635.0,448.0,483.0,514.0,240.0,632.0,789.0,864.0,1054.0,1090.0,996.0
Free Cash Flow Per Share * USD,3.69,2.74,2.97,3.15,1.52,3.86,4.47,5.35,5.95,6.74,
Working Capital USD Mil,,,,,,,,,,,
