,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,1216800000.0,1280500000.0,1291400000.0,1515300000.0,1716000000.0,1813800000.0
1,0,Net income,906700000.0,978100000.0,1126900000.0,1247000000.0,1534100000.0,1497600000.0
2,0,Depreciation & amortization,253100000.0,238100000.0,233200000.0,228600000.0,225300000.0,214700000.0
3,0,Amortization of debt discount/premium and issuance costs,5300000.0,0.0,0.0,0.0,0.0,0.0
4,0,Deferred tax (benefit) expense,82200000.0,-6000000.0,78900000.0,63300000.0,-83000000.0,126000000.0
5,0,Investments (gains) losses,100000.0,,,8500000.0,,
6,0,(Gains) loss on disposition of businesses,-58900000.0,-2000000.0,0.0,,-48400000.0,
7,0,Stock based compensation,61400000.0,54400000.0,54800000.0,60800000.0,66200000.0,66700000.0
8,0,Receivable,-300000.0,-35500000.0,-38500000.0,-17300000.0,-8100000.0,-13200000.0
9,0,Income taxes payable,71900000.0,-9300000.0,-105600000.0,-82100000.0,60500000.0,-47000000.0
10,0,Other operating activities,-104700000.0,62700000.0,-58300000.0,6500000.0,-30600000.0,-31000000.0
11,0,Net cash provided by operating activities,1216800000.0,1280500000.0,1291400000.0,1515300000.0,1716000000.0,1813800000.0
12,12,Cash Flows From Investing Activities,-206000000.0,190500000.0,-199100000.0,17900000.0,53700000.0,318300000.0
13,12,Sales/maturity of investments,29500000.0,36500000.0,37500000.0,184100000.0,191700000.0,413000000.0
14,12,Purchases of investments,-100300000.0,-40600000.0,-97600000.0,-52000000.0,-55000000.0,-12400000.0
15,12,"Property, and equipments, net",9700000.0,66800000.0,-132800000.0,-114200000.0,-91800000.0,-81900000.0
16,12,Acquisitions and dispositions,-120500000.0,0.0,0.0,,8800000.0,-400000.0
17,12,Other investing activities,-24400000.0,127800000.0,-6200000.0,0.0,0.0,0.0
18,12,Net cash used for investing activities,-206000000.0,190500000.0,-199100000.0,17900000.0,53700000.0,318300000.0
19,19,Cash Flows From Financing Activities,-448400000.0,-606000000.0,-2195900000.0,-1206700000.0,-1593700000.0,-1921500000.0
20,19,Debt issued,747700000.0,748700000.0,,,130000000.0,0.0
21,19,Debt repayment,0.0,-750000000.0,-750000000.0,-673000000.0,0.0,
22,19,Dividend paid,-1224300000.0,-599100000.0,-1496800000.0,-1343400000.0,-1787200000.0,-1972500000.0
23,19,Other financing activities,28200000.0,-5600000.0,50900000.0,809700000.0,63500000.0,51000000.0
24,19,Net cash provided by (used for) financing activities,-448400000.0,-606000000.0,-2195900000.0,-1206700000.0,-1593700000.0,-1921500000.0
25,25,Net change in cash,562400000.0,865000000.0,-1103600000.0,326500000.0,176000000.0,210600000.0
26,26,Cash at beginning of period,1042300000.0,1604700000.0,2469700000.0,1366100000.0,1692600000.0,1420500000.0
27,27,Cash at end of period,1604700000.0,2469700000.0,1366100000.0,1692600000.0,1868600000.0,1631100000.0
28,28,Free Cash Flow,,,,,,
29,29,Operating cash flow,1216800000.0,1280500000.0,1291400000.0,1515300000.0,1716000000.0,1813800000.0
30,30,Capital expenditure,,,-132800000.0,-114200000.0,-91800000.0,-81900000.0
31,31,Free cash flow,1216800000.0,1280500000.0,1158600000.0,1401100000.0,1624200000.0,1731900000.0
32,32,Supplemental schedule of cash flow data,,,,,,
33,33,Cash paid for income taxes,624400000.0,612200000.0,641500000.0,716600000.0,706700000.0,803900000.0
34,34,Cash paid for interest,110600000.0,133400000.0,111400000.0,89100000.0,84800000.0,84800000.0
