,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,1668667000.0,2009280000.0,2546285000.0,2725066000.0,2026103000.0
1,0,Current assets,546607000.0,666307000.0,878479000.0,814647000.0,522374000.0
2,1,Cash,472859000.0,578174000.0,758057000.0,663204000.0,417716000.0
3,2,Cash and cash equivalents,322553000.0,323203000.0,419465000.0,248005000.0,87880000.0
4,2,Short-term investments,150306000.0,254971000.0,338592000.0,415199000.0,329836000.0
5,2,Total cash,472859000.0,578174000.0,758057000.0,663204000.0,417716000.0
6,1,Receivables,16800000.0,24016000.0,34839000.0,38283000.0,40451000.0
7,1,Inventories,11096000.0,13044000.0,15332000.0,15043000.0,15019000.0
8,1,Deferred income taxes,8862000.0,13212000.0,18968000.0,,
9,1,Prepaid expenses,27378000.0,34204000.0,34795000.0,39965000.0,44080000.0
10,1,Other current assets,9612000.0,3657000.0,16488000.0,58152000.0,5108000.0
11,1,Total current assets,546607000.0,666307000.0,878479000.0,814647000.0,522374000.0
12,0,Non-current assets,1122060000.0,1342973000.0,1667806000.0,1910419000.0,1503729000.0
13,12,"Property, plant and equipment",866703000.0,963238000.0,1106984000.0,1217220000.0,1303558000.0
14,13,"Gross property, plant and equipment",1311620000.0,1490635000.0,1720660000.0,1938095000.0,2149027000.0
15,13,Accumulated Depreciation,-444917000.0,-527397000.0,-613676000.0,-720875000.0,-845469000.0
16,13,"Net property, plant and equipment",866703000.0,963238000.0,1106984000.0,1217220000.0,1303558000.0
17,12,Equity and other investments,190868000.0,313863000.0,496106000.0,622939000.0,125055000.0
18,12,Goodwill,21939000.0,21939000.0,21939000.0,21939000.0,21939000.0
19,12,Other long-term assets,42550000.0,43933000.0,42777000.0,48321000.0,53177000.0
20,12,Total non-current assets,1122060000.0,1342973000.0,1667806000.0,1910419000.0,1503729000.0
21,0,Total assets,1668667000.0,2009280000.0,2546285000.0,2725066000.0,2026103000.0
22,22,Liabilities and stockholders' equity,1668667000.0,2009280000.0,2546285000.0,2725066000.0,2026103000.0
23,22,Liabilities,422741000.0,470992000.0,533916000.0,597092000.0,623610000.0
24,23,Current liabilities,186852000.0,199228000.0,245710000.0,279942000.0,281793000.0
25,24,Capital leases,143000.0,,,,
26,24,Accounts payable,58700000.0,59022000.0,69613000.0,85709000.0,78363000.0
27,24,Taxes payable,0.0,17541000.0,22929000.0,15634000.0,20435000.0
28,24,Accrued liabilities,128009000.0,91157000.0,105063000.0,178599000.0,182995000.0
29,24,Other current liabilities,0.0,31508000.0,48105000.0,0.0,0.0
30,24,Total current liabilities,186852000.0,199228000.0,245710000.0,279942000.0,281793000.0
31,23,Non-current liabilities,235889000.0,271764000.0,288206000.0,317150000.0,341817000.0
32,31,Capital leases,3386000.0,,,,
33,31,Deferred taxes liabilities,48947000.0,55434000.0,40529000.0,32305000.0,18944000.0
34,31,Other long-term liabilities,183556000.0,216330000.0,247677000.0,284845000.0,322873000.0
35,31,Total non-current liabilities,235889000.0,271764000.0,288206000.0,317150000.0,341817000.0
36,23,Total liabilities,422741000.0,470992000.0,533916000.0,597092000.0,623610000.0
37,22,Stockholders' equity,1245926000.0,1538288000.0,2012369000.0,2127974000.0,1402493000.0
38,37,Common stock,349000.0,352000.0,354000.0,358000.0,358000.0
39,37,Additional paid-in capital,816612000.0,919840000.0,1038932000.0,1172628000.0,1238875000.0
40,37,Retained earnings,949459000.0,1276897000.0,1722271000.0,2197873000.0,2220811000.0
41,37,Treasury stock,-521518000.0,-660421000.0,-748759000.0,-1234612000.0,-2049389000.0
42,37,Accumulated other comprehensive income,1024000.0,1620000.0,-429000.0,-8273000.0,-8162000.0
43,37,Total stockholders' equity,1245926000.0,1538288000.0,2012369000.0,2127974000.0,1402493000.0
44,22,Total liabilities and stockholders' equity,1668667000.0,2009280000.0,2546285000.0,2725066000.0,2026103000.0
