,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,17131000000.0,17416000000.0,19185000000.0,20340000000.0,21622000000.0
1,0,Current assets,2422000000.0,2526000000.0,2597000000.0,2320000000.0,2280000000.0
2,1,Cash,93000000.0,172000000.0,207000000.0,266000000.0,235000000.0
3,2,Cash and cash equivalents,93000000.0,172000000.0,207000000.0,266000000.0,235000000.0
4,2,Total cash,93000000.0,172000000.0,207000000.0,266000000.0,235000000.0
5,1,Receivables,938000000.0,987000000.0,990000000.0,913000000.0,1013000000.0
6,1,Inventories,1084000000.0,881000000.0,918000000.0,778000000.0,626000000.0
7,1,Prepaid expenses,53000000.0,86000000.0,72000000.0,77000000.0,81000000.0
8,1,Other current assets,254000000.0,400000000.0,410000000.0,286000000.0,325000000.0
9,1,Total current assets,2422000000.0,2526000000.0,2597000000.0,2320000000.0,2280000000.0
10,0,Non-current assets,14709000000.0,14890000000.0,16588000000.0,18020000000.0,19342000000.0
11,10,"Property, plant and equipment",11551000000.0,12246000000.0,13412000000.0,14705000000.0,15715000000.0
12,11,"Gross property, plant and equipment",16672000000.0,17333000000.0,18827000000.0,20452000000.0,21771000000.0
13,11,Accumulated Depreciation,-5121000000.0,-5087000000.0,-5415000000.0,-5747000000.0,-6056000000.0
14,11,"Net property, plant and equipment",11551000000.0,12246000000.0,13412000000.0,14705000000.0,15715000000.0
15,10,Equity and other investments,57000000.0,59000000.0,61000000.0,64000000.0,65000000.0
16,10,Regulatory assets,2287000000.0,1530000000.0,1956000000.0,1840000000.0,2091000000.0
17,10,Other long-term assets,814000000.0,1055000000.0,1159000000.0,1411000000.0,1471000000.0
18,10,Total non-current assets,14709000000.0,14890000000.0,16588000000.0,18020000000.0,19342000000.0
19,0,Total assets,17131000000.0,17416000000.0,19185000000.0,20340000000.0,21622000000.0
20,20,Liabilities and stockholders' equity,17131000000.0,17416000000.0,19185000000.0,20340000000.0,21622000000.0
21,20,Liabilities,13937000000.0,13962000000.0,15515000000.0,16402000000.0,17369000000.0
22,21,Current liabilities,1797000000.0,1945000000.0,2014000000.0,2302000000.0,2655000000.0
23,22,Short-term debt,651000000.0,170000000.0,60000000.0,249000000.0,398000000.0
24,22,Capital leases,0.0,562000000.0,540000000.0,706000000.0,886000000.0
25,22,Accounts payable,512000000.0,585000000.0,678000000.0,633000000.0,598000000.0
26,22,Deferred income taxes,68000000.0,0.0,66000000.0,,
27,22,Taxes payable,279000000.0,297000000.0,316000000.0,349000000.0,348000000.0
28,22,Accrued liabilities,101000000.0,108000000.0,114000000.0,132000000.0,119000000.0
29,22,Other current liabilities,186000000.0,223000000.0,240000000.0,233000000.0,306000000.0
30,22,Total current liabilities,1797000000.0,1945000000.0,2014000000.0,2302000000.0,2655000000.0
31,21,Non-current liabilities,12140000000.0,12017000000.0,13501000000.0,14100000000.0,14714000000.0
32,31,Long-term debt,6710000000.0,7101000000.0,8016000000.0,8441000000.0,8640000000.0
33,31,Capital leases,153000000.0,,123000000.0,118000000.0,110000000.0
34,31,Deferred taxes liabilities,1015000000.0,1616000000.0,1682000000.0,2017000000.0,2287000000.0
35,31,Pensions and other benefits,1451000000.0,239000000.0,872000000.0,591000000.0,789000000.0
36,31,Regulatory liabilities,2101000000.0,2215000000.0,2095000000.0,2088000000.0,2041000000.0
37,31,Minority interest,44000000.0,37000000.0,37000000.0,37000000.0,37000000.0
38,31,Other long-term liabilities,666000000.0,809000000.0,676000000.0,808000000.0,810000000.0
39,31,Total non-current liabilities,12140000000.0,12017000000.0,13501000000.0,14100000000.0,14714000000.0
40,21,Total liabilities,13937000000.0,13962000000.0,15515000000.0,16402000000.0,17369000000.0
41,20,stockholders' equity,3194000000.0,3454000000.0,3670000000.0,3938000000.0,4253000000.0
42,41,Common stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
43,41,Additional paid-in capital,4669000000.0,4715000000.0,4774000000.0,4837000000.0,4916000000.0
44,41,Retained earnings,-1423000000.0,-1242000000.0,-1058000000.0,-855000000.0,-616000000.0
45,41,Accumulated other comprehensive income,-55000000.0,-22000000.0,-49000000.0,-47000000.0,-50000000.0
46,41,Total stockholders' equity,3194000000.0,3454000000.0,3670000000.0,3938000000.0,4253000000.0
47,20,Total liabilities and stockholders' equity,17131000000.0,17416000000.0,19185000000.0,20340000000.0,21622000000.0
