,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,9060000000.0,9984000000.0,9304000000.0,10127000000.0,11856000000.0,12086000000.0
1,0,Net income,3517000000.0,4159000000.0,4428000000.0,4050000000.0,3751000000.0,
2,0,Provision for credit losses,4415000000.0,3453000000.0,3541000000.0,4536000000.0,6459000000.0,7377000000.0
3,0,Depreciation & amortization,1862000000.0,2065000000.0,2002000000.0,2100000000.0,2428000000.0,2328000000.0
4,0,Investment/asset impairment charges,52000000.0,41000000.0,24000000.0,30000000.0,17000000.0,12000000.0
5,0,Deferred tax (benefit) expense,,,,,-686000000.0,-386000000.0
6,0,Investments (gains) losses,-45000000.0,-7000000.0,-21000000.0,2000000.0,-6000000.0,-72000000.0
7,0,Stock based compensation,199000000.0,240000000.0,205000000.0,161000000.0,239000000.0,253000000.0
8,0,Receivable,-495000000.0,276000000.0,-17000000.0,-72000000.0,-159000000.0,-143000000.0
9,0,Accrued liabilities,-47000000.0,-143000000.0,10000000.0,45000000.0,28000000.0,63000000.0
10,0,Interest payable,-47000000.0,-143000000.0,10000000.0,45000000.0,28000000.0,63000000.0
11,0,Other operating activities,-351000000.0,43000000.0,-878000000.0,-770000000.0,-243000000.0,2591000000.0
12,0,Net cash provided by operating activities,9060000000.0,9984000000.0,9304000000.0,10127000000.0,11856000000.0,12086000000.0
13,13,Cash Flows From Investing Activities,-17987000000.0,3721000000.0,-15991000000.0,-29726000000.0,-25630000000.0,-22198000000.0
14,13,Sales/maturity of investments,34673000000.0,16469000000.0,16856000000.0,14284000000.0,14694000000.0,16699000000.0
15,13,Purchases of investments,-29257000000.0,-16062000000.0,-17477000000.0,-16477000000.0,-17941000000.0,-18607000000.0
16,13,"Property, and equipments, net",-560000000.0,-818000000.0,-502000000.0,-532000000.0,-779000000.0,-1047000000.0
17,13,Acquisitions and dispositions,-17603000000.0,-204000000.0,-24000000.0,-9314000000.0,-629000000.0,-3860000000.0
18,13,Other investing activities,-5240000000.0,4336000000.0,-14844000000.0,-17687000000.0,-20975000000.0,-15383000000.0
19,13,Net cash used for investing activities,-17987000000.0,3721000000.0,-15991000000.0,-29726000000.0,-25630000000.0,-22198000000.0
20,20,Cash Flows From Financing Activities,14147000000.0,-18472000000.0,7638000000.0,20380000000.0,15727000000.0,8019000000.0
21,20,Change in deposits,-156000000.0,-7972000000.0,1017000000.0,12163000000.0,19031000000.0,13050000000.0
22,20,Debt issued,2248000000.0,4263000000.0,12005000000.0,36892000000.0,29243000000.0,34651000000.0
23,20,Debt repayment,-5761000000.0,-7727000000.0,-5367000000.0,-10079000000.0,-27710000000.0,-36623000000.0
24,20,Common stock issued,3233000000.0,81000000.0,,111000000.0,131000000.0,156000000.0
25,20,Preferred stock issued,853000000.0,0.0,969000000.0,1472000000.0,1066000000.0,483000000.0
26,20,Repurchases of treasury stock,-43000000.0,-1033000000.0,-2045000000.0,-2441000000.0,-3661000000.0,-1104000000.0
27,20,Dividend paid,-126000000.0,-608000000.0,-746000000.0,-974000000.0,-1026000000.0,-1039000000.0
28,20,Other financing activities,13899000000.0,-5476000000.0,1805000000.0,-16764000000.0,-1347000000.0,-1555000000.0
29,20,Net cash provided by (used for) financing activities,14147000000.0,-18472000000.0,7638000000.0,20380000000.0,15727000000.0,8019000000.0
30,30,Net change in cash,5220000000.0,-4767000000.0,951000000.0,781000000.0,1953000000.0,-2093000000.0
31,31,Cash at beginning of period,5838000000.0,11058000000.0,6291000000.0,7242000000.0,8023000000.0,9381000000.0
32,32,Cash at end of period,11058000000.0,6291000000.0,7242000000.0,8023000000.0,9976000000.0,7288000000.0
33,33,Free Cash Flow,,,,,,
34,34,Operating cash flow,9060000000.0,9984000000.0,9304000000.0,10127000000.0,11856000000.0,12086000000.0
35,35,Capital expenditure,-560000000.0,-818000000.0,-502000000.0,-532000000.0,-779000000.0,-1047000000.0
36,36,Free cash flow,8500000000.0,9166000000.0,8802000000.0,9595000000.0,11077000000.0,11039000000.0
37,37,Supplemental schedule of cash flow data,,,,,,
38,38,Cash paid for income taxes,,-1721000000.0,,1732000000.0,2121000000.0,1349000000.0
39,39,Cash paid for interest,,-1936000000.0,,1643000000.0,2250000000.0,2812000000.0
