,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,5400000000.0,7063000000.0,7389000000.0,7707000000.0,17997000000.0
1,0,Current assets,3094000000.0,3204000000.0,3233000000.0,3490000000.0,4760000000.0
2,1,Cash,391000000.0,323000000.0,252000000.0,340000000.0,703000000.0
3,2,Cash and cash equivalents,391000000.0,323000000.0,252000000.0,340000000.0,703000000.0
4,2,Total cash,391000000.0,323000000.0,252000000.0,340000000.0,703000000.0
5,1,Receivables,823000000.0,1045000000.0,1038000000.0,1094000000.0,1426000000.0
6,1,Inventories,1518000000.0,1709000000.0,1824000000.0,1939000000.0,2451000000.0
7,1,Deferred income taxes,19000000.0,9000000.0,9000000.0,,
8,1,Other current assets,343000000.0,118000000.0,110000000.0,117000000.0,180000000.0
9,1,Total current assets,3094000000.0,3204000000.0,3233000000.0,3490000000.0,4760000000.0
10,0,Non-current assets,2306000000.0,3859000000.0,4156000000.0,4217000000.0,13237000000.0
11,10,"Property, plant and equipment",773000000.0,919000000.0,964000000.0,1035000000.0,1398000000.0
12,11,"Gross property, plant and equipment",1974000000.0,2192000000.0,2318000000.0,2451000000.0,2924000000.0
13,11,Accumulated Depreciation,-1201000000.0,-1273000000.0,-1354000000.0,-1416000000.0,-1526000000.0
14,11,"Net property, plant and equipment",773000000.0,919000000.0,964000000.0,1035000000.0,1398000000.0
15,10,Equity and other investments,,,,10000000.0,7000000.0
16,10,Goodwill,779000000.0,1863000000.0,1904000000.0,1919000000.0,9158000000.0
17,10,Intangible assets,288000000.0,688000000.0,703000000.0,667000000.0,2129000000.0
18,10,Deferred income taxes,245000000.0,101000000.0,241000000.0,219000000.0,21000000.0
19,10,Other long-term assets,221000000.0,288000000.0,344000000.0,367000000.0,524000000.0
20,10,Total non-current assets,2306000000.0,3859000000.0,4156000000.0,4217000000.0,13237000000.0
21,0,Total assets,5400000000.0,7063000000.0,7389000000.0,7707000000.0,17997000000.0
22,22,Liabilities and stockholders' equity,5400000000.0,7063000000.0,7389000000.0,7707000000.0,17997000000.0
23,22,Liabilities,3782000000.0,5179000000.0,5514000000.0,5629000000.0,11954000000.0
24,23,Current liabilities,1981000000.0,2198000000.0,2144000000.0,2346000000.0,3069000000.0
25,24,Short-term debt,436000000.0,504000000.0,448000000.0,740000000.0,479000000.0
26,24,Accounts payable,463000000.0,535000000.0,487000000.0,527000000.0,927000000.0
27,24,Deferred income taxes,,,84000000.0,,
28,24,Accrued liabilities,477000000.0,458000000.0,505000000.0,515000000.0,672000000.0
29,24,Deferred revenues,324000000.0,359000000.0,365000000.0,283000000.0,361000000.0
30,24,Other current liabilities,281000000.0,342000000.0,255000000.0,281000000.0,630000000.0
31,24,Total current liabilities,1981000000.0,2198000000.0,2144000000.0,2346000000.0,3069000000.0
32,23,Non-current liabilities,1801000000.0,2981000000.0,3370000000.0,3283000000.0,8885000000.0
33,32,Long-term debt,563000000.0,1663000000.0,1680000000.0,1382000000.0,6676000000.0
34,32,Deferred taxes liabilities,,,,,331000000.0
35,32,Pensions and other benefits,1078000000.0,1096000000.0,1466000000.0,1660000000.0,1208000000.0
36,32,Minority interest,5000000.0,5000000.0,5000000.0,6000000.0,7000000.0
37,32,Other long-term liabilities,155000000.0,217000000.0,219000000.0,235000000.0,663000000.0
38,32,Total non-current liabilities,1801000000.0,2981000000.0,3370000000.0,3283000000.0,8885000000.0
39,23,Total liabilities,3782000000.0,5179000000.0,5514000000.0,5629000000.0,11954000000.0
40,22,Stockholders' equity,1618000000.0,1884000000.0,1875000000.0,2078000000.0,6043000000.0
41,40,Common stock,2000000.0,2000000.0,2000000.0,1000000.0,2000000.0
42,40,Additional paid-in capital,1469000000.0,1489000000.0,1519000000.0,1506000000.0,4559000000.0
43,40,Retained earnings,4163000000.0,4605000000.0,5124000000.0,3327000000.0,3838000000.0
44,40,Treasury stock,-2729000000.0,-2846000000.0,-3071000000.0,-858000000.0,-781000000.0
45,40,Accumulated other comprehensive income,-1287000000.0,-1366000000.0,-1699000000.0,-1898000000.0,-1575000000.0
46,40,Total stockholders' equity,1618000000.0,1884000000.0,1875000000.0,2078000000.0,6043000000.0
47,22,Total liabilities and stockholders' equity,5400000000.0,7063000000.0,7389000000.0,7707000000.0,17997000000.0
