,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,30283000000.0,33024000000.0,33440000000.0,33163000000.0,36347000000.0
1,0,Current assets,15840000000.0,17588000000.0,17299000000.0,15218000000.0,17317000000.0
2,1,Cash,6124000000.0,7315000000.0,6419000000.0,4729000000.0,5779000000.0
3,2,Cash and cash equivalents,4644000000.0,5738000000.0,4801000000.0,3379000000.0,4546000000.0
4,2,Short-term investments,1480000000.0,1577000000.0,1618000000.0,1350000000.0,1233000000.0
5,2,Total cash,6124000000.0,7315000000.0,6419000000.0,4729000000.0,5779000000.0
6,1,Receivables,1201000000.0,1148000000.0,1224000000.0,1252000000.0,1432000000.0
7,1,Inventories,7894000000.0,8456000000.0,8908000000.0,8969000000.0,9834000000.0
8,1,Deferred income taxes,621000000.0,669000000.0,748000000.0,,
9,1,Other current assets,0.0,0.0,0.0,268000000.0,272000000.0
10,1,Total current assets,15840000000.0,17588000000.0,17299000000.0,15218000000.0,17317000000.0
11,0,Non-current assets,14443000000.0,15436000000.0,16141000000.0,17945000000.0,19030000000.0
12,11,"Property, plant and equipment",13881000000.0,14830000000.0,15401000000.0,17043000000.0,18161000000.0
13,12,Land,4409000000.0,4716000000.0,4961000000.0,5395000000.0,5690000000.0
14,12,Fixtures and equipment,4472000000.0,4845000000.0,5274000000.0,6077000000.0,6681000000.0
15,12,Other properties,12141000000.0,13114000000.0,13429000000.0,14695000000.0,15970000000.0
16,12,"Property and equipment, at cost",21022000000.0,22675000000.0,23664000000.0,26167000000.0,28341000000.0
17,12,Accumulated Depreciation,-7141000000.0,-7845000000.0,-8263000000.0,-9124000000.0,-10180000000.0
18,12,"Property, plant and equipment, net",13881000000.0,14830000000.0,15401000000.0,17043000000.0,18161000000.0
19,11,Goodwill,63000000.0,,,,
20,11,Other long-term assets,499000000.0,606000000.0,740000000.0,902000000.0,869000000.0
21,11,Total non-current assets,14443000000.0,15436000000.0,16141000000.0,17945000000.0,19030000000.0
22,0,Total assets,30283000000.0,33024000000.0,33440000000.0,33163000000.0,36347000000.0
23,23,Liabilities and stockholders' equity,30283000000.0,33024000000.0,33440000000.0,33163000000.0,36347000000.0
24,23,Liabilities,19450000000.0,20721000000.0,22823000000.0,21084000000.0,25569000000.0
25,24,Current liabilities,13257000000.0,14412000000.0,16540000000.0,15575000000.0,17495000000.0
26,25,Short-term debt,0.0,,1283000000.0,1100000000.0,86000000.0
27,25,Accounts payable,7872000000.0,8491000000.0,9011000000.0,7612000000.0,9608000000.0
28,25,Taxes payable,459000000.0,578000000.0,,532000000.0,
29,25,Accrued liabilities,2747000000.0,3004000000.0,3281000000.0,3498000000.0,3664000000.0
30,25,Deferred revenues,1167000000.0,1254000000.0,2059000000.0,1362000000.0,1498000000.0
31,25,Other current liabilities,1012000000.0,1085000000.0,906000000.0,1471000000.0,2639000000.0
32,25,Total current liabilities,13257000000.0,14412000000.0,16540000000.0,15575000000.0,17495000000.0
33,24,Non-current liabilities,6193000000.0,6309000000.0,6283000000.0,5509000000.0,8074000000.0
34,33,Long-term debt,4998000000.0,5093000000.0,4864000000.0,4061000000.0,6573000000.0
35,33,Deferred taxes liabilities,1016000000.0,1004000000.0,1193000000.0,,
36,33,Minority interest,179000000.0,212000000.0,226000000.0,253000000.0,301000000.0
37,33,Other long-term liabilities,0.0,0.0,0.0,1195000000.0,1200000000.0
38,33,Total non-current liabilities,6193000000.0,6309000000.0,6283000000.0,5509000000.0,8074000000.0
39,24,Total liabilities,19450000000.0,20721000000.0,22823000000.0,21084000000.0,25569000000.0
40,23,Stockholders' equity,10833000000.0,12303000000.0,10617000000.0,12079000000.0,10778000000.0
41,40,Common stock,2000000.0,2000000.0,2000000.0,2000000.0,4000000.0
42,40,Additional paid-in capital,4670000000.0,4919000000.0,5218000000.0,5490000000.0,5800000000.0
43,40,Retained earnings,6283000000.0,7458000000.0,6518000000.0,7686000000.0,5988000000.0
44,40,Accumulated other comprehensive income,-122000000.0,-76000000.0,-1121000000.0,-1099000000.0,-1014000000.0
45,40,Total stockholders' equity,10833000000.0,12303000000.0,10617000000.0,12079000000.0,10778000000.0
46,23,Total liabilities and stockholders' equity,30283000000.0,33024000000.0,33440000000.0,33163000000.0,36347000000.0
