,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,8052000000.0,8268000000.0,8082000000.0,7961000000.0,7890000000.0,7890000000.0
1,1,Cost of revenue,5140000000.0,5370000000.0,5277000000.0,5181000000.0,4831000000.0,4831000000.0
2,2,Gross profit,2912000000.0,2898000000.0,2805000000.0,2780000000.0,3059000000.0,3059000000.0
3,3,Operating expenses,1766000000.0,1647000000.0,1710000000.0,1678000000.0,1422000000.0,1422000000.0
4,3,Research and development,128000000.0,121000000.0,113000000.0,124000000.0,98000000.0,98000000.0
5,3,"Sales, General and administrative",1624000000.0,1508000000.0,1471000000.0,1534000000.0,1305000000.0,1305000000.0
6,3,"Restructuring, merger and acquisition",,,102000000.0,,,
7,3,Other operating expenses,14000000.0,18000000.0,24000000.0,20000000.0,19000000.0,19000000.0
8,3,Total operating expenses,1766000000.0,1647000000.0,1710000000.0,1678000000.0,1422000000.0,1422000000.0
9,9,Operating income,1146000000.0,1251000000.0,1095000000.0,1102000000.0,1637000000.0,1637000000.0
10,10,Interest Expense,135000000.0,122000000.0,108000000.0,115000000.0,112000000.0,112000000.0
11,11,Other income (expense),-56000000.0,-56000000.0,3000000.0,-138000000.0,-232000000.0,-232000000.0
12,12,Income before taxes,955000000.0,1073000000.0,990000000.0,849000000.0,1293000000.0,1293000000.0
13,13,Provision for income taxes,275000000.0,347000000.0,299000000.0,286000000.0,406000000.0,406000000.0
14,14,Net income from continuing operations,680000000.0,726000000.0,691000000.0,563000000.0,887000000.0,887000000.0
15,15,Net income from discontinuing ops,-231000000.0,81000000.0,0.0,0.0,,
16,16,Other,9000000.0,11000000.0,0.0,0.0,0.0,0.0
17,17,Net income,458000000.0,818000000.0,691000000.0,563000000.0,887000000.0,887000000.0
18,18,Net income available to common shareholders,458000000.0,818000000.0,691000000.0,563000000.0,887000000.0,887000000.0
19,19,Earnings per share,,,,,,
20,20,Basic,1.46,2.61,2.21,1.82,2.91,2.91
21,21,Diluted,1.44,2.59,2.21,1.81,2.89,2.89
22,22,Weighted average shares outstanding,,,,,,
23,23,Basic,314000000.0,314000000.0,312000000.0,309000000.0,305000000.0,305000000.0
24,24,Diluted,317000000.0,316000000.0,313000000.0,311000000.0,307000000.0,307000000.0
25,25,EBITDA,1497000000.0,1500000000.0,1401000000.0,1272000000.0,1723000000.0,1723000000.0
