,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,3050195000.0,4071003000.0,5373586000.0,6667216000.0,8391984000.0,9922997000.0
1,1,Cost of revenue,683579000.0,968428000.0,1289270000.0,1654548000.0,2234039000.0,2661687000.0
2,2,Gross profit,2366616000.0,3102575000.0,4084316000.0,5012668000.0,6157945000.0,7261310000.0
3,3,Operating expenses,2477326000.0,3388649000.0,4229949000.0,4897745000.0,6093717000.0,7126756000.0
4,3,Research and development,429479000.0,623798000.0,792917000.0,946300000.0,1208127000.0,1500718000.0
5,3,"Sales, General and administrative",2047847000.0,2764851000.0,3437032000.0,3988062000.0,4885590000.0,5626038000.0
6,3,Other operating expenses,0.0,0.0,0.0,-36617000.0,0.0,0.0
7,3,Total operating expenses,2477326000.0,3388649000.0,4229949000.0,4897745000.0,6093717000.0,7126756000.0
8,8,Operating income,-110710000.0,-286074000.0,-145633000.0,114923000.0,64228000.0,134554000.0
9,9,Interest Expense,30948000.0,77211000.0,73237000.0,72485000.0,88988000.0,89705000.0
10,10,Other income (expense),13864000.0,5350000.0,5785000.0,21841000.0,50143000.0,45573000.0
11,11,Income before taxes,-127794000.0,-357935000.0,-213085000.0,64279000.0,25383000.0,90422000.0
12,12,Provision for income taxes,142651000.0,-125760000.0,49603000.0,111705000.0,-154249000.0,81939000.0
13,13,Net income from continuing operations,-270445000.0,-232175000.0,-262688000.0,-47426000.0,179632000.0,8483000.0
14,14,Net income,-270445000.0,-232175000.0,-262688000.0,-47426000.0,179632000.0,8483000.0
15,15,Net income available to common shareholders,-270445000.0,-232175000.0,-262688000.0,-47426000.0,179632000.0,8483000.0
16,16,Earnings per share,,,,,,
17,17,Basic,-0.48,-0.39,-0.42,-0.07,0.26,0.0
18,18,Diluted,-0.48,-0.39,-0.42,-0.07,0.26,0.0
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,564896000.0,597613000.0,624148000.0,661647000.0,687797000.0,709403750.0
21,21,Diluted,564896000.0,597613000.0,624148000.0,661647000.0,700217000.0,725683250.0
22,22,EBITDA,119949000.0,88699000.0,308448000.0,662514000.0,746616000.0,925804000.0
