,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,101191000000.0,105134000000.0,113481000000.0,121652000000.0,129818000000.0
1,0,Current assets,65521000000.0,67114000000.0,76283000000.0,78719000000.0,83703000000.0
2,1,Cash,50610000000.0,52074000000.0,60416000000.0,65756000000.0,70492000000.0
3,2,Cash and cash equivalents,7925000000.0,6726000000.0,6877000000.0,7631000000.0,11708000000.0
4,2,Short-term investments,42685000000.0,45348000000.0,53539000000.0,58125000000.0,58784000000.0
5,2,Total cash,50610000000.0,52074000000.0,60416000000.0,65756000000.0,70492000000.0
6,1,Receivables,5470000000.0,5157000000.0,5344000000.0,5847000000.0,5146000000.0
7,1,Inventories,1476000000.0,1591000000.0,1627000000.0,1217000000.0,1616000000.0
8,1,Deferred income taxes,2616000000.0,2808000000.0,2915000000.0,,
9,1,Other current assets,5349000000.0,5484000000.0,5981000000.0,5899000000.0,6449000000.0
10,1,Total current assets,65521000000.0,67114000000.0,76283000000.0,78719000000.0,83703000000.0
11,0,Non-current assets,35670000000.0,38020000000.0,37198000000.0,42933000000.0,46115000000.0
12,11,"Property, plant and equipment",3322000000.0,3252000000.0,3332000000.0,3506000000.0,3322000000.0
13,12,"Gross property, plant and equipment",12386000000.0,12520000000.0,12427000000.0,12563000000.0,12819000000.0
14,12,Accumulated Depreciation,-9064000000.0,-9268000000.0,-9095000000.0,-9057000000.0,-9497000000.0
15,12,"Net property, plant and equipment",3322000000.0,3252000000.0,3332000000.0,3506000000.0,3322000000.0
16,11,Equity and other investments,,899000000.0,897000000.0,,
17,11,Goodwill,21919000000.0,24239000000.0,24469000000.0,26625000000.0,29766000000.0
18,11,Intangible assets,3403000000.0,3280000000.0,2376000000.0,2501000000.0,2539000000.0
19,11,Deferred income taxes,,1700000000.0,1648000000.0,4299000000.0,4239000000.0
20,11,Other long-term assets,7026000000.0,4650000000.0,4476000000.0,6002000000.0,6249000000.0
21,11,Total non-current assets,35670000000.0,38020000000.0,37198000000.0,42933000000.0,46115000000.0
22,0,Total assets,101191000000.0,105134000000.0,113481000000.0,121652000000.0,129818000000.0
23,23,Liabilities and stockholders' equity,101191000000.0,105134000000.0,113481000000.0,121652000000.0,129818000000.0
24,23,Liabilities,42071000000.0,48480000000.0,53783000000.0,58066000000.0,63681000000.0
25,24,Current liabilities,22192000000.0,19809000000.0,23623000000.0,24911000000.0,27583000000.0
26,25,Short-term debt,3283000000.0,508000000.0,3897000000.0,4160000000.0,7992000000.0
27,25,Accounts payable,1029000000.0,1032000000.0,1104000000.0,1056000000.0,1385000000.0
28,25,Taxes payable,192000000.0,159000000.0,62000000.0,517000000.0,98000000.0
29,25,Accrued liabilities,3378000000.0,3181000000.0,3049000000.0,2951000000.0,2895000000.0
30,25,Deferred revenues,9262000000.0,9478000000.0,9824000000.0,10155000000.0,10821000000.0
31,25,Other current liabilities,5048000000.0,5451000000.0,5687000000.0,6072000000.0,4392000000.0
32,25,Total current liabilities,22192000000.0,19809000000.0,23623000000.0,24911000000.0,27583000000.0
33,24,Non-current liabilities,19879000000.0,28671000000.0,30160000000.0,33155000000.0,36098000000.0
34,33,Long-term debt,12928000000.0,20401000000.0,21457000000.0,24483000000.0,25725000000.0
35,33,Deferred revenues,4161000000.0,4664000000.0,5359000000.0,6317000000.0,7673000000.0
36,33,Minority interest,8000000.0,7000000.0,9000000.0,-1000000.0,0.0
37,33,Other long-term liabilities,2782000000.0,3599000000.0,3335000000.0,2356000000.0,2700000000.0
38,33,Total non-current liabilities,19879000000.0,28671000000.0,30160000000.0,33155000000.0,36098000000.0
39,24,Total liabilities,42071000000.0,48480000000.0,53783000000.0,58066000000.0,63681000000.0
40,23,Stockholders' equity,59120000000.0,56654000000.0,59698000000.0,63586000000.0,66137000000.0
41,40,Common stock,42297000000.0,41884000000.0,43592000000.0,44516000000.0,45253000000.0
42,40,Retained earnings,16215000000.0,14093000000.0,16045000000.0,19396000000.0,20838000000.0
43,40,Accumulated other comprehensive income,608000000.0,677000000.0,61000000.0,-326000000.0,46000000.0
44,40,Total stockholders' equity,59120000000.0,56654000000.0,59698000000.0,63586000000.0,66137000000.0
45,23,Total liabilities and stockholders' equity,101191000000.0,105134000000.0,113481000000.0,121652000000.0,129818000000.0
