,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,4316471000.0,4551812000.0,4476886000.0,4905458000.0,5323381000.0,5668234000.0
1,1,Cost of revenue,2529404000.0,2637426000.0,2555549000.0,2775588000.0,2943086000.0,3125013000.0
2,2,Gross profit,1787067000.0,1914386000.0,1921337000.0,2129870000.0,2380295000.0,2543221000.0
3,3,Operating expenses,1221856000.0,1347376000.0,1224930000.0,1348122000.0,1606604000.0,1724368000.0
4,3,"Sales, General and administrative",1221856000.0,1302752000.0,1224930000.0,1348122000.0,1527380000.0,1643960000.0
5,3,Other operating expenses,0.0,44624000.0,0.0,0.0,79224000.0,80408000.0
6,3,Total operating expenses,1221856000.0,1347376000.0,1224930000.0,1348122000.0,1606604000.0,1724368000.0
7,7,Operating income,565211000.0,567010000.0,696407000.0,781748000.0,773691000.0,818853000.0
8,8,Interest Expense,65712000.0,65822000.0,65161000.0,64522000.0,86524000.0,102669000.0
9,9,Other income (expense),409000.0,106670000.0,27030000.0,896000.0,237000.0,469000.0
10,10,Income before taxes,499908000.0,607858000.0,658276000.0,718122000.0,687404000.0,716653000.0
11,11,Provision for income taxes,184466000.0,233416000.0,244660000.0,261181000.0,230118000.0,234467000.0
12,12,Other income,0.0,0.0,-5539000.0,0.0,0.0,0.0
13,13,Net income from continuing operations,315442000.0,374442000.0,408077000.0,456941000.0,457286000.0,482186000.0
14,14,Net income from discontinuing ops,,,22541000.0,236579000.0,23422000.0,77642000.0
15,15,Net income,315442000.0,374442000.0,430618000.0,693520000.0,480708000.0,559828000.0
16,16,Net income available to common shareholders,315442000.0,374442000.0,430618000.0,693520000.0,480708000.0,559828000.0
17,17,Earnings per share,,,,,,
18,18,Basic,2.53,3.08,3.68,6.3,4.49,5.22
19,19,Diluted,2.52,3.05,3.63,6.21,4.38,5.08
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,123956000.0,120377000.0,115900000.0,108221000.0,104964000.0,105278250.0
22,22,Diluted,124531000.0,121640000.0,117543000.0,109956000.0,107783000.0,108138750.0
23,23,EBITDA,731284000.0,841900000.0,864061000.0,947923000.0,970523000.0,1041258000.0
