Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,22.88,21.35,19.4,24.13,18.04,19.36,14.1,14.32,15.9,26.35,27.34
Accounts Receivable,8.91,8.58,9.86,10.22,11.82,13.15,12.56,12.24,12.21,11.36,8.45
Inventory,0.38,0.42,0.28,0.19,0.21,0.22,0.27,0.23,0.19,0.2,0.27
Other Current Assets,4.7,4.54,4.08,5.17,3.42,2.99,3.06,3.84,2.42,2.17,3.06
Total Current Assets,36.86,34.89,33.62,39.7,33.49,35.73,29.99,30.63,30.72,40.08,39.13
Net PP&E,5.32,9.44,8.01,6.76,6.77,6.32,6.5,6.67,6.82,5.38,4.62
Intangibles,45.96,43.6,36.01,29.68,38.6,43.25,43.72,39.69,40.98,34.35,32.46
Other Long-Term Assets,11.86,12.07,22.36,23.85,21.14,14.7,19.79,23.01,21.48,20.19,23.79
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.19,1.73,1.86,1.78,1.42,1.48,1.51,1.45,1.74,1.32,1.03
Short-Term Debt,,,,,,,,,,21.1,0.73
Taxes Payable,,,,,,1.03,0.56,0.22,0.33,0.62,0.06
Accrued Liabilities,7.55,7.26,7.17,7.83,4.49,5.34,4.94,5.41,5.79,4.74,4.09
Other Short-Term Liabilities,16.07,18.14,17.97,17.94,22.86,20.14,21.08,21.77,22.8,20.71,21.34
Total Current Liabilities,25.81,27.13,26.99,27.54,28.76,28.0,28.09,28.85,30.67,48.49,27.25
Long-Term Debt,,,,,,,,23.46,24.17,,25.03
Other Long-Term Liabilities,1.66,1.69,2.21,3.53,4.63,6.92,8.22,8.26,9.16,10.69,11.43
Total Liabilities,27.47,28.82,29.2,31.07,33.4,34.91,36.31,60.57,64.0,59.18,63.71
Total Stockholders' Equity,72.53,71.18,70.8,68.93,66.6,65.09,63.69,39.43,36.0,40.82,36.29
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
