,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,65912000000.0,71526000000.0,74252000000.0,93657000000.0,94462000000.0
1,0,Short-term investments,5000000.0,88000000.0,34000000.0,88000000.0,87000000.0
2,0,Cash and cash equivalents,1375000000.0,4089000000.0,2481000000.0,2459000000.0,3371000000.0
3,0,Premiums and other receivables,6473000000.0,8729000000.0,9687000000.0,11888000000.0,12164000000.0
4,0,Property and equipment,8632000000.0,8615000000.0,8843000000.0,9855000000.0,10175000000.0
5,0,Goodwill,36148000000.0,36071000000.0,37916000000.0,51984000000.0,51760000000.0
6,0,Other assets,13279000000.0,13934000000.0,15291000000.0,17383000000.0,16905000000.0
7,0,Total assets,65912000000.0,71526000000.0,74252000000.0,93657000000.0,94462000000.0
8,8,Liabilities and stockholders' equity,65912000000.0,71526000000.0,74252000000.0,93657000000.0,94462000000.0
9,8,Liabilities,28208000000.0,33588000000.0,36294000000.0,56461000000.0,57632000000.0
10,9,Short-term debt,695000000.0,561000000.0,1260000000.0,1197000000.0,1916000000.0
11,9,Long-term debt,9133000000.0,12841000000.0,11695000000.0,26267000000.0,25615000000.0
12,9,Deferred income taxes,3784000000.0,3901000000.0,4036000000.0,5437000000.0,4214000000.0
13,9,Other liabilities,14596000000.0,16285000000.0,19303000000.0,23560000000.0,25887000000.0
14,9,Total liabilities,28208000000.0,33588000000.0,36294000000.0,56461000000.0,57632000000.0
15,8,Stockholders' equity,37704000000.0,37938000000.0,37958000000.0,37196000000.0,36830000000.0
16,15,Common stock,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0
17,15,Additional paid-in capital,29120000000.0,29777000000.0,30418000000.0,30948000000.0,31618000000.0
18,15,Retained earnings,25049000000.0,28493000000.0,31849000000.0,35506000000.0,38983000000.0
19,15,Treasury stock,-16270000000.0,-20169000000.0,-24078000000.0,-28886000000.0,-33452000000.0
20,15,Accumulated other comprehensive income,-212000000.0,-180000000.0,-248000000.0,-389000000.0,-336000000.0
21,15,Total stockholders' equity,37704000000.0,37938000000.0,37958000000.0,37196000000.0,36830000000.0
22,8,Total liabilities and stockholders' equity,65912000000.0,71526000000.0,74252000000.0,93657000000.0,94462000000.0
