,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,56265800000.0,59521300000.0,61336400000.0,57947600000.0,57981400000.0
1,0,Current assets,42719000000.0,45102700000.0,46044400000.0,42135800000.0,41004900000.0
2,1,Cash,6122600000.0,5128800000.0,5002100000.0,4599600000.0,4789300000.0
3,2,Cash and cash equivalents,4652200000.0,3504000000.0,3787000000.0,4162200000.0,4335800000.0
4,2,Short-term investments,1470400000.0,1624800000.0,1215100000.0,437400000.0,453500000.0
5,2,Total cash,6122600000.0,5128800000.0,5002100000.0,4599600000.0,4789300000.0
6,1,Receivables,3799100000.0,3758200000.0,3277600000.0,33719200000.0,32875100000.0
7,1,Inventories,5170000000.0,4934700000.0,4209700000.0,3817000000.0,3341000000.0
8,1,Other current assets,27627300000.0,31281000000.0,33555000000.0,0.0,-500000.0
9,1,Total current assets,42719000000.0,45102700000.0,46044400000.0,42135800000.0,41004900000.0
10,0,Non-current assets,13546800000.0,14418600000.0,15292000000.0,15811800000.0,16976500000.0
11,10,"Property, plant and equipment",7539700000.0,8619100000.0,9593300000.0,5181000000.0,11072100000.0
12,11,"Gross property, plant and equipment",10311000000.0,11126000000.0,11329000000.0,11085000000.0,11509000000.0
13,11,Accumulated Depreciation,-5299100000.0,-5659100000.0,-5751200000.0,-5904000000.0,-6338000000.0
14,11,"Net property, plant and equipment",7539700000.0,8619100000.0,9593300000.0,5181000000.0,11072100000.0
15,10,Equity and other investments,215000000.0,221400000.0,303200000.0,303500000.0,232600000.0
16,10,Goodwill,921200000.0,844800000.0,791200000.0,726000000.0,815700000.0
17,10,Intangible assets,105000000.0,77100000.0,68800000.0,63600000.0,104000000.0
18,10,Deferred income taxes,3280400000.0,2325400000.0,2776600000.0,2767300000.0,2964400000.0
19,10,Prepaid pension benefit,20200000.0,551100000.0,262000000.0,215600000.0,93600000.0
20,10,Other long-term assets,1465300000.0,1779700000.0,1496900000.0,6554800000.0,1694100000.0
21,10,Total non-current assets,13546800000.0,14418600000.0,15292000000.0,15811800000.0,16976500000.0
22,0,Total assets,56265800000.0,59521300000.0,61336400000.0,57947600000.0,57981400000.0
23,23,Liabilities and stockholders' equity,56265800000.0,59521300000.0,61336400000.0,57947600000.0,57981400000.0
24,23,Liabilities,49423700000.0,49255500000.0,52273800000.0,51204200000.0,51461400000.0
25,24,Current liabilities,19091400000.0,21978500000.0,21232800000.0,20408700000.0,19236400000.0
26,25,Short-term debt,9967300000.0,12898000000.0,12577700000.0,13016600000.0,11914700000.0
27,25,Accounts payable,2481000000.0,,,,1828000000.0
28,25,Accrued liabilities,3712000000.0,,,,3188000000.0
29,25,Deferred revenues,452000000.0,,,,1136000000.0
30,25,Other current liabilities,2479100000.0,9080500000.0,8655100000.0,7392100000.0,1169700000.0
31,25,Total current liabilities,19091400000.0,21978500000.0,21232800000.0,20408700000.0,19236400000.0
32,24,Non-current liabilities,30332300000.0,27277000000.0,31041000000.0,30795500000.0,32225000000.0
33,32,Long-term debt,22453100000.0,21577700000.0,24380700000.0,23832800000.0,23759700000.0
34,32,Deferred taxes liabilities,,160300000.0,160900000.0,160800000.0,
35,32,Pensions and other benefits,7694800000.0,5416700000.0,6496500000.0,6787700000.0,8274500000.0
36,32,Minority interest,19900000.0,1900000.0,2900000.0,14200000.0,10800000.0
37,32,Other long-term liabilities,164500000.0,120400000.0,0.0,0.0,180000000.0
38,32,Total non-current liabilities,30332300000.0,27277000000.0,31041000000.0,30795500000.0,32225000000.0
39,24,Total liabilities,49423700000.0,49255500000.0,52273800000.0,51204200000.0,51461400000.0
40,23,Stockholders' equity,6842100000.0,10265800000.0,9062600000.0,6743400000.0,6520000000.0
41,40,Common stock,3352200000.0,3524200000.0,3675400000.0,3825600000.0,3911800000.0
42,40,Retained earnings,16875200000.0,19645600000.0,22004400000.0,23144800000.0,23911300000.0
43,40,Treasury stock,-8813800000.0,-10210900000.0,-12834200000.0,-15497600000.0,-15677100000.0
44,40,Accumulated other comprehensive income,-4571500000.0,-2693100000.0,-3783000000.0,-4729400000.0,-5626000000.0
45,40,Total stockholders' equity,6842100000.0,10265800000.0,9062600000.0,6743400000.0,6520000000.0
46,23,Total liabilities and stockholders' equity,56265800000.0,59521300000.0,61336400000.0,57947600000.0,57981400000.0
