,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,75283000000.0,79340000000.0,83126000000.0,86936000000.0,92308000000.0
1,0,Cash and cash equivalents,3926000000.0,6554000000.0,7284000000.0,9572000000.0,11914000000.0
2,0,Investments,6221000000.0,4991000000.0,3949000000.0,3084000000.0,1757000000.0
3,0,Loans,59292000000.0,64123000000.0,68223000000.0,70516000000.0,75087000000.0
4,0,Property and equipment,534000000.0,654000000.0,670000000.0,693000000.0,734000000.0
5,0,Goodwill,286000000.0,284000000.0,257000000.0,255000000.0,255000000.0
6,0,Other intangible assets,190000000.0,185000000.0,176000000.0,168000000.0,166000000.0
7,0,Other assets,4834000000.0,2549000000.0,2567000000.0,2648000000.0,2395000000.0
8,0,Total assets,75283000000.0,79340000000.0,83126000000.0,86936000000.0,92308000000.0
9,9,Liabilities and stockholders' equity,75283000000.0,79340000000.0,83126000000.0,86936000000.0,92308000000.0
10,9,Liabilities,65505000000.0,68531000000.0,71992000000.0,75661000000.0,80985000000.0
11,10,Deposits,42155000000.0,44959000000.0,46089000000.0,47594000000.0,51992000000.0
12,10,Short-term borrowing,284000000.0,140000000.0,113000000.0,,
13,10,Payables and accrued expenses,3337000000.0,2958000000.0,3246000000.0,3343000000.0,3550000000.0
14,10,Long-term debt,19729000000.0,20474000000.0,22544000000.0,24724000000.0,25443000000.0
15,10,Total liabilities,65505000000.0,68531000000.0,71992000000.0,75661000000.0,80985000000.0
16,9,Stockholders' equity,9778000000.0,10809000000.0,11134000000.0,11275000000.0,11323000000.0
17,16,Preferred stock,560000000.0,560000000.0,560000000.0,560000000.0,560000000.0
18,16,Common stock,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0
19,16,Additional paid-in capital,3593000000.0,3687000000.0,3790000000.0,3885000000.0,3962000000.0
20,16,Retained earnings,7373000000.0,9611000000.0,11467000000.0,13250000000.0,15130000000.0
21,16,Treasury stock,-1678000000.0,-2986000000.0,-4550000000.0,-6265000000.0,-8173000000.0
22,16,Accumulated other comprehensive income,-75000000.0,-68000000.0,-138000000.0,-160000000.0,-161000000.0
23,16,Total stockholders' equity,9778000000.0,10809000000.0,11134000000.0,11275000000.0,11323000000.0
24,9,Total liabilities and stockholders' equity,75283000000.0,79340000000.0,83126000000.0,86936000000.0,92308000000.0
