,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,542948000.0,656390000.0,655888000.0,799232000.0,912262000.0,966760000.0
1,0,Net income,216047000.0,320449000.0,203415000.0,301591000.0,431852000.0,272749000.0
2,0,Depreciation & amortization,382553000.0,463745000.0,528531000.0,561191000.0,699324000.0,732517000.0
3,0,Amortization of debt discount/premium and issuance costs,11442000.0,23060000.0,28825000.0,16873000.0,21606000.0,24968000.0
4,0,Investment/asset impairment charges,1260000.0,,126470000.0,,0.0,28992000.0
5,0,Investments losses (gains),,,-14551000.0,,0.0,
6,0,Other working capital,-83020000.0,-52298000.0,-97953000.0,-1597000.0,-43890000.0,-57707000.0
7,0,Other non-cash items,14666000.0,-98566000.0,-118849000.0,-78826000.0,-196630000.0,-34759000.0
8,0,Net cash provided by operating activities,542948000.0,656390000.0,655888000.0,799232000.0,912262000.0,966760000.0
9,9,Cash Flows From Investing Activities,-2475933000.0,-1060609000.0,-644180000.0,-2526022000.0,-1299431000.0,-942982000.0
10,9,"Investments in property, plant, and equipment",-2405891000.0,-1359832000.0,-876691000.0,-836427000.0,-1631366000.0,-1016948000.0
11,9,"Acquisitions, net",,,,-1850061000.0,0.0,-7614000.0
12,9,Purchases of investments,-54827000.0,-41552000.0,-20627000.0,-51350000.0,0.0,
13,9,Sales/Maturities of investments,,,31635000.0,37524000.0,0.0,
14,9,Other investing activities,-15215000.0,340775000.0,221503000.0,174292000.0,331935000.0,81580000.0
15,9,Net cash used for investing activities,-2475933000.0,-1060609000.0,-644180000.0,-2526022000.0,-1299431000.0,-942982000.0
16,16,Cash Flows From Financing Activities,1948635000.0,404746000.0,-27195000.0,1749029000.0,351931000.0,154740000.0
17,16,Debt issued,2791814000.0,2701548000.0,1620480000.0,3881159000.0,3975299000.0,3377983000.0
18,16,Debt repayment,-1494283000.0,-2051054000.0,-1475667000.0,-2475444000.0,-3778649000.0,-2725809000.0
19,16,Common stock issued,894221000.0,0.0,0.0,675577000.0,1089154000.0,408300000.0
20,16,Preferred stock issued,182500000.0,250000000.0,365000000.0,250000000.0,0.0,
21,16,Redemption of preferred stock,-6429000.0,,,-7432000.0,-287500000.0,-182500000.0
22,16,Repurchases of treasury stock,-34494000.0,,,,,
23,16,Cash dividends paid,-373101000.0,-443858000.0,-509159000.0,-548058000.0,-605390000.0,-710877000.0
24,16,Other financing activities,-11593000.0,-51890000.0,-27849000.0,-26773000.0,-40983000.0,-12357000.0
25,16,Net cash provided by (used for) financing activities,1948635000.0,404746000.0,-27195000.0,1749029000.0,351931000.0,154740000.0
26,26,Effect of exchange rate changes,,,,,-11287000.0,-9816000.0
27,27,Net change in cash,15650000.0,527000.0,-15487000.0,22239000.0,-46525000.0,168702000.0
28,28,Cash at beginning of period,40631000.0,56281000.0,56808000.0,34814000.0,57053000.0,48130000.0
29,29,Cash at end of period,56281000.0,56808000.0,41321000.0,57053000.0,10528000.0,216832000.0
30,30,Free Cash Flow,,,,,,
31,31,Operating cash flow,542948000.0,656390000.0,655888000.0,799232000.0,912262000.0,966760000.0
32,32,Capital expenditure,-2405891000.0,-1359832000.0,-876691000.0,-836427000.0,-1631366000.0,-1016948000.0
33,33,Free cash flow,-1862943000.0,-703442000.0,-220803000.0,-37195000.0,-719104000.0,-50188000.0
34,34,Supplemental schedule of cash flow data,,,,,,
35,35,Cash paid for income taxes,2084000.0,,,,,
36,36,Cash paid for interest,166151000.0,,,,,
