,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-10-11,12.0,12.125,12.0,12.0,6.147797,5690400
1,1995-10-12,12.0,12.1875,12.0,12.125,6.211833,2014200
2,1995-10-13,12.125,12.25,12.125,12.125,6.211833,413000
3,1995-10-16,12.125,12.125,12.0,12.0,6.147797,376800
4,1995-10-17,12.0,12.1875,12.0,12.125,6.211833,361200
5,1995-10-18,12.0625,12.1875,12.0625,12.125,6.211833,232000
6,1995-10-19,12.125,12.125,12.0625,12.0625,6.179814,827800
7,1995-10-20,12.125,12.125,12.0,12.0,6.147797,218400
8,1995-10-23,12.0,12.1875,12.0,12.125,6.211833,1179800
9,1995-10-24,12.125,12.4375,12.125,12.4375,6.3719339999999995,378400
10,1995-10-25,12.5,13.0,12.5,12.75,6.532032,398200
11,1995-10-26,12.875,12.875,12.4375,12.5,6.403954,169400
12,1995-10-27,12.375,12.375,11.6875,12.1875,6.243853,1240600
13,1995-10-30,12.25,12.3125,12.25,12.3125,6.307893,123400
14,1995-10-31,12.4375,12.5625,12.4375,12.4375,6.3719339999999995,134000
15,1995-11-01,12.4375,12.875,12.4375,12.75,6.532032,186200
16,1995-11-02,12.75,12.9375,12.6875,12.8125,6.564052,96400
17,1995-11-03,12.875,13.0,12.75,12.875,6.596069,224600
18,1995-11-06,13.0,13.6875,13.0,13.6875,7.012327,275200
19,1995-11-07,13.6875,13.6875,13.5,13.5,6.916268,304800
20,1995-11-08,13.5,13.5625,13.25,13.5,6.916268,171000
21,1995-11-09,13.5,13.5625,13.4375,13.5625,6.948289999999999,161800
22,1995-11-10,13.4375,13.5,13.375,13.5,6.916268,155000
23,1995-11-13,13.4375,13.5,13.375,13.375,6.8522300000000005,9800
24,1995-11-14,13.625,13.625,12.9375,13.0,6.66011,187600
25,1995-11-15,13.0,13.0625,12.875,12.9375,6.628089,59000
26,1995-11-16,12.625,13.125,12.5625,13.0625,6.692132000000001,583000
27,1995-11-17,13.0625,13.0625,13.0,13.0,6.66011,24400
28,1995-11-20,13.0625,13.1875,13.0625,13.0625,6.692132000000001,32000
29,1995-11-21,13.1875,13.1875,13.0,13.125,6.724149000000001,223800
30,1995-11-22,13.3125,13.375,13.3125,13.375,6.8522300000000005,20800
31,1995-11-24,13.3125,13.375,13.3125,13.375,6.8522300000000005,13400
32,1995-11-27,13.4375,13.5,13.375,13.5,6.916268,23600
33,1995-11-28,13.5625,13.75,13.5625,13.5625,6.948289999999999,130800
34,1995-11-29,14.0,14.125,13.9375,14.0,7.172428,90400
35,1995-11-30,13.9375,14.4375,13.875,14.4375,7.396566,77400
36,1995-12-01,14.375,14.375,14.25,14.375,7.364542,97200
37,1995-12-04,14.3125,14.6875,14.3125,14.625,7.492624,391000
38,1995-12-05,14.5625,14.9375,14.5625,14.6875,7.524645,254200
39,1995-12-06,14.6875,14.75,14.625,14.6875,7.524645,132800
40,1995-12-07,14.6875,14.6875,14.25,14.4375,7.396566,204600
41,1995-12-08,14.4375,15.375,14.1875,15.25,7.812822,1719400
42,1995-12-11,15.25,15.8125,15.0,15.8125,8.101002000000001,962400
43,1995-12-12,16.125,16.375,15.8125,16.0,8.197059,712400
44,1995-12-13,16.0,16.875,16.0,16.875,8.645334,725800
45,1995-12-14,17.0,17.25,16.5,16.75,8.581294,1265400
46,1995-12-15,16.8125,17.0,16.8125,17.0,8.709377,307600
47,1995-12-18,16.625,16.9375,16.5,16.8125,8.613317,193000
48,1995-12-19,16.75,16.875,16.5,16.625,8.517258,120400
49,1995-12-20,16.625,16.8125,16.4375,16.5625,8.485237,255600
50,1995-12-21,16.625,16.8125,16.4375,16.75,8.581294,1111000
51,1995-12-22,16.75,16.75,16.3125,16.4375,8.421198,117800
52,1995-12-26,16.5,16.5,16.3125,16.5,8.453217,528800
53,1995-12-27,16.5,16.8125,16.5,16.625,8.517258,199600
54,1995-12-28,16.6875,16.875,16.6875,16.75,8.581294,281800
55,1995-12-29,16.75,16.875,16.75,16.875,8.645334,92800
