,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,1109440000.0,1081790000.0,1164704000.0,949432000.0,902244000.0,918194000.0
1,1,Expenses,948481000.0,785790000.0,719830000.0,501036000.0,425263000.0,472884000.0
2,1,Operating expenses,517263000.0,349667000.0,286056000.0,125142000.0,52056000.0,86189000.0
3,1,Depreciation and amortization,375965000.0,393450000.0,384412000.0,317329000.0,317818000.0,332357000.0
4,1,"Sales, General and administrative",55253000.0,42673000.0,49362000.0,58565000.0,55389000.0,54338000.0
5,1,Total expenses,948481000.0,785790000.0,719830000.0,501036000.0,425263000.0,472884000.0
6,6,Operating income,160959000.0,296000000.0,444874000.0,448396000.0,476981000.0,445310000.0
7,7,Interest income,,,1246000.0,4667000.0,4035000.0,9635000.0
8,8,Interest expenses,245170000.0,228895000.0,219613000.0,173574000.0,141576000.0,119722000.0
9,9,Other income (expense),-3678000.0,-10639000.0,-1382000.0,-94212000.0,-26758000.0,-44107000.0
10,10,Income before income taxes,-87889000.0,56466000.0,225125000.0,185277000.0,312682000.0,291116000.0
11,11,Provision for income taxes,-103000.0,-5080000.0,-844000.0,-3928000.0,-589000.0,7502000.0
12,12,Net income from continuing operations,-87786000.0,61546000.0,225969000.0,189205000.0,313271000.0,283614000.0
13,13,Net income from discontinuing ops,11918000.0,135003000.0,20486000.0,432656000.0,2007000.0,1228741000.0
14,14,Other,1891000.0,-5957000.0,-2867000.0,-6551000.0,-3135000.0,-18588000.0
15,15,Net income,-73977000.0,190592000.0,243588000.0,615310000.0,312143000.0,1493767000.0
16,16,Preferred distributions,46438000.0,31616000.0,24943000.0,,,
17,17,Other distributions,5730000.0,5932000.0,13752000.0,0.0,0.0,0.0
18,18,Net income available to common shareholders,-126145000.0,153044000.0,204893000.0,615310000.0,312143000.0,1493767000.0
19,19,Earnings per share,,,,,,
20,20,Basic,-0.48,0.47,0.6,1.77,0.89,4.2
21,21,Diluted,-0.48,0.47,0.6,1.77,0.88,4.16
22,22,Weighted average shares outstanding,,,,,,
23,23,Basic,267900000.0,322133000.0,335777000.0,345057000.0,349942000.0,355396750.0
24,24,Diluted,267900000.0,326712000.0,340446000.0,352197000.0,357076000.0,361982500.0
25,25,EBITDA,533246000.0,678811000.0,829150000.0,676180000.0,772076000.0,743195000.0
