,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,8791000000.0,9661000000.0,12301000000.0,10337000000.0,10630000000.0,12210000000.0
1,1,Cost of revenue,3296000000.0,4055000000.0,5879000000.0,5562000000.0,5530000000.0,6780000000.0
2,2,Gross profit,5495000000.0,5606000000.0,6422000000.0,4775000000.0,5100000000.0,5430000000.0
3,3,Operating expenses,4216000000.0,4403000000.0,4832000000.0,3536000000.0,3655000000.0,3839000000.0
4,3,Operation and maintenance,2892000000.0,2978000000.0,3347000000.0,2214000000.0,2302000000.0,2407000000.0
5,3,Depreciation and amortization,995000000.0,1094000000.0,1145000000.0,852000000.0,976000000.0,1030000000.0
6,3,Other operating expenses,329000000.0,331000000.0,340000000.0,470000000.0,377000000.0,402000000.0
7,3,Total operating expenses,4216000000.0,4403000000.0,4832000000.0,3536000000.0,3655000000.0,3839000000.0
8,8,Operating income,1279000000.0,1203000000.0,1590000000.0,1239000000.0,1445000000.0,1591000000.0
9,9,Interest Expense,440000000.0,436000000.0,429000000.0,450000000.0,472000000.0,535000000.0
10,10,Other income (expense),121000000.0,155000000.0,114000000.0,161000000.0,132000000.0,169000000.0
11,11,Income before income taxes,960000000.0,922000000.0,1275000000.0,950000000.0,1105000000.0,1225000000.0
12,12,Provision for income taxes,286000000.0,254000000.0,364000000.0,230000000.0,271000000.0,269000000.0
13,13,Net income from continuing operations,674000000.0,668000000.0,911000000.0,720000000.0,834000000.0,956000000.0
14,14,Net income from discontinuing ops,-56000000.0,0.0,0.0,,,
15,15,Other,-8000000.0,-7000000.0,-6000000.0,7000000.0,34000000.0,22000000.0
16,16,Net income,610000000.0,661000000.0,905000000.0,727000000.0,868000000.0,978000000.0
17,17,Net income available to common shareholders,610000000.0,661000000.0,905000000.0,727000000.0,868000000.0,978000000.0
18,18,Earnings per share,,,,,,
19,19,Basic,3.56,3.76,5.11,4.05,4.84,5.46
20,20,Diluted,3.55,3.76,5.1,4.05,4.83,5.45
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,171000000.0,175000000.0,177000000.0,179000000.0,179000000.0,179000000.0
23,23,Diluted,172000000.0,175000000.0,177000000.0,179000000.0,179000000.0,179000000.0
24,24,EBITDA,2418000000.0,2452000000.0,2849000000.0,2252000000.0,2553000000.0,2790000000.0
