,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,113856000000.0,114779000000.0,120709000000.0,121156000000.0,132761000000.0
1,0,Current assets,10122000000.0,10516000000.0,11575000000.0,8322000000.0,8039000000.0
2,1,Cash,1757000000.0,1545000000.0,2036000000.0,857000000.0,392000000.0
3,2,Cash and cash equivalents,1424000000.0,1501000000.0,2036000000.0,857000000.0,392000000.0
4,2,Short-term investments,333000000.0,44000000.0,0.0,,
5,2,Total cash,1757000000.0,1545000000.0,2036000000.0,857000000.0,392000000.0
6,1,Receivables,2717000000.0,3005000000.0,2764000000.0,2451000000.0,2644000000.0
7,1,Inventories,3223000000.0,3250000000.0,3459000000.0,3810000000.0,3522000000.0
8,1,Other current assets,2425000000.0,2716000000.0,3316000000.0,1204000000.0,1481000000.0
9,1,Total current assets,10122000000.0,10516000000.0,11575000000.0,8322000000.0,8039000000.0
10,0,Non-current assets,103734000000.0,104263000000.0,109134000000.0,112834000000.0,124722000000.0
11,10,"Property, plant and equipment",68558000000.0,69490000000.0,70046000000.0,75709000000.0,82520000000.0
12,11,"Gross property, plant and equipment",100527000000.0,103115000000.0,104870000000.0,113374000000.0,121926000000.0
13,11,Accumulated Depreciation,-31969000000.0,-33625000000.0,-34824000000.0,-37665000000.0,-39406000000.0
14,11,"Net property, plant and equipment",68558000000.0,69490000000.0,70046000000.0,75709000000.0,82520000000.0
15,10,Equity and other investments,4725000000.0,5522000000.0,5904000000.0,6324000000.0,7130000000.0
16,10,Goodwill,16365000000.0,16340000000.0,16321000000.0,16343000000.0,19425000000.0
17,10,Intangible assets,372000000.0,0.0,0.0,0.0,0.0
18,10,Regulatory assets,11004000000.0,9191000000.0,11042000000.0,11373000000.0,12878000000.0
19,10,Other long-term assets,2710000000.0,3720000000.0,5821000000.0,3085000000.0,2769000000.0
20,10,Total non-current assets,103734000000.0,104263000000.0,109134000000.0,112834000000.0,124722000000.0
21,0,Total assets,113856000000.0,114779000000.0,120709000000.0,121156000000.0,132761000000.0
22,22,Liabilities and stockholders' equity,113856000000.0,114779000000.0,120709000000.0,121156000000.0,132761000000.0
23,22,Liabilities,72993000000.0,73449000000.0,79834000000.0,81429000000.0,91728000000.0
24,23,Current liabilities,10029000000.0,8644000000.0,11233000000.0,11400000000.0,11551000000.0
25,24,Short-term debt,4167000000.0,2943000000.0,5321000000.0,5707000000.0,4806000000.0
26,24,Accounts payable,2444000000.0,2391000000.0,2271000000.0,2400000000.0,2994000000.0
27,24,Taxes payable,459000000.0,551000000.0,569000000.0,348000000.0,384000000.0
28,24,Accrued liabilities,448000000.0,440000000.0,418000000.0,430000000.0,503000000.0
29,24,Other current liabilities,2511000000.0,2319000000.0,2654000000.0,2515000000.0,2864000000.0
30,24,Total current liabilities,10029000000.0,8644000000.0,11233000000.0,11400000000.0,11551000000.0
31,23,Non-current liabilities,62964000000.0,64805000000.0,68601000000.0,70029000000.0,80177000000.0
32,31,Long-term debt,36351000000.0,38152000000.0,37213000000.0,37495000000.0,45576000000.0
33,31,Deferred taxes liabilities,10490000000.0,12097000000.0,13423000000.0,12705000000.0,14155000000.0
34,31,Pensions and other benefits,2520000000.0,1322000000.0,1145000000.0,1088000000.0,1111000000.0
35,31,Regulatory liabilities,5584000000.0,5949000000.0,6193000000.0,6255000000.0,6881000000.0
36,31,Minority interest,78000000.0,78000000.0,24000000.0,44000000.0,8000000.0
37,31,Other long-term liabilities,7941000000.0,7207000000.0,10603000000.0,12442000000.0,12446000000.0
38,31,Total non-current liabilities,62964000000.0,64805000000.0,68601000000.0,70029000000.0,80177000000.0
39,23,Total liabilities,72993000000.0,73449000000.0,79834000000.0,81429000000.0,91728000000.0
40,22,stockholders' equity,40863000000.0,41330000000.0,40875000000.0,39727000000.0,41033000000.0
41,40,Preferred stock,93000000.0,0.0,,,
42,40,Common stock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
43,40,Additional paid-in capital,39279000000.0,39365000000.0,39405000000.0,37968000000.0,38741000000.0
44,40,Retained earnings,1889000000.0,2363000000.0,2012000000.0,2564000000.0,2384000000.0
45,40,Accumulated other comprehensive income,-399000000.0,-399000000.0,-543000000.0,-806000000.0,-93000000.0
46,40,Total stockholders' equity,40863000000.0,41330000000.0,40875000000.0,39727000000.0,41033000000.0
47,22,Total liabilities and stockholders' equity,113856000000.0,114779000000.0,120709000000.0,121156000000.0,132761000000.0
