Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,5264.0,5660.0,6109.0,6220.0,6732.0,8186.0,11764.0,12795.0,13782.0,14745.0,15213.0
Gross Margin %,31.8,30.7,30.5,28.8,31.2,31.8,30.3,28.7,28.7,27.8,26.4
Operating Income USD Mil,862.0,869.0,940.0,994.0,1155.0,1297.0,1550.0,1815.0,1171.0,1895.0,1455.0
Operating Margin %,16.4,15.4,15.4,16.0,17.2,15.8,13.2,14.2,8.5,12.8,9.6
Net Income USD Mil,382.0,374.0,423.0,406.0,478.0,536.0,633.0,723.0,270.0,880.0,518.0
Earnings Per Share USD,1.77,1.76,2.03,1.97,2.48,2.74,2.95,3.33,1.25,4.29,2.67
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,215.0,212.0,208.0,206.0,193.0,196.0,215.0,217.0,216.0,205.0,194.0
Book Value Per Share * USD,8.08,9.4,10.36,10.3,10.68,17.84,20.02,23.07,23.79,25.25,26.1
Operating Cash Flow USD Mil,533.0,556.0,667.0,840.0,1180.0,1101.0,1773.0,1459.0,1557.0,1963.0,2047.0
Cap Spending USD Mil,-275.0,-318.0,-275.0,-274.0,-400.0,-550.0,-618.0,-642.0,-708.0,-829.0,-894.0
Free Cash Flow USD Mil,259.0,238.0,392.0,566.0,780.0,551.0,1156.0,817.0,849.0,1134.0,1153.0
Free Cash Flow Per Share * USD,1.2,1.12,1.88,2.75,4.06,2.81,4.94,5.65,1.79,5.25,
Working Capital USD Mil,890.0,965.0,1256.0,1699.0,1128.0,861.0,1010.0,1788.0,2104.0,1284.0,
