,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,43326000000.0,42877000000.0,50637000000.0,29532000000.0,25913000000.0
1,0,Current assets,8971000000.0,8005000000.0,6498000000.0,4026000000.0,3772000000.0
2,1,Cash,6980000000.0,6066000000.0,1480000000.0,2310000000.0,1959000000.0
3,2,Cash and cash equivalents,4637000000.0,6066000000.0,1480000000.0,2310000000.0,1959000000.0
4,2,Short-term investments,2343000000.0,0.0,,,
5,2,Total cash,6980000000.0,6066000000.0,1480000000.0,2310000000.0,1959000000.0
6,1,Receivables,1364000000.0,1520000000.0,2481000000.0,1252000000.0,1356000000.0
7,1,Inventories,110000000.0,,,,
8,1,Other current assets,517000000.0,419000000.0,2537000000.0,464000000.0,457000000.0
9,1,Total current assets,8971000000.0,8005000000.0,6498000000.0,4026000000.0,3772000000.0
10,0,Non-current assets,34355000000.0,34872000000.0,44139000000.0,25506000000.0,22141000000.0
11,10,"Property, plant and equipment",27316000000.0,28447000000.0,36296000000.0,19068000000.0,16190000000.0
12,11,"Gross property, plant and equipment",78348000000.0,82981000000.0,88185000000.0,91154000000.0,89540000000.0
13,11,Accumulated Depreciation,-51032000000.0,-54534000000.0,-51889000000.0,-72086000000.0,-73350000000.0
14,11,"Net property, plant and equipment",27316000000.0,28447000000.0,36296000000.0,19068000000.0,16190000000.0
15,10,Goodwill,6079000000.0,5858000000.0,6303000000.0,5032000000.0,3964000000.0
16,10,Intangible assets,0.0,0.0,0.0,0.0,1624000000.0
17,10,Other long-term assets,960000000.0,567000000.0,1540000000.0,1406000000.0,363000000.0
18,10,Total non-current assets,34355000000.0,34872000000.0,44139000000.0,25506000000.0,22141000000.0
19,0,Total assets,43326000000.0,42877000000.0,50637000000.0,29532000000.0,25913000000.0
20,20,Liabilities and stockholders' equity,43326000000.0,42877000000.0,50637000000.0,29532000000.0,25913000000.0
21,20,Liabilities,22048000000.0,22378000000.0,29098000000.0,22483000000.0,19986000000.0
22,21,Current liabilities,6003000000.0,6655000000.0,5935000000.0,3295000000.0,2616000000.0
23,22,Accounts payable,1451000000.0,1229000000.0,1400000000.0,906000000.0,642000000.0
24,22,Short-term debt,3189000000.0,4066000000.0,1432000000.0,976000000.0,0.0
25,22,Deferred income taxes,,,730000000.0,,
26,22,Accrued liabilities,,,,,130000000.0
27,22,Other current liabilities,1363000000.0,1360000000.0,2373000000.0,1413000000.0,1844000000.0
28,22,Total current liabilities,6003000000.0,6655000000.0,5935000000.0,3295000000.0,2616000000.0
29,21,Non-current liabilities,16045000000.0,15723000000.0,23163000000.0,19188000000.0,17370000000.0
30,29,Long-term debt,8455000000.0,7956000000.0,9830000000.0,12137000000.0,10154000000.0
31,29,Deferred taxes liabilities,4693000000.0,4793000000.0,6244000000.0,888000000.0,648000000.0
32,29,Minority interest,,,4802000000.0,3940000000.0,4448000000.0
33,29,Other long-term liabilities,2897000000.0,2974000000.0,2287000000.0,2223000000.0,2120000000.0
34,29,Total non-current liabilities,16045000000.0,15723000000.0,23163000000.0,19188000000.0,17370000000.0
35,21,Total liabilities,22048000000.0,22378000000.0,29098000000.0,22483000000.0,19986000000.0
36,20,Stockholders' equity,21278000000.0,20499000000.0,21539000000.0,7049000000.0,5927000000.0
37,36,Common stock,41000000.0,41000000.0,41000000.0,42000000.0,52000000.0
38,36,Additional paid-in capital,3688000000.0,3780000000.0,4088000000.0,4996000000.0,7237000000.0
39,36,Retained earnings,15778000000.0,15410000000.0,16631000000.0,1781000000.0,-1646000000.0
40,36,Accumulated other comprehensive income,1771000000.0,1268000000.0,779000000.0,230000000.0,284000000.0
41,36,Total Stockholders' equity,21278000000.0,20499000000.0,21539000000.0,7049000000.0,5927000000.0
42,20,Total liabilities and stockholders' equity,43326000000.0,42877000000.0,50637000000.0,29532000000.0,25913000000.0
